" ","  表 1-1 主要勞動經濟指標","","","","","","","  Table 1-1 Major Labor and Economic Indicators","","","","","","","","","","","",""," ","  表 1-1 主要勞動經濟指標(續)","","","","","","","","","","","  Table 1-1 Major Labor and Economic Indicators(Cont.)","","","","","","","","","","",
" ","  經濟成長率","","  平均每人國內生產毛額","","  貿易值","","  Value of foreign trade","","  工業生產指數","","","","  製造業勞動生產力指數","","",""," 製造業單位產出勞動成本指數","","",""," ","  消費者物價","  基本工資 (元)","","","  工業及服務業","","","  工業及服務業每人","","","  製造業","","  製造業每人","","  工業及服務業每人","","","","  工業及服務業每人","","","",
" ","  (實質) (%)","","  　　　  (美元)","","","",,,,,,,,,,,,,,," ","  指數年增率","  (年底)","","","  每人每月薪資(元)","","","  每月經常性薪資(元)","","","  每人每月薪資(元)","","  每月經常性薪資(元)","","  每月平均工時(小時)","","","","  每月平均正常工時(小時)","","","",
" 年                別 ","","","","","","","","","  (100年 = 100)ˉ","","","","  (100年 = 100)","","","","  (100年 = 100)ˉ","","",""," 年                別 ","","","","","","","","","","",,,,,,,,,,,,,
" ","  較上年(同期)ˉ","",""," 對上年(同期)","  出口  (百萬美元)","","  進口  (百萬美元)","","",""," 對上年(同期)  ˉ","","  (1)",""," 對上年(同期)","","  (1)",""," 對上年(同期)","",,,,,,,,,,,,,,,,,,,,,,,,
" ","  增減百分點","",""," 　  變動率","","","","","",""," 　  變動率","","",""," 　  變動率","","",""," 　  變動率","",,,,,,,,,,,,,,,,,,,,,,,,
" Economic ","","","    Per capita","","","","","","  Indexes of","","",""," Indexes of labor","","",""," Indexes of unit","","","",,,,,,,,,,,,,,,,,,,,,,,,
"   growth ","",""," Gross domestic","",""," 對上年(同期)",""," 對上年(同期)  ˉ","  industrial","","","","  productivity of","","","","   output labor","","","",,,,,,,,,,,,,,,,,,,,,,,,
" ","","  Percentage","","",""," 　  變動率",""," 　  變動率","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"     rate ",""," point change","      product","     Percent  change from","      Exports","     Percent","       Imports","     Percent","  production","","     Percent  change from","","  manufacturing","","     Percent  change from","","      costs of manufacturing","","     Percent  change from","",,,,,,,,,,,,,,,,,,,,,,,,
" Year 　 (%) ","","  from last"," 　　(US$)  ˉ"," last period(%)"," (US $  Million)  ˉ","  change from"," (US $  Million)  ˉ","  change from","  (2011=100)",""," last period(%)","","    (2011=100)  ˉ",""," last period(%)","","    (2011=100)  ˉ",""," last period(%)","",,,,,,,,,,,,,,,,,,,,,,,,
" ","","  period(%)","","",""," last period(%)",""," last period(%)  ˉ","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"  67年  1978 ","13.56","2.15","1606","20.75","12755","35.6","11047","29.45",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ","  (%) (1)","  Minimum wage (N.T.$)","","","  (1)","","","  (1)","","","   (1)"," 對上年(同期)  ˉ","   (1)"," 對上年(同期)  ˉ","   (1)",""," 對上年(同期)","","   (1)",""," 對上年(同期)","",
,,,,,,,,,,,,,,,,,,,,," ","  Percent","  (End of year)","","","  Average","   對上年","","  Average","   對上年","",,,,,,,,,,,,,
"  68年  1979 ","8.83","-4.73","1950","21.42","16169","26.76","14798","33.96",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",,,,,,,,,,,,""," 　  變動率","  Average"," 　  變動率","  Average",""," 　  變動率","","  Average",""," 　  變動率","",
,,,,,,,,,,,,,,,,,,,,," ","","","","","","   (同期)","","  monthly","   (同期)","","  Average","","","","","","","","","","","",
"  69年  1980 ","8.04","-0.79","2389","22.51","19878","22.94","19760","33.53",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ","  change from","","","","  monthly","   變動率","","  regular","   變動率","","  monthly","","  monthly","","  monthly","","",""," monthly regular","","","",
"  70年  1981 ","7.11","-0.93","2721","13.9","22686","14.13","21235","7.46",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ","  last period","  月薪","  時薪","","  earnings of","","","","","",,,,,,,,,,,,,
