" 表 2-2 勞動力狀況－按教育程度、年齡及性別分 ","","","","","","","","  Table 2-2  Labor Force Status by Educational Attainment, Age and Sex","","","","","","","","",
" ","","","","","","  單位：千人","","","","","","","","","  Unit：Thousand Persons","",
" ","","",""," 教育程度","  Educational attainment","","","","","","","  年　　齡","  Age","","  性　別","  Sex",
" 年　 　別 ","  總　計","  國中及以下","  高中(職)","  Senior (vocational) school","","  大專及以上","  College, university","","","","","","","","","",
,,,,,,,"  & graduate school","","","","","","","","","",
,,,,,,,"","","","","  15-24歲","  25-44歲","  45-64歲","  65歲以上","  男","  女",
" ","","","  計","  高　中","  高　職","  計","  專　科","  大　學","  研究所","","","","","","","",
" Year ","  Grand total","  Under junior","","","","","  Junior","","  Graduate","","  Years","  Years","  Years","  Years","  Male","  Female",
" ","","","  Total","  Senior high","  Vocational","  Total","","  University","","","","","","  and over","","",
" ","","  high school","","","","","  college","","  school","","","","","","","",
"  67年平均  Avg. 1978 ","6337","4708","1081","395","686","548","276","272",""," ...","1844","2910","1521","63","4250","2087",
"  68年平均  Avg. 1979 ","6515","4735","1190","418","772","589","297","292",""," ...","1834","3042","1573","65","4356","2159",
"  69年平均  Avg. 1980 ","6629","4619","1313","460","853","697","359","337",""," ...","1788","3178","1600","63","4406","2223",
"  70年平均  Avg. 1981 ","6764","4626","1396","486","910","742","386","357",""," ...","1764","3305","1628","67","4503","2261",
"  71年平均  Avg. 1982 ","6959","4653","1523","511","1013","783","413","370",""," ...","1749","3477","1665","68","4605","2354",
"  72年平均  Avg. 1983 ","7266","4757","1661","518","1144","848","447","401",""," ...","1759","3713","1719","76","4687","2580",
"  73年平均  Avg. 1984 ","7491","4787","1787","545","1242","917","489","428",""," ...","1735","3908","1768","80","4778","2713",
"  74年平均  Avg. 1985 ","7651","4795","1887","558","1329","969","535","434",""," ...","1690","4069","1799","92","4860","2790",
"  75年平均  Avg. 1986 ","7945","4843","2062","585","1477","1040","571","469",""," ...","1703","4295","1841","106","4957","2988",
"  76年平均  Avg. 1987 ","8183","4837","2206","610","1596","1140","632","508",""," ...","1683","4498","1891","112","5065","3118",
"  77年平均  Avg. 1988 ","8247","4703","2322","651","1671","1222","678","543",""," ...","1583","4638","1918","108","5130","3116",
"  78年平均  Avg. 1989 ","8390","4647","2448","679","1769","1295","719","576",""," ...","1538","4793","1938","121","5231","3159",
"  79年平均  Avg. 1990 ","8423","4501","2537","721","1816","1386","777","608",""," ...","1449","4935","1921","120","5263","3160",
"  80年平均  Avg. 1991 ","8569","4504","2629","762","1867","1436","816","620",""," ...","1409","5114","1917","129","5355","3214",
"  81年平均  Avg. 1992 ","8765","4454","2750","760","1990","1561","902","658",""," ...","1376","5307","1950","132","5460","3304",
"  82年平均  Avg. 1993 ","8874","4302","2877","773","2105","1695","976","719",""," ...","1340","5415","1976","142","5497","3377",
"  83年平均  Avg. 1994 ","9081","4305","2985","789","2196","1791","1041","750",""," ...","1360","5548","2025","147","5595","3485",
"  84年平均  Avg. 1995 ","9210","4229","3068","783","2284","1913","1092","821",""," ...","1326","5634","2094","156","5659","3551",
"  85年平均  Avg. 1996 ","9310","4035","3191","809","2382","2085","1199","886",""," ...","1293","5704","2165","149","5662","3648",
"  86年平均  Avg. 1997 ","9432","3975","3206","829","2377","2251","1287","964",""," ...","1281","5730","2270","150","5731","3701",
"  87年平均  Avg. 1998 ","9546","3850","3316","880","2437","2380","1347","1033",""," ...","1259","5782","2354","151","5780","3767",
"  88年平均  Avg. 1999 ","9668","3707","3428","900","2528","2533","1439","1094",""," ...","1288","5796","2440","144","5812","3856",
"  89年平均  Avg. 2000 ","9784","3622","3492","904","2588","2671","1517","1154",""," ...","1283","5833","2524","145","5867","3917",
"  90年平均  Avg. 2001 ","9832","3482","3553","903","2650","2798","1589","1209",""," ...","1247","5838","2604","143","5855","3977",
"  91年平均  Avg. 2002 ","9969","3351","3640","908","2732","2979","1657","1322",""," ...","1214","5895","2705","155","5896","4074",
"  92年平均  Avg. 2003 ","10076","3230","3698","917","2781","3148","1702","1446",""," ...","1144","5938","2835","160","5904","4172",
"  93年平均  Avg. 2004 ","10240","3109","3776","925","2851","3356","1748","1608",""," ...","1109","6007","2968","156","5968","4272",
"  94年平均  Avg. 2005 ","10371","2993","3776","913","2863","3602","1792","1810",""," ...","1055","6066","3091","158","6012","4359",
"  95年平均  Avg. 2006 ","10522","2862","3796","902","2894","3864","1824","2040",""," ...","1005","6158","3189","170","6056","4467",
"  96年平均  Avg. 2007 ","10713","2779","3845","923","2923","4089","1825","2263",""," ...","974","6213","3339","187","6116","4597",
"  97年平均  Avg. 2008 ","10853","2660","3833","921","2912","4359","1850","2509",""," ...","931","6250","3481","191","6173","4680",
"  98年平均  Avg. 2009 ","10917","2540","3785","914","2871","4591","1859","2732",""," ...","875","6278","3570","194","6180","4737",
"  99年平均  Avg. 2010 ","11070","2480","3795","921","2874","4795","1879","2915",""," ...","872","6300","3699","199","6242","4828",
" 100年平均  Avg. 2011 ","11200","2401","3823","939","2884","4976","1878","2427","672","","872","6297","3834","197","6304","4896",
" 101年平均  Avg. 2012 ","11341","2351","3836","953","2884","5153","1871","2563","719","","893","6296","3945","206","6369","4972",
" 102年平均  Avg. 2013 ","11445","2307","3818","949","2869","5320","1865","2694","760","","901","6280","4045","220","6402","5043",
" 103年平均  Avg. 2014 ","11535","2194","3822","964","2857","5520","1863","2837","820","","886","6242","4170","238","6441","5094",
" 104年平均  Avg. 2015 ","11638","2119","3839","983","2856","5680","1856","2958","866","","905","6236","4246","251","6497","5141",
" 105年平均  Avg. 2016 ","11727","2073","3838","991","2847","5816","1855","3065","897","","926","6222","4320","259","6541","5186",
" 資料來源： 行政院主計總處「人力資源調查」。 ","","","","","","","  Source： Directorate-General of Budget, Accounting and Statistics, Executive Yuan "Manpower Survey".","","","","","","","","","",
" 說　　明： 99年(含)以前，「大學」係含研究所者。 ","","","","","","","  Note： Before 2010, data of "University" contain "Graduate school".","","","","","","","","","",
" ","","     -8-","","","","","","","","","","     -9-","","","","",
