" 表 2-5 失業者－按教育程度、年齡及性別分 ","","","","","","",""," Table 2-5  Unemployed Persons by Educational Attainment, Age and Sex","","","","","","","","",
" ","","","","","","  單位：千人","","","","","","","","","  Unit：Thousand Persons","",
" ","","",""," 教育程度","  Educational attainment","","","","","","","  年　　齡","  Age","","  性　別","  Sex",
" 年　 　別 ","  總　計","  國中及以下","  高中(職)","  Senior (vocational) school","","  大專及以上","  College, university","","","","","","","","","",
,,,,,,,"  & graduate school","","","","","","","","","",
,,,,,,,"","","","","  15-24歲","  25-44歲","  45-64歲","  65歲以上","  男","  女",
" ","","","  計","  高　中","  高　職","  計","  專　科","  大　學","  研究所","","","","","","","",
" Year ","  Grand total","  Under junior","","","","","  Junior","","  Graduate","","  Years","  Years","  Years","  Years","  Male","  Female",
" ","","","  Total","  Senior high","  Vocational","  Total","","  University","","","","","","  and over","","",
" ","","  high school","","","","","  college","","  school","","","","","","","",
"  67年平均  Avg. 1978 ","106","48","40","15","25","17","10","7",""," ...","71","25","9","0","67","39",
"  68年平均  Avg. 1979 ","83","36","33","11","23","13","8","5",""," ...","60","17","7","0","50","33",
"  69年平均  Avg. 1980 ","82","32","34","11","24","16","9","7",""," ...","57","19","6","0","49","33",
"  70年平均  Avg. 1981 ","92","37","38","11","27","17","10","7",""," ...","64","22","6","0","55","37",
"  71年平均  Avg. 1982 ","149","66","58","19","39","25","14","10",""," ...","93","44","12","0","96","53",
"  72年平均  Avg. 1983 ","197","85","78","23","55","34","21","14",""," ...","115","63","18","0","126","71",
"  73年平均  Avg. 1984 ","183","72","76","22","54","35","21","15",""," ...","106","62","15","0","116","67",
"  74年平均  Avg. 1985 ","222","91","90","25","65","41","25","16",""," ...","123","80","19","0","141","81",
"  75年平均  Avg. 1986 ","212","82","91","25","66","39","23","16",""," ...","115","79","17","0","136","75",
"  76年平均  Avg. 1987 ","161","57","72","18","54","31","19","12",""," ...","92","57","12","0","100","61",
"  77年平均  Avg. 1988 ","139","48","62","15","47","29","18","11",""," ...","77","53","9","0","87","52",
"  78年平均  Avg. 1989 ","132","44","60","17","43","27","17","11",""," ...","71","52","9","0","82","49",
"  79年平均  Avg. 1990 ","140","45","64","17","46","31","19","12",""," ...","73","58","9","0","88","52",
"  80年平均  Avg. 1991 ","130","43","57","16","41","29","18","11",""," ...","64","57","9","0","80","49",
"  81年平均  Avg. 1992 ","132","40","59","16","43","34","19","15",""," ...","66","58","9","0","81","52",
"  82年平均  Avg. 1993 ","128","36","55","14","41","37","22","15",""," ...","62","58","8","0","75","54",
"  83年平均  Avg. 1994 ","142","43","59","14","45","40","22","18",""," ...","65","68","10","0","84","58",
"  84年平均  Avg. 1995 ","165","50","69","17","52","46","26","21",""," ...","70","82","13","0","101","64",
"  85年平均  Avg. 1996 ","242","81","96","23","73","65","38","28",""," ...","90","127","25","0","154","88",
"  86年平均  Avg. 1997 ","256","97","97","24","73","62","37","25",""," ...","89","133","34","0","169","88",
"  87年平均  Avg. 1998 ","257","88","102","25","77","67","39","28",""," ...","92","131","34","0","169","88",
"  88年平均  Avg. 1999 ","283","98","111","26","85","74","45","29",""," ...","95","147","40","0","188","95",
"  89年平均  Avg. 2000 ","293","101","117","27","90","75","44","31",""," ...","94","154","44","0","197","95",
"  90年平均  Avg. 2001 ","450","164","182","44","138","104","64","40",""," ...","130","243","76","0","302","148",
"  91年平均  Avg. 2002 ","515","172","215","50","165","128","76","51",""," ...","145","279","91","0","348","167",
"  92年平均  Avg. 2003 ","503","167","207","48","159","129","73","55",""," ...","131","265","106","0","326","177",
"  93年平均  Avg. 2004 ","454","134","184","42","142","136","70","66",""," ...","120","239","95","0","288","166",
"  94年平均  Avg. 2005 ","428","113","171","41","131","144","68","77",""," ...","112","230","86","1","259","169",
"  95年平均  Avg. 2006 ","411","92","166","37","128","154","65","89",""," ...","104","233","74","0","245","166",
"  96年平均  Avg. 2007 ","419","90","166","37","129","164","61","102",""," ...","104","240","75","1","248","171",
"  97年平均  Avg. 2008 ","450","100","166","40","126","184","64","120",""," ...","110","251","88","0","271","179",
"  98年平均  Avg. 2009 ","639","148","234","56","179","256","92","163",""," ...","127","372","139","0","404","235",
"  99年平均  Avg. 2010 ","577","120","212","50","162","245","81","164",""," ...","114","337","125","0","362","215",
" 100年平均  Avg. 2011 ","491","89","178","45","134","224","64","140","20","","109","281","101","0","297","194",
" 101年平均  Avg. 2012 ","481","83","162","42","120","236","60","151","25","","113","276","91","0","286","195",
" 102年平均  Avg. 2013 ","478","81","157","40","117","240","58","157","25","","119","268","91","0","286","192",
" 103年平均  Avg. 2014 ","457","70","146","37","110","240","58","158","24","","112","258","87","0","275","182",
" 104年平均  Avg. 2015 ","440","59","147","37","110","234","51","158","25","","109","246","84","0","263","177",
" 105年平均  Avg. 2016 ","460","64","150","40","110","246","54","165","27","","112","254","93","0","274","185",
" 資料來源： 行政院主計總處「人力資源調查」。 ","","","","","","","  Source： Directorate-General of Budget, Accounting and Statistics, Executive Yuan "Manpower Survey".","","","","","","","","","",
" 說　　明： 99年(含)以前，「大學」係含研究所者。 ","","","","","","","  Note： Before 2010, data of "University" contain "Graduate school".","","","","","","","","","",
" ","","    -14-","","","","","","","","","","    -15-","","","","",
