" ","  表 2-12 就業者及受僱者－按行業分","","","","","","","","","","  Table 2-12  Employed Persons and Paid Employees by Industry","","","","","","","","",""," ","  表 2-12 就業者及受僱者－按行業分(續)","","","","","","","","","  Table 2-12  Employed Persons and Paid Employees by Industry(Cont.)","","","","","","","","","","",
" ","","","","","","","","  單位：千人","","","","","","","","","","","  Unit：Thousand Persons",""," ","","","","","","","","  單位：千人","","","","","","","","","","","  Unit：Thousand Persons","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","  公共行政及國防；","","","","","","","","","",
,,,,,,,,,"","","  用水供應及","","","","","","","","",""," ","","","","","","","  專業、科學","","","","","","","","  醫療保健及","","  藝術、娛樂及","","","",
" 年　月　別 ","  總　　計","","  農、林、漁、牧業","","  礦業及土石採取業","","  製　造　業","","  電力及燃氣供應業","","  污染整治業","","  營　造　業","","  批發及零售業","","  運輸及倉儲業","","  住宿及餐飲業",""," 年　月　別 ","  資訊及通訊傳播業","","  金融及保險業","","  不 動 產 業","","  及技術服務業","","  支援服務業","","  強制性社會安全","","  教育服務業","","  社會工作服務業","","  休閒服務業","","  其他服務業","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","  Public adminis-","","","","","","","","","",
" ","","","  Agriculture,forestry,","","","","","","  Electricity &","","  Water supply &","","","","  Wholesale &","","  Transportation &","","  Accommodation",""," ","  Information &","","  Financial &","","","","  Professional, scientific","","  Support service","","  tration & defence;","","","","  Human health &","","  Arts, entertainment","","  Other service","",
" Year and month ","  Grand total","","  fishing &","","  Mining & quarrying","","  Manufacturing","","","","  remediation","","  Construction","","","","","","  & food service","",,,,,,,,,,,,,,,,,,,,,,
" ","","","  animal husbandry","","","","","","  gas supply","","  activities","","","","  retail trade","","  storage","","  activities",""," Year and month ","  communication","","  insurance activities","","  Real estate activities","","  & technical activities","","  activities","","  Compulsory social security","","  Education","","  social work activities","","  & recreation","","  activities","",
"  90年平均  Avg. 2001 ","9383","","706","","10","","2594","","28","","54","","745","","1679","","421","","532","","  90年平均  Avg. 2001 ","190","","373","","40","","202","","153","","315","","484","","268","","93","","496","",
"  91年平均  Avg. 2002 ","9454","","709","","9","","2572","","28","","55","","724","","1693","","407","","579","","  91年平均  Avg. 2002 ","191","","380","","41","","220","","158","","316","","488","","281","","107","","496","",
"  92年平均  Avg. 2003 ","9573","","696","","9","","2600","","29","","59","","701","","1698","","414","","590","","  92年平均  Avg. 2003 ","187","","378","","44","","224","","180","","352","","514","","292","","110","","497","",
"  93年平均  Avg. 2004 ","9786","","642","","7","","2681","","29","","64","","732","","1726","","419","","605","","  93年平均  Avg. 2004 ","195","","390","","55","","234","","183","","357","","538","","303","","114","","510","",
"  94年平均  Avg. 2005 ","9942","","590","","7","","2732","","28","","61","","791","","1726","","412","","634","","  94年平均  Avg. 2005 ","199","","406","","61","","258","","194","","336","","556","","323","","116","","513","",
"  95年平均  Avg. 2006 ","10111","","554","","7","","2777","","28","","60","","829","","1759","","417","","665","","  95年平均  Avg. 2006 ","209","","407","","66","","264","","205","","334","","563","","334","","111","","524","",
"  96年平均  Avg. 2007 ","10294","   (7,735)","543","      (73)","6","       (6)","2842","   (2,554)","28","      (28)","65","      (59)","846","     (709)","1782","     (984)","415","     (311)","681","     (366)","  96年平均  Avg. 2007 ","206","     (193)","404","     (401)","74","      (63)","301","     (222)","215","     (190)","332","     (332)","588","     (551)","340","     (304)","101","      (77)","523","     (311)",
"  97年平均  Avg. 2008 ","10403","   (7,902)","535","      (81)","6","       (5)","2886","   (2,600)","28","      (28)","71","      (65)","842","     (705)","1770","     (997)","414","     (314)","687","     (381)","  97年平均  Avg. 2008 ","203","     (192)","411","     (407)","74","      (65)","317","     (241)","231","     (208)","343","     (343)","605","     (567)","355","     (319)","98","      (75)","528","     (309)",
"  98年平均  Avg. 2009 ","10279","   (7,889)","543","      (84)","5","       (4)","2790","   (2,522)","29","      (29)","73","      (66)","788","     (658)","1735","   (1,008)","402","     (309)","693","     (395)","  98年平均  Avg. 2009 ","207","     (196)","413","     (409)","68","      (60)","315","     (247)","232","     (210)","382","     (382)","613","     (582)","368","     (334)","96","      (76)","527","     (317)",
"  99年平均  Avg. 2010 ","10493","   (8,104)","550","      (83)","4","       (4)","2861","   (2,600)","29","      (29)","78","      (70)","797","     (668)","1747","   (1,028)","404","     (310)","727","     (418)","  99年平均  Avg. 2010 ","208","     (196)","428","     (424)","75","      (66)","325","     (255)","236","     (216)","389","     (389)","619","     (588)","386","     (354)","98","      (80)","532","     (327)",
