" "," 表 2-13 非勞動力狀況","","","","",""," Table 2-13  Not in the Labor Force Status","","","","","",
" ","","",""," 單位：千人、%","","","","","","","  Unit：Thousand Persons、%","",
" ","","","  未參與勞動之原因","","","",""," Not in the labor force by reason","","","","",
" 年　 　別 ","  總　　計","","","",,,,,,,,,
" ","","","  想工作而未找工作","","  求學及準備升學","","  料理家務","","  高齡、身心障礙","","  其　　他","",
,,,,," Attend sch. or","","","","  Old age or","","","",
" Year Grand total ","","  %"," but not seeking Intend to work","  %",,,,,,,,,
"  67年平均  Avg. 1978 ","4448","100","67","1.5"," rebrush to take entr. Exam.","  %"," Housekeeping","  %","  disable","  %","  Others","  %",
"  68年平均  Avg. 1979 ","4577","100","62","1.35",,,,,,,,,
"  69年平均  Avg. 1980 ","4749","100","55","1.17",,,,,,,,,
,,,,,"1150","25.85","2372","53.33","637","14.32","222","5",
"  70年平均  Avg. 1981 ","4934","100","60","1.21",,,,,,,,,
,,,,,"1207","26.37","2432","53.13","668","14.59","208","4.55",
"  71年平均  Avg. 1982 ","5054","100","68","1.35","1269","26.72","2473","52.08","708","14.91","244","5.13",
"  72年平均  Avg. 1983 ","4996","100","77","1.54",,,,,,,,,
,,,,,"1303","26.42","2575","52.18","756","15.31","241","4.88",
,,,,,"1337","26.45","2587","51.18","782","15.48","280","5.54",
"  73年平均  Avg. 1984 ","5052","100","77","1.52","1337","26.76","2482","49.68","805","16.1","296","5.92",
"  74年平均  Avg. 1985 ","5210","100","86","1.66",,,,,,,,,
"  75年平均  Avg. 1986 ","5216","100","90","1.73",,,,,,,,,
,,,,,"1383","27.37","2452","48.54","842","16.67","298","5.91",
"  76年平均  Avg. 1987 ","5248","100","80","1.52","1426","27.37","2491","47.81","885","16.98","322","6.18",
"  77年平均  Avg. 1988 ","5449","100","75","1.38","1448","27.76","2418","46.35","914","17.52","346","6.64",
"  78年平均  Avg. 1989 ","5565","100","75","1.35",,,,,,,,,
,,,,,"1488","28.35","2391","45.56","953","18.16","336","6.4",
,,,,,"1561","28.65","2460","45.15","1015","18.62","338","6.2",
"  79年平均  Avg. 1990 ","5795","100","85","1.47","1588","28.54","2513","45.15","1051","18.88","338","6.07",
"  80年平均  Avg. 1991 ","5927","100","85","1.44",,,,,,,,,
"  81年平均  Avg. 1992 ","6006","100","68","1.13",,,,,,,,,
,,,,,"1662","28.67","2597","44.82","1100","18.98","351","6.05",
"  82年平均  Avg. 1993 ","6213","100","84","1.35","1721","29.04","2636","44.48","1155","19.49","329","5.56",
"  83年平均  Avg. 1994 ","6321","100","86","1.37",,,,,,,,,
,,,,,"1778","29.6","2606","43.39","1220","20.31","335","5.57",
"  84年平均  Avg. 1995 ","6478","100","107","1.66",,,,,,,,,
,,,,,"1890","30.41","2596","41.79","1304","20.99","338","5.45",
,,,,,"1909","30.2","2611","41.31","1368","21.64","347","5.48",
"  85年平均  Avg. 1996 ","6621","100","119","1.8",,,,,,,,,
,,,,,"1951","30.13","2624","40.51","1438","22.2","357","5.51",
"  86年平均  Avg. 1997 ","6738","100","107","1.6",,,,,,,,,
"  87年平均  Avg. 1998 ","6902","100","115","1.67","2003","30.26","2595","39.2","1527","23.06","376","5.68",
"  88年平均  Avg. 1999 ","7020","100","142","2.03",,,,,,,,,
,,,,,"2059","30.55","2607","38.69","1592","23.63","373","5.53",
"  89年平均  Avg. 2000 ","7178","100","147","2.05",,,,,,,,,
,,,,,"2089","30.27","2642","38.27","1656","24","399","5.78",
"  90年平均  Avg. 2001 ","7347","100","201","2.73","2090","29.78","2639","37.6","1704","24.27","444","6.33",
,,,,,"2129","29.66","2673","37.23","1766","24.6","463","6.45",
"  91年平均  Avg. 2002 ","7417","100","225","3.03",,,,,,,,,
,,,,,"2156","29.35","2673","36.39","1831","24.92","486","6.62",
"  92年平均  Avg. 2003 ","7495","100","229","3.06",,,,,,,,,
"  93年平均  Avg. 2004 ","7520","100","230","3.06","2139","28.84","2672","36.03","1865","25.14","517","6.97",
"  94年平均  Avg. 2005 ","7578","100","209","2.76",,,,,,,,,
,,,,,"2154","28.73","2634","35.14","1921","25.63","558","7.44",
"  95年平均  Avg. 2006 ","7644","100","198","2.59",,,,,,,,,
,,,,,"2147","28.55","2567","34.14","1994","26.52","580","7.72",
"  96年平均  Avg. 2007 ","7679","100","191","2.49","2155","28.44","2523","33.29","2075","27.38","616","8.13",
,,,,,"2190","28.65","2445","31.98","2121","27.75","691","9.03",
"  97年平均  Avg. 2008 ","7770","100","168","2.16",,,,,,,,,
,,,,,"2187","28.48","2386","31.06","2146","27.95","769","10.01",
"  98年平均  Avg. 2009 ","7937","100","177","2.23",,,,,,,,,
"  99年平均  Avg. 2010 ","7992","100","161","2.02",,,,,,,,,
,,,,,"2178","28.03","2376","30.57","2211","28.45","838","10.78",
" 100年平均  Avg. 2011 ","8053","100","152","1.89",,,,,,,,,
,,,,,"2197","27.68","2366","29.81","2305","29.03","893","11.25",
" 101年平均  Avg. 2012 ","8096","100","150","1.85","2167","27.11","2364","29.58","2350","29.41","950","11.88",
" 102年平均  Avg. 2013 ","8142","100","152","1.87",,,,,,,,,
,,,,,"2168","26.92","2395","29.74","2369","29.42","969","12.03",
,,,,,"2159","26.67","2406","29.72","2405","29.71","975","12.04",
" 103年平均  Avg. 2014 ","8170","100","144","1.76","2125","26.11","2428","29.82","2442","29.99","995","12.22",
" 104年平均  Avg. 2015 ","8204","100","147","1.79",,,,,,,,,
,,,,,"2089","25.57","2490","30.48","2434","29.8","1013","12.4",
" 105年平均  Avg. 2016 ","8235","100","149","1.81","2063","25.15","2516","30.67","2462","30.01","1016","12.38",
" 資料來源： 行政院主計總處「人力資源調查」。 ","","","","",,,,,,,,,
,,,,,"2044","24.82","2548","30.94","2480","30.11","1015","12.32",
,,,,," Source：  Directorate-General of Budget, Accounting and Statistics, Executive Yuan "Manpower Survey".","","","","","","","",
" ","","   -30-","","",,,,,,,,,
"","","","    -31-","","","","",
