" ","  表 2-14 各業受僱員工空缺人數及空缺率","","","","","","","","  Table 2-14  Employees and Rates of Vacancy on Payrolls of Establishments","","","","","","","","",""," ","  表 2-14 各業受僱員工空缺人數及空缺率(續)","","","","","","","","  Table 2-14 Employees and Rates of Vacancy on Payrolls of Establishments","","","","","","","","","","","",
,,,,,,,,,"","","","","  by Industry","","","","","",,,,,,,,,,"","","","","","  by Industry(Cont.)ˉ","","","","","","",
" ","","","","","","","  單位：人、%","","","","","","","","","","  Unit：Person、%",""," ","","","","","","","  單位：人、%","","","","","","","","","","","","  Unit：Person、%","",
" ","  總　計","","  礦業及土石採取業","","  製造業","","  電力及燃氣供應業","","  用水供應及污染整治業","","  營　造　業","","  批發及零售業","","  運輸及倉儲業","","  住宿及餐飲業",""," ","  資訊及通訊傳播業","","  金融及保險業","","  不 動 產 業","","  專業、科學","","  支援服務業","","  教育服務業","","","","  醫療保健及","","  藝術、娛樂及","","  其他服務業","",
,,,,,,,,,,,,,,,,,,," ","","","","","","","  及技術服務業","","","","","","","","  社會工作服務業","","  休閒服務業","","","",
" 年　月　別 ","","","","","","","","",,,,,,,,,,," 年　月　別 ","","","","","","","","",,,,,,,,,,,,,
" ","  Grand total","","  Mining & quarrying","","  Manufacturing","","  Electricity &","","  Water supply &","","  Construction","","  Wholesale &","","  Transportation &","","  Accommodation &",""," ","  Information &","","  Financial &","","  Real estate activities","","  Professional, scientific","","  Support service","",""," Education","","","  Human health &","","  Arts, entertainment","","  Other service activities","",
" ","","","","","","","  gas supply","","  remediation activities","","","","  retail trade","","  storage","","  food service activities",""," ","  communication","","  insurance activities","","","","  & technical activities","","  activities","","","","","","  social work activities","","  & recreation","","","",
" ","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率"," ","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","","  空缺率","","  空缺人數","  空缺率","  空缺人數","  空缺率","  空缺人數","  空缺率",
" ","","  Labor","","  Labor","","  Labor","","  Labor","","  Labor","","  Labor","","  Labor","","  Labor","","  Labor"," ","","  Labor","","  Labor","","  Labor","","  Labor","","  Labor","","","  Labor","","","  Labor","","  Labor","","  Labor",
