" ","  表 3-1 工會數及會員數","","","","","","","","","","","  Table 3-1 Labor Unions and Members","","","","","","",
" ","","","","","","  單位：家、人、%","","","","","","","","","","  Unit：Establishment、Person、％","","",
" ","","  總　　　計","","","",""," 工　  會","","  聯　　合　　組　　織","","","","   企  業  工  會","","  產  業  工  會","","  職  業  工  會","",
,,,,,,,,,"  of labor unions","","","","   Corporate unions","","  Industrial unions","","  Professional unions","",
" 年  底  別 ","","  Grand total","","","",""," Federations","",,,,,,,,,,,
" ","","  團　體","","","","","","",,,,,,,,,,,
" ","  工會數","  會員數","","  會員人數","  全國勞工"," 企業及產業"," 團　體","","  職  業","  團　體","   綜合性","  團　體","   工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數",
" ","","","",""," 工會組織率",""," 會員數","","","  會員數","","  會員數","","","","","","",
" End of year ","  Unions"," Institutional","","  Personal"," Organization"," Corporate and"," Institutional","",,,,,,,,,,,
,,,,,,,,,"  Profession","  Institutional","   Others","  Institutional","   Unions","  Personal","  Unions","  Personal","  Unions","  Personal",
" ",""," members","","  members","  rate"," Industrial"," members","","","  members","","  members","","  members","","  members","","  members",
"  76年底  End of 1987 ","2510",""," ...","2099813","34.2","23",""," ...","16","","25","","1160","703526","0","0","1286","1396287",
"  77年底  End of 1988 ","3041",""," ...","2260585","37.6","23",""," ...","28","","25","","1285","696515","0","0","1680","1564070",
"  78年底  End of 1989 ","3315","4254","","2419664","38.1","23","680","","39","448","25","3126","1345","698118","0","0","1883","1721546",
,,,,,,,,,"39","444","25","3332","1354","699372","0","0","2083","2057248",
"  79年底  End of 1990 ","3524","4435","","2756620","43.3","23","659","",,,,,,,,,,,
"  80年底  End of 1991 ","3654","4560","","2941766","48","23","652","","39","493","25","3415","1350","692579","0","0","2217","2249187",
"  81年底  End of 1992 ","3657","4596","","3058414","48.1","21","610","","40","478","25","3508","1300","669083","0","0","2271","2389331",
"  82年底  End of 1993 ","3689","4654","","3172116","49.5","20","595","","40","525","25","3534","1271","651086","0","0","2333","2521030",
"  83年底  End of 1994 ","3706","4651","","3277833","48.9","20","575","","42","521","25","3555","1237","637095","0","0","2382","2640738",
"  84年底  End of 1995 ","3704","4475","","3135875","46.6","20","562","","42","518","25","3395","1204","598479","0","0","2413","2537396",
,,,,,,,,,"43","585","25","3381","1190","587559","0","0","2422","2460711",
"  85年底  End of 1996 ","3700","4526","","3048270","44.6","20","560","",,,,,,,,,,,
"  86年底  End of 1997 ","3714","4549","","2952883","42.2","20","540","","46","609","25","3400","1196","588997","0","0","2427","2363886",
"  87年底  End of 1998 ","3732","4541","","2921400","41.1","20","527","","47","618","25","3396","1176","575606","0","0","2464","2345794",
"  88年底  End of 1999 ","3804","4560","","2927361","40","20","512","","50","649","25","3399","1175","613963","0","0","2534","2313398",
"  89年底  End of 2000 ","3836","4503","","2868330","38.5","20","478","","50","647","25","3378","1128","588832","0","0","2613","2279498",
