"","  表 3-2 工會數及會員數─按地區分","","","","","","","","","  Table 3-2 Labor Unions and Members by Area","","","","","","","",
"","","  中華民國105年底","","","","  單位：家、人","","","","","","   End of 2016","","","  Unit：Establishment、Person","","",
"","","","  總　　　計","","","  工　  會","","  聯　　合　　組　　織","","","","  企  業  工  會","","  產  業  工  會","","  職  業  工  會","",
,,,,,,,,"  of labor unions","","","","  Corporate unions","","  Industrial unions","","  Professional unions","",
"  地　　區　　別","","","  Grand total","","","  Federations","",,,,,,,,,,,
"","","  團　體","","","","","",,,,,,,,,,,
"","  工會數","  會員數","  會員人數","  男","  女"," 企業及產業 Corporate","  團　體會員數","  職  業","  團　體","  綜合性","  團　體","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數",
,,,,,,,,"","  會員數","","  會員數","","","","","","",
""," Area  Unions","  Institutional members","  Personalmembers","  Male","  Female","  Industrial and"," Institutional members","  Profession","  Institutional","  Others","  Institutional","  Unions","  Personal","  Unions","  Personal","  Unions","  Personal",
,,,,,,,,"","  members","","  members","","  members","","  members","","  members",
" 總　　  計　Grand total","5485","5178","3348702","1686886","1661816","43","308","108","623","104","4247","924","553815","179","79687","4127","2715200",
" 　本　  部","162","1075","172442","141064","31378","29","194","106","568","18","313","7","146556","0","0","2","25886",
" 　Ministry of  Labor","","","","","","","",,,,,,,,,,,
" 　新 北 市　New Taipei City","422","238","449971","217658","232313","0","0","0","0","5","238","69","33451","29","24671","319","391849",
" 　臺 北 市　Taipei City","569","263","539215","275702","263513","4","2","0","0","18","261","159","105705","50","823","338","432687",
" 　桃 園 市　Taoyuan City","481","403","204346","105974","98372","1","4","0","0","3","399","171","53238","6","4097","300","147011",
" 　臺 中 市　Taichung City","444","435","289808","139903","149905","0","0","0","0","5","435","51","22329","11","5513","377","261966",
" 　臺 南 市　Tainan City","414","373","228153","105924","122229","0","0","0","0","5","373","52","22394","14","10360","343","195399",
" 　高 雄 市　Kaohsiung City","856","694","469106","223179","245927","6","67","1","55","9","572","174","63427","38","18130","628","387549",
" 　宜 蘭 縣　Yilan County","208","155","88525","41204","47321","0","0","0","0","5","155","15","2497","1","32","187","85996",
" 　新 竹 縣　Hsinchu County","155","137","53186","26880","26306","0","0","0","0","2","137","38","9427","6","1655","109","42104",
" 　苗 栗 縣　Miaoli County","145","114","49544","26577","22967","0","0","0","0","3","114","16","5118","2","86","124","44340",
" 　彰 化 縣　Changhwa County","221","245","134315","67741","66574","0","0","0","0","7","245","30","11044","4","1115","180","122156",
" 　南 投 縣　Nantou County","132","57","66770","29439","37331","0","0","0","0","1","57","4","751","3","3294","124","62725",
" 　雲 林 縣　Yunlin County","211","120","104802","53884","50918","2","0","0","0","2","120","18","13103","2","6588","187","85111",
" 　嘉 義 縣　Chiayi County","122","95","57321","30119","27202","0","0","0","0","1","95","10","7111","0","0","111","50210",
" 　屏 東 縣　Pingtung County","169","95","106736","49034","57702","0","0","0","0","5","95","14","5323","1","2797","149","98616",
" 　臺 東 縣　Taitung County","73","58","18474","8875","9599","0","0","0","0","1","58","2","467","3","249","67","17758",
" 　花 蓮 縣　Hwalien County","141","115","52326","23771","28555","0","0","1","0","1","115","13","2107","5","156","121","50063",
" 　澎 湖 縣　Penghu County","24","20","7878","3564","4314","0","0","0","0","1","20","1","100","0","0","22","7778",
" 　基 隆 市　Keelung City","185","176","85864","39447","46417","0","0","0","0","6","176","14","3286","1","24","164","82554",
" 　新 竹 市　Hsinchu City","165","160","72112","32744","39368","0","0","0","0","2","160","10","3964","2","64","151","68084",
" 　嘉 義 市　Chiayi City","119","88","54051","23400","30651","0","0","0","0","2","88","10","3020","1","33","106","50998",
" 　金 門 縣　Kinmen County","23","19","5171","3149","2022","0","0","0","0","1","19","5","930","0","0","17","4241",
" 　連 江 縣　Lienchiang County","3","2","201","148","53","0","0","0","0","1","2","1","82","0","0","1","119",
" 　加工出口區","40","41","37343","16975","20368","1","41","0","0","0","0","39","37343","0","0","0","0",
" 　Export Processing Zones","","","","","","","",,,,,,,,,,,
" 　科學工業園區","1","0","1042","531","511","0","0","0","0","0","0","1","1042","0","0","0","0",
" 　Science Parks","","","","","","","",,,,,,,,,,,
" 資料來源： 勞動部勞動關係司。","","","","","","","","  Source： The Department of Employment Relations, MOL.","","","","","","","","","",
" 說　　明： 本表數字係依100年5月1日修訂生效之工會法分類統計。","","","","","","","","  Note： For statistical figures tabulated in this table, the amended Labor Union Act taking effect on May 1st, 2011 have been referred.","","","","","","","","","",
"","","","    -38-","","","","","","","","","    -39-","","","","","",
