" ","   3-3 穨穦の玻穨穦⌒︽穨だ","","","","","","","","","","","","","","",""," Table 3-3 Corporate and Industrial Unions by Industry","","","","","","","","","","","","  3-3 穨穦の玻穨穦⌒︽穨だ(尿) ","","","","","","","","","","","","","",""," Table 3-3 Corporate and Industrial Unions by Industry (Cont.)","","","","","","","","","",
" ","","","","","","","","","","",""," 虫產","","","","","","","","","","","","","","  UnitEstablishmentPerson","",""," ","","","","","","","","","","",""," 虫產","","","","","","","","","","  UnitEstablishmentPerson","","",
" ","","","","  羆      璸","","","","","   笰狶寒穨","","","","   膓穨のホ蹦穨","","","","","","    籹 硑 穨","","","   筿縐穨","","","","","    犁 硑 穨",""," ","","","  у祇 箂扳の繺都穨","","","","","","   笲块纗の硄獺穨","","","","  磕玂繧のぃ笆玻穨","","","","  坝狝叭穨","","  穦狝叭の狝叭穨","","","","  そ  ︽ 現 穨","",
"    ┏    ","","","","","","","","","","","","",,,,,,,,,,,,,,,,,"    ┏    ","","","","","","","","","","","","","  Finance, insurance,","","","","","","  Social, personal & related","","","","","",
" ","","",""," Grand total","","","  Agriculture,forestry fishing & animal husbandry","","","","","","   Mining & quarrying","","","","","","   Manufacturing","","   Electricity, gas & water","","","","","","    Construction",""," ","","  Trade & eating-drinking places","","","","","","  Transport, storage &  communication","","","","","      & real estate","","",""," Business services","","      community service","","","  Public administration","","",
" ",""," 穦计","","","  穦计","","",""," 穦计","","  穦计","","   穦计","",""," 穦计","","  穦计",""," 穦计","   穦计","","  穦计","","","  穦计",""," 穦计"," ",""," 穦计","","","  穦计","","",""," 穦计","","  穦计","","  穦计",""," 穦计","  穦计",""," 穦计","  穦计","","  穦计","  穦计",""," 穦计",
" End of year ","","","","","","","","","","","","",,,,,,,,,,,,,,,,," End of year ","","","","","","","","","","","","",,,,,,,,,,,,,
" ",""," Unions","","","  Members","","",""," Unions","","  Members","","   Unions","",""," Members","","  Unions",""," Members","   Unions","",""," Members","","  Unions",""," Members"," ",""," Unions","","",""," Members","",""," Unions","","  Members","","  Unions",""," Members","  Unions",""," Members","  Unions","","  Members","  Unions",""," Members",
"  81┏  End of 1992 ","","1300","","","","669083","","","12","","","4271","","15","","2427","","","1040","421790","","24","","38841","","","9","15405","  81┏  End of 1992 ","","12","","","","3284","","","110","","","166344","","53","4616","","2","1695","","23","10410","","0","0",
"  82┏  End of 1993 ","","1271","","","","651086","","","12","","","4097","","13","","2031","","","1011","406121","","23","","39243","","","9","14517","  82┏  End of 1993 ","","12","","","","3321","","","112","","","164472","","51","4494","","2","1642","","26","11148","","0","0",
