""," 表 3-4 企業工會及產業工會─按地區及行業分","","","","","","","","","  Table 3-4 Corporate and Industrial Unions by Area and Industry","","","","","","","","","","",""," 表 3-4 企業工會及產業工會－按地區及行業分(續)  ˉ","","","","","","","","","  Table 3-4 Corporate and Industrial Unions by Area and Industry (Cont.)","","","","","","","","","","",
"","","  中華民國105年底","","","","","  單位：家、人","","","","","","","   End of 2016","","","","  Unit：Establishment、Person","","","","","  中華民國105年底","","","","","  單位：家、人","","","","","","","   End of 2016","","","","  Unit：Establishment、Person","","",
,,,,,,,,,"  電力及燃氣","","  用水供應及","","","","","","","","","","","  出版、影音製作、","","","","","","  專業、科學","","","","  公共行政及國防；","","","","  醫療保健及","","  藝術、娛樂及","","","",
"","  總      計","","  農、林、漁、牧業","","  礦業及土石採取業","","  製　造　業","","","","","","  營建工程業","","  批發及零售業","","  運輸及倉儲業","","  住宿及餐飲業","","","","","  金融及保險業","","  不 動 產 業","","","","  支援服務業","","","","  教　育　業","","","","","","  其他服務業","",
"  地　區　別","","","","","","","","","  供應業","","  污染整治業","","","","","","","","","","  地　區　別","  傳播及資通訊服務業","","","","","","  及技術服務業","","","","  強制性社會安全","","","","  社會工作服務業","","  休閒服務業","","","",
"","","","  Agriculture, forestry,","","","","","","","","  Water supply &","","","","","","","","  Accommodation &","",,,,,,,,,,"","","  Public administration","","","","  Human health &","","","","","",
,,,,,,,,,"  Electricity &","","","","","","  Wholesale &","","  Transportation &","","","","","  Information &","","  Financial &","","  Real estate","","  Professional, scientific","","  Support service","","","","","","","","  Arts, entertainment","","  Other service","",
"","  Grand total","","  fishing & animal","","  Mining & quarrying","","  Manufacturing","","","","  remediation","","  Construction","","","","","","  food service","",,,,,,,,,,"","","  & defence; Compulsory","","  Education","","  social work","","","","","",
"","","","  husbandry","","","","","","  gas supply","","  activities","","","","  retail trade","","  storage","","  activities","","","  communication","","  insurance activities","","  activities","","  & technical activities","","  activities","","  social security","","","","  activities","","  & recreation","","  activities","",
""," Area  工會數"," 會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數",""," Area  工會數"," 會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數","  工會數","  會員人數",
"","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members",
" 總　　  計　Grand total","1103","633502","9","1329","10","2437","571","286627","15","30987","6","1972","13","4429","23","2482","117","64955","8","1640"," 總　　  計　Grand total","44","66990","66","66238","3","104","14","2072","7","147","48","21897","43","67364","26","6167","22","1059","58","4606",
" 　本　  部","7","146556","0","0","0","0","1","34015","1","27550","0","0","1","0","0","0","3","27913","0","0"," 　本　  部","1","57078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　Ministry of  Labor","","","","","","","","",,,,,,,,,,,,," 　Ministry of  Labor","","","","","","","","",,,,,,,,,,,,,
" 　新 北 市　New Taipei City","98","58122","0","0","0","0","40","22098","3","296","2","464","1","32","8","620","11","5406","2","164"," 　新 北 市　New Taipei City","2","1308","2","179","1","104","1","33","0","0","5","2667","11","23473","1","38","4","317","4","923",
" 　臺 北 市　Taipei City","209","106528","0","0","3","45","23","11098","1","302","2","1073","7","3588","4","898","27","10758","2","581"," 　臺 北 市　Taipei City","31","4962","46","59395","2","0","6","1531","4","0","10","10857","11","322","9","354","7","279","14","485",
" 　桃 園 市　Taoyuan City","177","57335","0","0","0","0","147","47755","0","0","0","0","1","38","0","0","12","4039","2","682"," 　桃 園 市　Taoyuan City","1","33","0","0","0","0","1","50","1","30","5","529","1","3945","0","0","1","57","5","177",
" 　臺 中 市　Taichung City","62","27842","1","92","0","0","35","16592","0","0","0","0","1","34","3","192","7","1698","0","0"," 　臺 中 市　Taichung City","1","43","3","1838","0","0","1","41","0","0","2","1929","3","5146","1","42","2","83","2","112",
" 　臺 南 市　Tainan City","66","32754","0","0","3","276","41","21189","0","0","0","0","0","0","0","0","3","471","0","0"," 　臺 南 市　Tainan City","2","687","0","0","0","0","1","118","1","72","0","0","2","9300","2","142","3","139","8","360",
" 　高 雄 市　Kaohsiung City","212","81557","0","0","2","388","97","38588","5","1838","0","0","2","737","5","646","30","6834","2","213"," 　高 雄 市　Kaohsiung City","3","2021","10","2857","0","0","2","78","1","45","21","5476","4","15140","10","4314","2","92","16","2290",
" 　宜 蘭 縣　Yilan County","16","2529","1","153","0","0","10","2167","0","0","0","0","0","0","0","0","1","52","0","0"," 　宜 蘭 縣　Yilan County","0","0","0","0","0","0","0","0","0","0","2","69","0","0","1","56","0","0","1","32",
" 　新 竹 縣　Hsinchu County","44","11082","0","0","0","0","35","9029","1","134","0","0","0","0","1","43","1","65","0","0"," 　新 竹 縣　Hsinchu County","1","50","0","0","0","0","1","221","0","0","0","0","2","1459","1","41","0","0","1","40",
" 　苗 栗 縣　Miaoli County","18","5204","0","0","0","0","14","5075","0","0","0","0","0","0","0","0","0","0","0","0"," 　苗 栗 縣　Miaoli County","0","0","1","43","0","0","1","0","0","0","0","0","1","33","0","0","0","0","1","53",
" 　彰 化 縣　Changhwa County","34","12159","0","0","0","0","24","9194","1","138","1","318","0","0","1","53","3","1646","0","0"," 　彰 化 縣　Changhwa County","1","743","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","2","37",
" 　南 投 縣　Nantou County","7","4045","1","185","0","0","4","928","0","0","0","0","0","0","0","0","0","0","0","0"," 　南 投 縣　Nantou County","0","0","0","0","0","0","0","0","0","0","0","0","1","2932","0","0","0","0","1","0",
" 　雲 林 縣　Yunlin County","20","19691","0","0","1","1679","14","14754","2","652","0","0","0","0","0","0","2","121","0","0"," 　雲 林 縣　Yunlin County","0","0","0","0","0","0","0","0","0","0","0","0","1","2485","0","0","0","0","0","0",
" 　嘉 義 縣　Chiayi County","10","7111","0","0","1","49","9","7062","0","0","0","0","0","0","0","0","0","0","0","0"," 　嘉 義 縣　Chiayi County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　屏 東 縣　Pingtung County","15","8120","2","277","0","0","8","2199","0","0","0","0","0","0","0","0","3","2772","0","0"," 　屏 東 縣　Pingtung County","0","0","0","0","0","0","0","0","0","0","1","75","1","2797","0","0","0","0","0","0",
" 　臺 東 縣　Taitung County","5","716","1","143","0","0","2","467","1","77","0","0","0","0","0","0","0","0","0","0"," 　臺 東 縣　Taitung County","0","0","1","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　花 蓮 縣　Hwalien County","18","2263","1","129","0","0","9","1718","0","0","0","0","0","0","0","0","1","46","0","0"," 　花 蓮 縣　Hwalien County","0","0","1","0","0","0","0","0","0","0","0","0","2","245","0","0","2","62","2","63",
" 　澎 湖 縣　Penghu County","1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100","0","0"," 　澎 湖 縣　Penghu County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　基 隆 市　Keelung City","15","3310","0","0","0","0","6","1024","0","0","0","0","0","0","0","0","7","2192","0","0"," 　基 隆 市　Keelung City","0","0","0","0","0","0","0","0","0","0","1","70","1","24","0","0","0","0","0","0",
" 　新 竹 市　Hsinchu City","12","4028","1","190","0","0","5","1330","0","0","0","0","0","0","1","30","2","547","0","0"," 　新 竹 市　Hsinchu City","0","0","1","1867","0","0","0","0","0","0","0","0","1","30","0","0","0","0","1","34",
" 　嘉 義 市　Chiayi City","11","3053","1","160","0","0","4","1217","0","0","0","0","0","0","0","0","2","208","0","0"," 　嘉 義 市　Chiayi City","0","0","1","30","0","0","0","0","0","0","1","225","1","33","1","1180","0","0","0","0",
" 　金 門 縣　Kinmen County","5","930","0","0","0","0","2","661","0","0","1","117","0","0","0","0","1","87","0","0"," 　金 門 縣　Kinmen County","1","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　連 江 縣　Lienchiang County","1","82","0","0","0","0","1","82","0","0","0","0","0","0","0","0","0","0","0","0"," 　連 江 縣　Lienchiang County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　加工出口區","39","37343","0","0","0","0","39","37343","0","0","0","0","0","0","0","0","0","0","0","0"," 　加工出口區","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　Export Processing Zones","","","","","","","","",,,,,,,,,,,,," 　Export Processing Zones","","","","","","","","",,,,,,,,,,,,,
" 　科學工業園區","1","1042","0","0","0","0","1","1042","0","0","0","0","0","0","0","0","0","0","0","0"," 　科學工業園區","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　Science Parks","","","","","","","","",,,,,,,,,,,,," 　Science Parks","","","","","","","","",,,,,,,,,,,,,
"  資料來源："," 勞動部勞動關係司。","","","","","","","","  Source：","  The Department of Employment Relations, MOL.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,
"  說　　明："," 依據「中華民國行業標準分類（第10次修訂）」編製。  ˉ","","","","","","","","  Note："," Data series were classified refer to Standard Industrial Classification System of R.O.C, Rev.10.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,
"","","","    -44-","","","","","","","","","","","    -45-","","","","","","","","","","    -46-","","","","","","","","","","","    -47-","","","","","","",
