" ",""," 表 3-7 事業單位團體協約及勞資會議現況","","","","","","","","","","","  Table 3-7 Status of Collective Agreement and Labor-management","","","","","","","","","","","",
,,,,,,,,,,,,"","","","   Committees of Enterprises","","","","","","","","","",
" ","","","","","","","","",""," 單位：家","","","","","","","","","","","",""," Unit：Establishment","",
" ","","","",""," 團      體      協      約","","","","","","","","  Collective agreement","","","","","  勞   資   會   議","","  Labor-management committees","","","","",
" ","  項   目   別","","","","","","","","","","",,,,,,,,,,,,,,
" ","","","","","",""," 企     業","","","","",,,,,,,,,,,,,,
" ",""," 總     計","  公    營",""," 民    營",""," Corporate"," 公    營",""," 民    營",""," 職        業",""," 公    營","   民    營","","","","","  公    營","",""," 民    營","",
" ","  Item","","","","","","","","","","",,,,,,,,,,,,,,
" ",""," Grand total"," Public sector",""," Private sector","","   Unions"," Public sector",""," Private sector",""," Professional unions",""," Public sector","   Private sector","","","",""," Public sector","",""," Private sector","",
"  79年底 ","   End of 1990","289",""," ...",""," ...","283",""," ...",""," ...","6","",""," ...",""," ...","","806","",""," ...",""," ...",
"  80年底 ","   End of 1991","302",""," ...",""," ...","295",""," ...",""," ...","7","",""," ...",""," ...","","851","",""," ...",""," ...",
"  81年底 ","   End of 1992","306","116","","190","","299","115","","184","","7","","1","","6","","","914","","430","","484","",
"  82年底 ","   End of 1993","292","112","","180","","287","112","","175","","5","","0","","5","","","932","","440","","492","",
"  83年底 ","   End of 1994","296","117","","179","","290","117","","173","","6","","0","","6","","","970","","473","","497","",
"  84年底 ","   End of 1995","287","119","","168","","282","119","","163","","5","","0","","5","","","980","","457","","523","",
"  85年底 ","   End of 1996","289","117","","172","","284","117","","167","","5","","0","","5","","","994","","458","","536","",
"  86年底 ","   End of 1997","297","121","","176","","293","121","","172","","4","","0","","4","","","1013","","451","","562","",
"  87年底 ","   End of 1998","300","122","","178","","296","122","","174","","4","","0","","4","","","1052","","491","","561","",
"  88年底 ","   End of 1999","301","123","","178","","297","123","","174","","4","","0","","4","","","1296","","547","","749","",
"  89年底 ","   End of 2000","301","121","","180","","297","121","","176","","4","","0","","4","","","1943","","646","","1297","",
"  90年底 ","   End of 2001","309","126","","183","","305","126","","179","","4","","0","","4","","","2617","","684","","1933","",
"  91年底 ","   End of 2002","283","108","","175","","281","108","","173","","2","","0","","2","","","2701","","630","","2071","",
"  92年底 ","   End of 2003","274","100","","174","","272","100","","172","","2","","0","","2","","","3429","","665","","2764","",
"  93年底 ","   End of 2004","260","98","","162","","241","87","","154","","19","","11","","8","","","5813","","1260","","4553","",
"  94年底 ","   End of 2005","255","82","","173","","236","71","","165","","19","","11","","8","","","6804","","1446","","5358","",
"  95年底 ","   End of 2006","75","16","","59","","73","16","","57","","2","","0","","2","","","7494","","429","","7065","",
"  96年底 ","   End of 2007","71","15","","56","","69","15","","54","","2","","0","","2","","","16607","","441","","16166","",
"  97年底 ","   End of 2008","60","14","","46","","59","14","","45","","1","","0","","1","","","22115","","466","","21649","",
"  98年底 ","   End of 2009","43","12","","31","","42","12","","30","","1","","0","","1","","","24164","","492","","23672","",
"  99年底 ","   End of 2010","43","13","","30","","42","13","","29","","1","","0","","1","","","28953","","505","","28448","",
" ","","","",""," 團      體      協      約","","","","","","","","  Collective agreement","","","",""," 勞   資   會   議",""," Labor-management committees","","","","",
" ","  項   目   別","","","","","","","","","","",,,,,,,,,,,,,,
" ","  Item","  總　　計","","",""," 企　　業","",""," 產　　業","",""," 職　　業",""," 其　　他","",""," 總　　計","","  公　　營","","",""," 民　　營","",
" ","","  Grand total","","","  Corporate unions","","","  Industrial Unions","","",""," Professional unions",""," Other unions","",""," Grand total","","  Public sector","","",""," Private sector","",
" 100年底 ","   End of 2011","","67","","","","62","","","4","","","1","","0","","","34423","","532","","","33891","",
" 101年底 ","   End of 2012","","83","","","","77","","","5","","","1","","0","","","38541","","576","","","37965","",
" 102年底 ","   End of 2013","","101","","","","94","","","6","","","1","","0","","","42773","","577","","","42196","",
" 103年底 ","   End of 2014","","300","","","","106","","","3","","","191","","0","","","48769","","609","","","48160","",
" 104年底 ","   End of 2015","","664","","","","131","","","342","","","191","","0","","","56205","","659","","","55546","",
" 105年底 ","   End of 2016","","698","","","","161","","","342","","","195","","0","","","66003","","684","","","65319","",
" "," 本　　部","","3","","","","3","","","0","","","0","","0","","","0","","0","","","0","",
" "," Ministry of  Labor","","","","","","","","","","",,,,,,,,,,,,,,
" "," 新  北  市　New Taipei City","","9","","","","8","","","1","","","0","","0","","","13403","","35","","","13368","",
" "," 臺  北  市　Taipei City","","37","","","","36","","","0","","","1","","0","","","3915","","121","","","3794","",
" "," 桃  園  市　Taoyuan City","","16","","","","16","","","0","","","0","","0","","","9462","","63","","","9399","",
" "," 臺  中  市　Taichung City","","8","","","","8","","","0","","","0","","0","","","12747","","94","","","12653","",
" "," 臺  南  市　Tainan City","","37","","","","35","","","1","","","1","","0","","","5537","","44","","","5493","",
" "," 高  雄  市　Kaohsiung City","","565","","","","34","","","339","","","192","","0","","","5345","","113","","","5232","",
" "," 其他縣市　Other Cities","","17","","","","15","","","1","","","1","","0","","","14880","","214","","","14666","",
" "," 加 工 出 口 區","","6","","","","6","","","0","","","0","","0","","","170","","0","","","170","",
" "," Export Processing Zones","","","","","","","","","","",,,,,,,,,,,,,,
" "," 科學工業園區","","0","","","","0","","","0","","","0","","0","","","544","","0","","","544","",
" "," Science Parks","","","","","","","","","","",,,,,,,,,,,,,,
" 資料來源： ","  勞動部勞動關係司。","","","","","","","","","",""," Source： The Department of Employment Relations, MOL.","","","","","","","","","","","","",
" 說　　明： ","  1.自95年全面校正「團體協約」家數，凡統計期間團體協約仍有效存續之事業單位才列入統計。","","","","","","","","","",""," Note： 1.Beginning in 2006,  data series of the collective agreement contain only the number of the establishments which are","","","","","","","","","","","","",
" ","  2.本表數字係依100年5月1日修訂生效之工會法分類統計。","","","","","","","","","","","    effectively functioned during.","","","","","","","","","","","","",
,,,,,,,,,,,," 2.For statistical figures tabulated in this table, the amended Labor Union Act taking effect on May 1st, 2011 have been referred.","","","","","","","","","","","","",
" ","","","","   -52-","","","","","","","","","","","","","    -53-","","","","","","","",
