" ","  表 3-9 勞資爭議協商調處績效概況","","","","","","","","","","","","","","",""," Table 3-9 Labor-Management Disputes Settled","","","","","","","","","","","",""," 表 3-9 勞資爭議協商調處績效概況 (續1) ","","","","","","","","","","","","","","","","","  Table 3-9 Labor-Management Disputes Settled (Cont. 1)","","","","","","","","","","","",""," 表 3-9 勞資爭議協商調處績效概況 (續2完) ","","","","","","","","","","","","","","  Table 3-9 Labor-Management Disputes Settled (Cont. 2)ˉ","","","","","","","","",
" ","","","","","","","","","","","  單位：件","","","","","","","","","","","","","","","","","","  Unit：Case"," ","","","","","","","","","","","","  單位：件","","","","","","","","","","","","","","","","","   Unit：Case"," ","","","","","","","","","","","","  單位：件","","","","","","","","","","   Unit：Case",
" ","","","",""," 爭   議   類   別","","","","","","","","","","","","","",""," Type of labor dispute","","","","","","","","",""," ","","","","","",""," 爭   議   類   別","","","","","","","","","","","","","",""," Type of labor dispute","","","","","","",""," ","",""," 爭  議  類  別","","","","  Type of labor dispute","","","","","","  爭 議 人 數","","","","  處  理  方  式 (件)　(2)ˉ","","","  Method  （Case） ˉ","","",
" 年　 　別 ","  爭  議  件  數","","","","","","","","","","","",,,,,,,,,,,,,,,,,," 年　  　別 ","","","","","","","","","","","","","",,,,,,,,,,,,,,,,," 年　 　別 ","","","","","","","","","","","","",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  (人)ˉ","","","","","","","","","",
" ","","","  契  約  爭  議","","","","","","","","","","  工   資   爭   議","","","","","","","","","","","","","","","  工   時   爭   議",""," ","  退  休  爭  議","","","","","","","   福  利  爭 議","","","","","","  勞 保 爭 議","","","","","","","","   管 理 爭 議","","","  職 災 爭 議","","","  安全衛生爭議",""," ","  工 會 爭 議","","  就業歧視爭議","","","","  大量解僱爭議","","","","  其  他  爭  議","","","","  涉  及  率","","  協　　調","","  調　　解","","  仲　　裁","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""," (1)  ˉ","","","","","","",
" ","","","","","  契  約  終  止","","","",""," 資   遣   費	","","","","","",""," 工  資  內  容","","","  積  欠  工  資","","","","  加班費及假日工時","","","","",""," ","","","","  退 休 金 給 付","","","","","",""," 年 終 獎 金","","","","","","","  保 險 給 付","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","  Dispute over","","","",""," ","","","  Dispute over","","","","","","","","","","  Workers involved","","","","","","","","","",
" Year ","","","   Dispute over","",""," Termination","","","","","","","","","","","","","","","","","","  Overtime payment","","","","  Dispute over",""," Year ","  Dispute over","","","  Retirement pension","","","","     Dispute over","","   Year-end bonus","","","","  Dispute over","","","","  Insurance benefit","","","","   Dispute over","","","  occupational","","","  Dispute over",""," Year ","  Dispute over","",""," employment","","",""," Dispute over","","","  Dispute over","","  dispute","","  Involvement rate","","","","","","","",
" ","  Cases of dispute","","  labor contracts","",""," of contracts","",""," Payment of dismisal","","",""," Dispute over wages","","",""," Content of wages","","","  Arrear wages","","","","     and man-hour","","","","    work hour",""," ","    retirement","","","           payment","","","","   welfare benefits","","         payment","","","","  labor insurance","","","","","  payment","","","   management","","",""," hazards","","  safety and health",""," ","  union","","  discrimination","","","",""," mass dismiss","","","  other issues","","  (Worker)","","  （"," o /oo ）","  Conciliation","","  Mediation","","  Arbitration","",
"  78年  1989 ","1943","   (1,943)","710","     (710)",""," ...",""," ...",""," ...",""," ...","489","     (489)","","","  ...",""," ...",""," ...",""," ...",""," ...",""," ...","29","      (29) ˉ","  78年  1989 ","234","      (234)","",""," ...","","  ...","64","      (64)",""," ...",""," ...","88","","      (88)","",""," ...",""," ...","67","      (67)","","206","","     (206)  ˉ","0","0","  78年  1989 ","2","       (2)",""," ...",""," ...",""," ...",""," ...","54","      (54)","62391","  (62,391)","11.21","   (11.21)","1622","   (1,622)","275","     (275)","2","       (2)  ˉ",
