" ",""," 表 3-11 勞資爭議案件─按行業分","","","","","","","","","","","","","",""," Table 3-11 Labor-Management Disputes by Industry","","","","","","","","","","",""," ","  表 3-11 勞資爭議案件─按行業分(續)","","","","","","","","","","","","","   Table 3-11 Labor-Management Disputes by Industry (Cont.)","","","","","","","","","","","","",
" ","","","","","","","","","","","","   單位：件","","","","","","","","","","","","","","","","   Unit：Case"," ","","","","","","","","","   單位：件","","","","","","","","","","","","","","","","","    Unit：Case",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","  金融、保險","","","","","","","","   社會服務及","","","","","","",
" ","","","","   總    計","","","","","  農、林、漁、牧業","","","",""," 礦業及土石採取業","","","","","  製 造 業","","","   水電燃氣業","","","","","    營 造 業",""," ","","  批發 、零售及餐飲業","","","","  運輸、倉儲及通信業","","","","","","","","","",""," 工商服務業","","","","","","","","   公 共 行 政 業","",
" 年         別 ","","","","","","","","","","","","",,,,,,,,,,,,,,,,," 年         別 ","","","","","","","","","","","","  及不動產業","","","","","","","","   個人服務業","","","","","","",
" ","","","","","","","","","  Agriculture, forestry, fishing","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","  Finance, insurance,","","","","","","","   Social, personal & related","","","","","","","",
" Year ","","","","   Grand total","","","","","       & animal husbandry","","","",""," Mining & quarrying","","","",""," Manufacturing","",""," Electricity, gas & water","","","","","    Construction",""," Year ","","  Trade & eating-drinking places","","","  Transport, storage &  communication","","","","","","","       & real estate","","","","  Business services","","","       community services","","","","","","  Public administration","",
"  81年  1992 ","","","","1803","","     (1,747)","","","","16","","        (16)  ˉ","","17","","        (17)  ˉ","","1214","","     (1,170)   ˉ","","7","          (7)","","","","104","       (102)  ˉ","  81年  1992 ","","","127","       (125)","","","","","","","","81","","        (80)  ˉ","","","","","","89","         (86)","","","","0","0",
"  82年  1993 ","","","","1878","","     (1,856)","","","","12","","        (11)  ˉ","","17","","        (16)  ˉ","","1214","","     (1,199)   ˉ","","6","          (6)","","","","156","       (155)  ˉ","  82年  1993 ","","","132","       (130)","","","","","","","","80","","        (79)  ˉ","","","","","","108","        (108)","","","","0","0",
"  83年  1994 ","","","","2061","","     (2,021)","","","","9","","         (9)  ˉ","","20","","        (20)  ˉ","","1269","","     (1,243)   ˉ","","6","          (6)","","","","166","       (164)  ˉ","  83年  1994 ","","","202","       (198)","","","","","","","","84","","        (83)  ˉ","","","","","","148","        (144)","","","","0","0",
"  84年  1995 ","","","","2271","","     (2,211)","","","","4","","         (4)  ˉ","","18","","        (18)  ˉ","","1284","","     (1,248)   ˉ","","8","          (8)","","","","227","       (222)  ˉ","  84年  1995 ","","","263","       (254)","","","196","","       (194)  ˉ","","","36","","        (32)  ˉ","","78","","        (77)   ˉ","","152","        (150)","","","","5","         (4)   ˉ",
"  85年  1996 ","","","","2659","","     (2,581)","","","","6","","         (5)  ˉ","","15","","        (15)  ˉ","","1424","","     (1,374)   ˉ","","15","         (13)","","","","280","       (277)  ˉ","  85年  1996 ","","","312","       (306)","","","237","","       (233)  ˉ","","","46","","        (44)  ˉ","","141","","       (137)   ˉ","","177","        (171)","","","","6","         (6)   ˉ",
"  86年  1997 ","","","","2600","","     (2,532)","","","","8","","         (8)  ˉ","","9","","         (9)  ˉ","","1492","","     (1,446)   ˉ","","2","          (1)","","","","229","       (229)  ˉ","  86年  1997 ","","","236","       (228)","","","270","","       (267)  ˉ","","","38","","        (36)  ˉ","","99","","        (96)   ˉ","","214","        (209)","","","","3","         (3)   ˉ",
"  87年  1998 ","","","","4138","","     (4,043)","","","","15","","        (14)  ˉ","","16","","        (16)  ˉ","","2076","","     (2,010)   ˉ","","19","         (19)","","","","306","       (301)  ˉ","  87年  1998 ","","","506","       (497)","","","367","","       (363)  ˉ","","","139","","       (138)  ˉ","","266","","       (266)   ˉ","","415","        (406)","","","","13","        (13)   ˉ",
"  88年  1999 ","","","","5860","","     (5,806)","","","","24","","        (24)  ˉ","","10","","        (10)  ˉ","","2498","","     (2,471)   ˉ","","12","         (12)","","","","450","       (443)  ˉ","  88年  1999 ","","","1074","     (1,071)","","","485","","       (482)  ˉ","","","147","","       (147)  ˉ","","444","","       (439)   ˉ","","698","        (689)","","","","18","        (18)   ˉ",
"  89年  2000 ","","","","8026","","     (6,579)","","","","19","","        (18)  ˉ","","9","","         (5)  ˉ","","3325","","     (2,562)   ˉ","","9","          (8)","","","","572","       (489)  ˉ","  89年  2000 ","","","1541","     (1,310)","","","536","","       (477)  ˉ","","","216","","       (198)  ˉ","","756","","       (651)   ˉ","","1013","        (832)","","","","30","        (29)   ˉ",
"  90年  2001 ","","","","10955","","     (7,405)","","","","34","","        (22)  ˉ","","22","","        (19)  ˉ","","4692","","     (2,844)   ˉ","","36","         (25)","","","","631","       (439)  ˉ","  90年  2001 ","","","1864","     (1,405)","","","632","","       (469)  ˉ","","","234","","       (185)  ˉ","","1248","","       (889)   ˉ","","1533","      (1,082)","","","","29","        (26)   ˉ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ","","","","","","","","  專業、科學","","","","","","","   醫療保健及","","","    文化、運動及","","","","","","","","",
" 年         別 ","","","  總　計","","","","  農、林、漁、牧業","","","","  礦業及土石採取業","","","  製　造　業","","","   水電燃氣業","","","    營　造　業","","","   批發及零售業","","","","    住宿及餐飲業",""," 年         別 ","  運輸、倉儲及通信業","","   金融及保險業","","  不動產及租賃業","","","  及技術服務業","","","","  教育服務業","","","   社會福利服務業","","","    休閒  服務業","","",""," 其他服務業","","","    公共行政業","",
" ","","","","","",""," Agriculture,  forestry,","","","","","","","","","","   Electricity,","","","","","","","","","","    Accommodation &",""," ","  Transportation, storage","","   Finance &","","  Real estate & rental","","","  Professional, scientific","","","","  Educational","","","  Health care & social","","","    Cultural,  sporting &","","","","","","",""," Public",
" Year ","",""," Grand total","","","","","","","","  Mining & quarrying","",""," Manufacturing","","","","","","    Construction","","","","  Trade","","","",""," Year ","","","","","","","","","","","","","","","","","","","","",""," Other services","","","","",
" ","","","","","","  fishing & animal husbandry","","","","","","","","","","","   gas & water","","","","","","","","","","   eating-drinking places",""," ","  & communications","","   insurance","","  & leasing","","","  & technical services","","","","  services","","","   welfare services","","","    recreational services","","","","","","","    administration","",
"  91年  2002 ","","14017","","   (9,392)  ˉ","","","43","       (32)","","","29","       (14)","4393","","   (2,499)","","28","      (17)","","810","      (579)","","2415","","   (1,821)","","647","      (429)","  91年  2002 ","804","     (554)","399","     (298)","209","     (153)","","1073","      (748)","","441","","     (254)","","468","     (340)","","482","      (378)","","1697","","   (1,205)","","79","        (71)",
