""," 表 3-12 勞資爭議人數─按性別、身分及地區分","","","","",
"  Table 3-12 Workers Involved Labor-Management Disputes by Sex, Class and Area","","","","","",
""," 中華民國105年","   2016","","  單位：人"," Unit：Person",
"","","  性　　別","","  身　　分　　別","",
"  地      區      別"," 總　計","","","","",
"","","","","  The class of the","",
"","","  Sex","","","",
"","","",""," workers involved dispute","",
"","","  男"," 女"," 工　會"," 勞　工",
""," Area Grand total"," Male"," Female"," Workers'"," Worker (s) ˉ",
"","","",""," organization","",
" 總　　　　計　 Grand total","36582","20397","16185","242","36340",
" 　本　　　部　 Ministry of  Labor","6","5","1","6","0",
" 　新　北　市　 New Taipei City","5707","3255","2452","61","5646",
" 　臺　北　市　 Taipei City","6257","3064","3193","12","6245",
" 　桃　園　市　 Taoyuan City","4707","2700","2007","11","4696",
" 　臺　中　市　 Taichung City","4385","2350","2035","2","4383",
" 　臺　南　市　 Tainan City","2642","1362","1280","0","2642",
" 　高　雄　市　 Kaohsiung City","5106","3032","2074","8","5098",
" 　宜　蘭　縣　 Yilan County","627","380","247","1","626",
" 　新　竹　縣　 Hsinchu County","1136","670","466","16","1120",
" 　苗　栗　縣　 Miaoli County","561","354","207","1","560",
" 　彰　化　縣　 Changhwa County","1016","535","481","23","993",
" 　南　投　縣　 Nantou County","179","97","82","0","179",
" 　雲　林　縣　 Yunlin County","369","260","109","1","368",
" 　嘉　義　縣　 Chiayi County","459","258","201","0","459",
" 　屏　東　縣　 Pingtung County","706","409","297","0","706",
" 　臺　東　縣　 Taitung County","95","59","36","0","95",
" 　花　蓮　縣　 Hwalien County","377","215","162","0","377",
" 　澎　湖　縣　 Penghu County","136","91","45","99","37",
" 　基　隆　市　 Keelung City","383","218","165","0","383",
" 　新　竹　市　 Hsinchu City","383","211","172","0","383",
" 　嘉　義　市　 Chiayi City","476","251","225","1","475",
" 　金　門　縣　 Kinmen County","105","104","1","0","105",
" 　連　江　縣　 Lienchiang County","3","2","1","0","3",
" 　加工出口區　 Export Processing Zones","129","74","55","0","129",
" 　科學工業園區 Science Parks","632","441","191","0","632",
"  資料來源："," 勞動部勞動關係司。","","","","",
"  Source ： The Department of Employment Relations, MOL.","","","","","",
"","","   -68-","","","",
