"","  表 3-13 勞資爭議人數─按性別、身分及行業分","","","","","",
"  Table 3-13 Workers Involved Labor-Management Disputes by Sex, Class and Industry","","","","","","",
"","  中華民國105年","","   2016","","  單位：人"," Unit：Person",
"","","","  性　　別","","  身　　分　　別","",
"  行      業      別","  總　計","","","","","",
"","","","  Sex","","  The class of the","",
"","","","",""," workers involved dispute","",
"","","","  男","  女"," 工　會"," 勞　工",
""," Industry  Grand total",""," Male"," Female"," Workers'"," Worker (s) ˉ",
"","","","",""," organization","",
" 總    計"," Grand total","36582","20397","16185","242","36340",
" 　農、林、漁、牧業"," Agriculture,forestry, fish-","212","114","98","0","212",
"","  ing & animal husbandry","","","","","",
" 　礦業及土石採取業"," Mining & quarrying","47","36","11","0","47",
" 　製造業"," Manufacturing","7632","4670","2962","54","7578",
" 　電力及燃氣供應業"," Electricity & gas supply","54","48","6","7","47",
" 　用水供應及污染"," Water supply &","329","199","130","0","329",
" 　整治業","  remediation activities","","","","","",
" 　營建工程業"," Construction","2786","2300","486","0","2786",
" 　批發及零售業"," Wholesale & retail trade","8129","3895","4234","5","8124",
" 　運輸及倉儲業"," Transportation & storage","1759","1494","265","105","1654",
" 　住宿及餐飲業"," Accommodation & food","3028","1401","1627","3","3025",
"","  service activities","","","","","",
" 　出版、影音製作、"," Information &","921","470","451","4","917",
" 　傳播及資通訊服務","  communication","","","","","",
" 　業","","","","","","",
" 　金融及保險業"," Financial & insurance","872","394","478","5","867",
"","  activities","","","","","",
" 　不動產業"," Real estate activities","766","435","331","0","766",
" 　專業、科學及技術"," Professional, scientific &","1464","720","744","0","1464",
" 　服務業","  technical activities","","","","","",
" 　支援服務業"," Support service activities","3555","2297","1258","0","3555",
" 　公共行政及國防；"," Public administration &","203","123","80","1","202",
" 　強制性社會安全","  defence; Compulsory","","","","","",
"","  social security","","","","","",
" 　教育業"," Education","1065","374","691","56","1009",
" 　醫療保健及社會"," Human health & social","1152","208","944","1","1151",
" 　工作服務業","  work activities","","","","","",
" 　藝術、娛樂及休"," Arts, entertainment &","409","202","207","0","409",
" 　閒服務業","  recreation","","","","","",
" 　其他服務業"," Other service activities","2199","1017","1182","1","2198",
"  資料來源："," 勞動部勞動關係司。","","","","","",
"  Source ： The Department of Employment Relations, MOL.","","","","","","",
"  說　　明："," 依據「中華民國行業標準分類（第10次修訂）」編製。  ˉ","","","","","",
"  Note： Data series were classified refer to Standard Industrial Classification System of R.O.C, Rev.10.","","","","","","",
"","","    -69-","","","","",
