""," 表3-15 司法途徑受理勞資爭議案件",
""," Table 3-15 Labor-Management Disputes by Legal Channels",
""," 單位：件  Unit：Case",
""," 件                         數",
""," 項                 目                 別",
""," Item Case",
"","6466",
"","6573",
"","9210",
"","9079",
"","7910",
"","8189",
"","8313",
"","7938",
"","8231",
"","9034",
" 已終結","6731",
"  Closed","",
" 　地方法院","5958",
" 　District Courts","",
" 　　第一審勞資爭議案件","2998",
" 　　Cases In process of the First Trial","",
" 　　　請求給付工資","1032",
" 　　　Request for Reimbursement of Wage","",
" 　　　終止勞動契約","1",
" 　　　Terminate Labor Contract","",
" 　　　請求給付退休金或資遣費","830",
" 　　　Request for Retirement / Severance Pay","",
" 　　　請求給予獎金或分配紅利","38",
" 　　　Request for Cash Awards or Dividend Sharing","",
" 　　　請求給予職業災害補償或損害賠償","151",
" 　　　Request for Compensation for Occupational Hazards or Damages","",
" 　　　其他","946",
" 　　　Others","",
" 　　第二審及再審等","2960",
" 　　Cases In Process of the Second Trial or Re-trial","",
" 　高等法院","773",
" 　High Court","",
" 未終結","2303",
" Not Closed","",
" 資料來源：  司法院。","",
" Source ：  Judicial Yuan.","",
"","   -71-",
