" ","  表 3-16 勞工教育","","","",
" ","  Table 3-16 Labor Education","","","",
" 提撥勞工教育經費 ",""," 班　　數","  勞工刊物  (種)","",
" 年                         別 "," (千元)","  (班)","  Publication  (Kind)","",
" Year worker education Appropriaion for ","","  Classes(Class)","  雜誌型"," 報紙型",
" (NT$1,000) ","",""," Magazine"," Newspaper",
"  83年  1994 ","301563","1518","6","3",
"  84年  1995 ","236929","1194","4","2",
"  85年  1996 ","177132","1634","3","2",
"  86年  1997 ","138148","1652","3","1",
"  87年  1998 ","227430","1897","1","1",
"  88年  1999 ","248136","1451","2","3",
"  89年  2000 ","252653","1635","2","2",
"  90年  2001 ","193623","2028","3","4",
"  91年  2002 ","162694","1755","3","4",
"  92年  2003 ","157374","1958","8","2",
"  93年  2004 ","145124","3197","5","0",
"  94年  2005 ","132785","3369","6","0",
"  95年  2006 ","142436","4371","4","0",
"  96年  2007 ","137329","4389","3","0",
"  97年  2008 ","157412","4577","3","0",
"  98年  2009 ","148288","4655","3","0",
"  99年  2010 ","184326","5515","10","5",
" 100年  2011 ","173814","5425","2","23",
" 101年  2012 ","165280","4855","2","5",
" 102年  2013 ","174620","4937","8","10",
" 103年  2014 ","170718","3536","10","9",
" 104年  2015 ","148332","2880","2","26",
" 105年  2016 ","152854","2859","1","1",
" 資料來源： 勞動部勞動關係司、縣市政府勞工行政單位、加工出口區及科學工業園區。 ","","","","",
" Source ： The Department of Employment Relations, MOL , the administration agencies of labor affairs in county(city) government, ","","","","",
" Export Processing Zones and Science Parks. ","","","","",
" 說　　明： 本表係勞工行政單位所辦理之勞工教育資料。 ","","","","",
" Note： The figures represent by labor administration agencies. ","","","","",
" ","","   -72-","","",
