" 表 4-1 積欠工資墊償基金概況 ","","","","  Table 4-1 Status of the Arrear Wage Payment Fund","","","","","",
" ","",""," 單位：家、％、千元","","","",""," Unit：Establishment、％、NT$1,000","",
" ","","  已    繳   納    單    位","",,,,,,,
" 應 提 繳 單 位 ","","",""," 累 計 已 繳 納 金 額",""," 累計已墊付金額",""," 基金運用餘額","",
" 年    底    別 ","","","",,,,,,,
" End of year required contribution Entities with ",""," Entities with clearance"," Clearance rate"," Accumulated",""," Accumulated",""," Fund utilization","",
,,,," contribution",""," payment made",""," balance","",
"  77年底  End of 1988 ","107395","97330","90.63",""," ...",""," ...",""," ...",
"  78年底  End of 1989 ","122653","109596","89.35",""," ...",""," ...",""," ...",
"  79年底  End of 1990 ","131459","117670","89.51","772952","","26522","","783000","",
"  80年底  End of 1991 ","141848","130299","91.86","1028767","","30676","","1103000","",
"  81年底  End of 1992 ","156101","141554","90.68","1332073","","31273","","1490000","",
"  82年底  End of 1993 ","166465","151733","91.15","1682788","","31717","","1953000","",
"  83年底  End of 1994 ","175921","159479","90.65","2065187","","35285","","2482000","",
"  84年底  End of 1995 ","171158","150364","87.85","2451970","","49492","","3004000","",
"  85年底  End of 1996 ","165728","150036","90.53","2740723","","135891","","3496000","",
"  86年底  End of 1997 ","167869","154378","91.96","2954861","","260720","","3797000","",
"  87年底  End of 1998 ","255144","238524","93.49","3241292","","295251","","4277000","",
"  88年底  End of 1999 ","357278","332461","93.05","3604279","","408874","","4752000","",
"  89年底  End of 2000 ","362702","334880","92.33","3993355","","622161","","5158000","",
"  90年底  End of 2001 ","360800","327992","90.91","4385679","","909316","","5472324","",
"  91年底  End of 2002 ","363578","333678","91.78","4776619","","1371153","","5512121","",
"  92年底  End of 2003 ","377116","350357","92.9","5182478","","1703734","","5645739","",
"  93年底  End of 2004 ","390896","360640","92.26","5609767","","1835846","","5998095","",
"  94年底  End of 2005 ","415701","387234","93.15","6057679","","2050911","","6314350","",
"  95年底  End of 2006 ","425116","391830","92.17","6527151","","2341426","","6598227","",
"  96年底  End of 2007 ","427907","412684","96.44","7012281","","2644745","","6940754","",
"  97年底  End of 2008 ","428396","402015","93.84","7514541","","2925183","","7255850","",
"  98年底  End of 2009 ","436453","405744","92.96","8003347","","3466192","","7118169","",
"  99年底  End of 2010 ","449385","423152","94.16","8520463","","3582424","","7594712","",
" 100年底  End of 2011 ","461860","438106","94.86","9067094","","3648658","","8222220","",
" 101年底  End of 2012 ","466875","440611","94.37","9638970","","3839912","","8908044","",
" 102年底  End of 2013 ","474917","450366","94.83","10228177","","3989468","","9605694","",
" 103年底  End of 2014 ","485466","458987","94.55","10840098","","4060815","","10383734","",
" 104年底  End of 2015 ","495735","467222","94.25","11478728","","4134129","","11042579","",
" 105年底  End of 2016 ","503818","474867","94.25","12115151","","4294014","","11715031","",
" 資料來源： 勞動部勞工保險局及勞動基金運用局。 ","","",""," Source： Bureau of Labor Insurance, MOL and Bureau of Labor Funds.","","","","","",
" 說　　明： 1.已繳納單位及已繳率係以屆繳納期限者計列。 ","","",""," Note： 1.The entities with clearance and the clearance rates are derived from  accounts whose contribution deadline has expired.","","","","","",
" 2.本表各項金額部分係以實際結算月份列示。 ","","",""," 2.The dollar figures in this table are calculated from concluded transactions.","","","","","",
" 3.自103年1月起基金餘額改為基金運用餘額，且業務移由勞動基金運用局負責處理。 ","","",""," 3.Beginning in January 2014, the balance of fund change into fund utilization balance, and Bureau of Labor Funds is in charge.","","","","","",
" ","    -74-","","","","","   -75-","","","",
