" 表 4-2 積欠工資墊償基金各業應提繳單位數及人數 ","","","","","","","","","","  Table 4-2 Number of Entities and Persons with Required Contribution","","","","","","","","","",""," 表 4-2 積欠工資墊償基金各業應提繳單位數及人數(續1) ","","","","","","","","","","  Table 4-2 Number of Entities and Persons with Required Contribution","","","","","","","","","",""," 表 4-2 積欠工資墊償基金各業應提繳單位數及人數(續2完) ","","","","","","","","","","  Table 4-2 Number of Entities and Persons with Required Contribution","","","","","","","","","","",
,,,,,,,,,"","","","","  to the Arrear Wage Payment Fund by Industry","","","","","","","",,,,,,,,,,"","","  to the Arrear Wage Payment Fund by Industry (Cont.1)ˉ","","","","","","","","","",,,,,,,,,,"","","  to the Arrear Wage Payment Fund by Industry (Cont.2)","","","","","","","","","",
" ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person",""," ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person",""," ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person","",
" ","","","  總　計","","","  農、林、漁、牧業","","","","  礦業及土石採取業","","","","  製   造   業","","","","","  水 電 燃 氣 業",""," ","","","  營   造   業","","","  批 發 零 售 及 餐 飲 業","","","","","  運輸、倉儲及通信業","","","","","","  金融、保險及不動產業","","",""," ","","","  工  商  服  務  業","","","","","  社會服務及","  個人服務業","","","","","","","  公  共  行  政  業","","","","",
" 年    底    別 ","","","","","","","","",,,,,,,,,,,,," 年    底    別 ","","","","","","","","",,,,,,,,,,,,," 年    底    別 ","","","","","","","","",,,,,,,,,,,,,
" ","","","  Grand total","","  Agriculture, forestry, fishing & animal husbandry","","","","","  Mining & quarrying","","","","  Manufacturing","","","","","  Electricity, gas & water",""," ","","","  Construction","","","  Trade & eating-drinking places","","","","  Transport, storage & communication","","","","","",""," Finance, insurance & real estate","","",""," ","","","  Business services","","","","  Social, personal & related","","   community service","","","","","","","  Public administration","","","","",
" ","","  單 位 數",""," 人  數",""," 單 位 數","","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數"," ","","  單 位 數",""," 人  數",""," 單 位 數","","  人  數","","  單 位 數","","",""," 人  數","","  單 位 數","","",""," 人  數"," ","","  單 位 數","","  人  數","","","  單 位 數","","","","  人  數","","","  單 位 數","","","","","  人  數","",
" End of year ","","  Units",""," Persons","","  Units","","  Persons","","  Units","","  Persons","","  Units","","  Persons","","  Units","","  Persons"," End of year ","","  Units",""," Persons","","  Units","","  Persons","","  Units","","",""," Persons","","  Units","","",""," Persons"," End of year ","","  Units","","  Persons","","","  Units","","","","  Persons","","",""," Units","","","","  Persons","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","  ╰————————————————————————v","","","","",""," ","  —————————————————————————╯","","","","",""," ╰————————————","","  ————————————————v———————————————————————————————————╯","","","","","","","","","","","",
"  81年底  End of 1993 ","","166465","","3219584","","2016","","24116","","780","","12318","","116030","","2460902","","210","","31236","  81年底  End of 1992 ","","24374","","297628","","183","","18978","","","8068","","","239066","","","4","","","167","  81年底  End of 1992 ","","","","","","","","4386","","","","74530","","","","","","","","",
"  82年底  End of 1994 ","","175921","","3275003","","2130","","22938","","870","","12875","","120733","","2462662","","210","","30855","  82年底  End of 1993 ","","28903","","348451","","196","","18794","","","8589","","","242973","","","12","","","211","  82年底  End of 1993 ","","","","","","","","4936","","","","78647","","","","","","","","",
"  83年底  End of 1995 ","","171158","","2968708","","1949","","18930","","900","","12379","","123421","","2461940","","212","","30092","  83年底  End of 1994 ","","33383","","383310","","179","","18995","","","8673","","","240070","","","0","","","0","  83年底  End of 1994 ","","","416","","3233","","","6606","","","","101878","","","","1","","","","168",
"  84年底 ","","","","","","","","","","816","","10186","","119195","","2251102","","213","","29792","  84年底  End of 1995 ","","33238","","314882","","179","","19973","","","8754","","","224335","","","0","","","0","  84年底  End of 1995 ","","","370","","2354","","","6443","","","","96989","","","","1","","","","165",
"  End of 1996 ","","165728","","2887925","","1863","","17293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  85年底 ","","","","","","","","","","744","","9225","","114626","","2205051","","212","","28798","  85年底  End of 1996 ","","32550","","288470","","181","","19952","","","8957","","","221485","","","0","","","0","  85年底  End of 1996 ","","","329","","2050","","","6265","","","","95439","","","","1","","","","162",
"  End of 1997 ","","167869","","3014009","","1777","","16026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  86年底 ","","","","","","","","","","705","","9299","","112294","","2241544","","216","","28477","  86年底  End of 1997 ","","32895","","287694","","521","","25144","","","9233","","","220775","","","1832","","","67137","  86年底  End of 1997 ","","","303","","1884","","","8092","","","","115896","","","","1","","","","133",
