"  表 4-3 積欠工資墊償基金各業應提繳單位數及人數－按地區及行業分","","","","","","","","  Table 4-3 Number of Entities and Persons with Required Contribution to the","","","","","","","","  表 4-3 積欠工資墊償基金各業應提繳單位數及人數－按地區及行業分(續1)","","","","","","","","  Table 4-3 Number of Entities and Persons with Required Contribution to the","","","","","","","","  表 4-3 積欠工資墊償基金各業應提繳單位數及人數－按地區及行業分(續2完)","","","","","","  Table 4-3 Number of Entities and Persons with Required Contribution to the","","","","","","","",
,,,,,,,,"","  Arrear Wage Payment Fund by Area and Industry","","","","","","",,,,,,,,,"","  Arrear Wage Payment Fund by Area and Industry (Cont.1)","","","","","","",,,,,,,"","  Arrear Wage Payment Fund by Area and Industry (Cont.2)","","","","","","",
"","","","  中華民國105年底","","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","","","","","  中華民國105年底","","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","","","","  中華民國105年底","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","",
"","","  總　　　計","","  農、林、漁、牧業","","  礦業及土石採取業","","  製　造　業","","  電力及燃氣供應業","","  用水供應及污染整治業","","  營建工程業","","","","  批發及零售業","","  運輸及倉儲業","","  住宿及餐飲業","","  出版、影音製作、","","  金融及保險業","","  不　動　產　業","","  專業、科學及技術服務業","","","","  支援服務業",""," 公共行政及國防；強制性社會安全","","  教　育　業","","  醫療保健及社會工作服務業","","  藝術、娛樂及休閒服務業","","  其 他 服 務 業","",
"  地　　區　　別","","","","","","","",,,,,,,,,"  地　　區　　別","","","","","","","","  傳播及資通訊服務業","","","","","","","","  地　　區　　別","","","","","",,,,,,,,,
"","","","","  Agriculture,forestry, fishing &","","","","","","","","  Water supply &","","","","","","","","","","  Accommodation &","","","","  Financial &","","","","  Professional, scientific","","","","","","  Public administration & defence;","","","","  Human health &","","  Arts, entertainment","","","",
"","","  Grand total","","  animal husbandry","","  Mining & quarrying","","  Manufacturing","","  Electricity & gas supply","","  remediation activities","","  Construction","","","","  Wholesale & retail trade","","  Transportation & storage","","  food service activities","","  Information & communication","","  insurance activities","","  Real estate activities","","  & technical activities","","","","  Support service activities","","  Compulsory social security","","  Education","","  social work activities","","  & recreation","","  Other service activities","",
"","  Area","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","","  Area","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","","  Area"," 單 位 數"," 人  數","  單 位 數"," 人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數",
"","","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","","","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","","","  Units"," Persons","  Units"," Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons",
" 總　　  計"," Grand total","503818","7086853","2686","16977","352","3314","93929","2504699","321","21460","3390","34630","42591","292218"," 總　　  計"," Grand total","181750","1555550","9408","229118","23677","334117","10563","227709","7173","336713","13341","96736","31958","305943"," 總　　  計"," Grand total","13851","285847","2482","87823","16444","175455","26189","393113","3159","42123","20554","143308",
" 　新 北 市"," New Taipei City","89442","989415","267","1173","9","21","21646","374732","29","2488","569","3023","7877","45014"," 　新 北 市"," New Taipei City","34234","260719","1013","36518","2771","31536","1702","27118","811","14103","2119","13742","4912","33938"," 　新 北 市"," New Taipei City","1817","42817","203","8716","2539","25548","3972","46286","348","5075","2604","16848",
" 　臺 北 市"," Taipei City","102353","1901598","94","1227","15","132","5205","201050","46","4666","360","7205","5232","62565"," 　臺 北 市"," Taipei City","42565","543966","2073","67994","5564","137132","5620","147589","3260","258493","3356","36496","12373","147025"," 　臺 北 市"," Taipei City","4011","102710","345","17907","2351","34996","4214","76907","840","11599","4829","41939",
