" 表 4-4 各業應繳積欠工資墊償基金 ","","","","","",""," Table 4-4 Due Amount of Required Contribution to the Arrear Wage Payment Fund","","","","","","","","","","",""," 表 4-4 各業應繳積欠工資墊償基金(續) ","","","",""," Table 4-4 Due Amount of Required Contribution to the Arrear Wage Payment Fund","","","","","","","","","","","",
,,,,,,,"","","","","","  by Industry","","","","","","",,,,,,"","","","",""," by Industry (Cont.)  ˉ","","","","","","",
" ","","","","","","  單位：千元","","","","","","","","","","",""," Unit：NT$1,000"," ","","","","  單位：千元","","","","","","","","","","",""," Unit：NT$1,000",
,,,,,,,,,,,,,,,,,,,,,,,,"  金融、保險","","","","","","","  社會服務及","","","","",
" ","","  總    計","","","  農、林、漁、牧業",""," 礦業及土石採取業","","","","  製 造 業","","","  水電燃氣業","","",""," 營 造 業"," ","  批發 、零售及餐飲業","","  運輸、倉儲及通信業","","","","","","  工商服務業","","","","","","  公 共 行 政 業","",
" 年         別 ","","","","","","",,,,,,,,,,,,," 年         別 ","","","","","  及不動產業","","","","","","","  個人服務業","","","","",
" ","","","","","  Agriculture, forestry, fishing","",,,,,,,,,,,,,,,,,,"  Finance, insurance,","","","","","","  Social, personal & related","","","","","",
" Year ","","  Grand total","","","       & animal husbandry",""," Mining & quarrying","","","","  Manufacturing","","  Electricity, gas & water","","","",""," Construction"," Year ","  Trade & eating-drinking places",""," Transport, storage &  communication","","       & real estate","","","","  Business services","","      community services","","","","  Public administration","",
,,,,,,,,,,,,,,,,,,,,,,,,"",""," ╰————v————╯","","","","","  ╰————v————╯","","","","",
"  81年  1992 ","","","303477","","","2534","","","1347","","","234807","","","5177","","","25698","  81年  1992 ","","2258","","25763","","","28","","","","","","5866","","","",
"  82年  1993 ","","","350442","","","2529","","","1552","","","265938","","","5873","","","33462","  82年  1993 ","","2485","","29601","","","34","","","","","","8968","","","",
"  83年  1994 ","","","383665","","","2582","","","1646","","","286779","","","5867","","","40711","  83年  1994 ","","2533","","31293","","","0","","","354","","","11868","","","33",
"  84年  1995 ","","","390514","","","2429","","","1532","","","291769","","","6008","","","40552","  84年  1995 ","","3000","","32059","","","0","","","311","","","12823","","","33",
"  85年  1996 ","","","288681","","","1709","","","1048","","","216652","","","4524","","","27879","  85年  1996 ","","2143","","24632","","","0","","","198","","","9870","","","26",
"  86年  1997 ","","","212456","","","1109","","","737","","","157000","","","3139","","","19094","  86年  1997 ","","1625","","17520","","","4256","","","127","","","7833","","","16",
"  87年  1998 ","","","287385","","","1085","","","641","","","163130","","","3274","","","19630","  87年  1998 ","","22542","","18124","","","26186","","","12350","","","18052","","","2371",
"  88年  1999 ","","","364426","","","1039","","","565","","","162298","","","3394","","","18502","  88年  1999 ","","71699","","18555","","","32485","","","16904","","","33544","","","5441",
"  89年  2000 ","","","388118","","","1040","","","544","","","171655","","","3393","","","18065","  89年  2000 ","","76914","","19557","","","34254","","","20358","","","36076","","","6262",
"  90年  2001 ","","","395179","","","1003","","","480","","","168814","","","3367","","","17856","  90年  2001 ","","80063","","20575","","","34779","","","23058","","","38140","","","7045",
,,,,,,,,,,,,,,,,,,," ","","",""," 專業、科學","","","","  醫療保健及","","  文化、運動及","","","","","","",
" 年         別 ","  總　計","","   農、林、漁、牧業","",""," 礦業及土石採取業"," 製　造　業","","","  水電燃氣業","","  營　造　業","",""," 批發及零售業","",""," 住宿及餐飲業"," 年         別 運輸、倉儲及通信業 ",""," 金融及保險業"," 不動產及租賃業"," 及技術服務業","  教育服務業","","","  社會福利服務業","","  休閒  服務業","","","  其他服務業","",""," 公共行政業",
" ","","","   Agriculture,  forestry,","","","","","","","  Electricity,","","","","","","",""," Accommodation &"," Transportation, storage ",""," Finance &"," Real estate & rental"," Professional, scientific","  Educational","",""," Health care & social","","  Cultural,  sporting &","","","","",""," Public",
" Year "," Grand total","","","",""," Mining & quarrying"," Manufacturing","","","","","  Construction","","","  Trade","","",""," Year ","","","","","","","","","","","","","  Other services","","","",
" ","",""," fishing & animal husbandry","","","","","","","  gas & water","","","","","","","  eating-drinking places",""," & communications ",""," insurance"," & leasing"," & technical services","  services","","","  welfare services","","  recreational services","","","","",""," administration",
"  91年  2002 ","","391793","","943","","441","","164711","","","3323","","17289","","","77464","","6990","  91年  2002 ","20449","30589","4147","19705","","5117","","","15622","","7704","","","10628","","6670",
"  92年  2003 ","","405688","","918","","415","","169276","","","3317","","17211","","","81885","","6956","  92年  2003 ","20499","32045","4275","21171","","5239","","","16558","","7732","","","11656","","6534",
"  93年  2004 ","","427705","","917","","419","","177110","","","3247","","17356","","","87942","","7490","  93年  2004 ","21021","33143","4830","23187","","5511","","","17738","","7875","","","13277","","6643",
"  94年  2005 ","","446912","","894","","392","","180548","","","3218","","18017","","","92878","","8489","  94年  2005 ","22062","34873","5441","25348","","5843","","","19482","","7825","","","14671","","6932",
"  95年  2006 ","","469558","","847","","389","","187742","","","3271","","19467","","","97810","","9593","  95年  2006 ","23980","35595","6117","26977","","6034","","","21273","","7812","","","16082","","6570",
"  96年  2007 ","","484454","","847","","387","","194067","","","3172","","20087","","","100312","","10308","  96年  2007 ","24148","36427","6666","27882","","6042","","","22650","","7665","","","17150","","6644",
"  97年  2008 ","","501870","","823","","381","","198177","","","2936","","20351","","","103081","","10774","  97年  2008 ","24133","36770","6954","29543","","8646","","","24723","","7529","","","17958","","9090",
"  98年  2009 ","","488686","","881","","366","","185028","","","3001","","20007","","","101312","","11132","  98年  2009 ","23748","35000","6778","30232","","7952","","","26438","","7196","","","19629","","9987",
,,,,,,,"","","  用水供應及","","","","","","","","",""," 出版、影音製作、 ","","",""," 專業、科學","","","  公共行政及國防；","","","","  醫療保健及","","  藝術、娛樂及","","","",
" 年         別 總　計 ","","  農、林、漁、牧業",""," 礦業及土石採取業",""," 製　造　業"," 電力及燃氣供應業","","  污染整治業","","  營建工程業","","  批發及零售業","","  運輸及倉儲業","",""," 住宿及餐飲業"," 年         別 傳播及資通訊服務業 ",""," 金融及保險業"," 不 動 產 業"," 及技術服務業"," 支援服務業","","  強制性社會安全","","  教　育　業","","  社會工作服務業","",""," 休閒服務業",""," 其他服務業",
" ","","  Agriculture, forestry,","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,," Electricity &","","  Water supply & remediation","","  Construction","","  Wholesale &","","  Transportation &","",""," Accommodation & food service"," Year Information & ",""," Financial &"," Real estate"," Professional, scientific"," Support service","","  Public administration","","","","  Human health &","","  Arts, entertainment","",""," Other service",
" Year Grand total ","","  fishing & animal",""," Mining & quarrying",""," Manufacturing",,,,,,,,,,,,,,,,,,"","","  & defence; Compulsory","","  Education","","  social work","","","","","",
" ","",""," husbandry","","",""," gas supply","","  activities","","","","  retail trade","","","  storage",""," activities"," communication ",""," insurance activities"," activities"," & technical activities"," activities","","  social security","","","","  activities","",""," & recreation",""," activities",
"  99年  2010 ","514662","","859","","371","196413","2478","","","3280","","20617","","104542","","","18256","12141","  99年  2010 ","17887","35198","6523","23738","16697","","","10009","","8283","","28000","","","2226","7143",
" 100年  2011 ","545265","","896","","385","210198","2511","","","3063","","21902","","111371","","","19081","13490"," 100年  2011 ","18815","36062","7110","25374","17877","","","9158","","8473","","29597","","","2336","7566",
" 101年  2012 ","571084","","996","","391","217362","2534","","","3381","","22924","","117844","","","20087","15535"," 101年  2012 ","20053","36582","7536","26707","19118","","","9234","","8832","","31453","","","2480","8036",
" 102年  2013 ","588756","","1051","","330","222732","2571","","","3449","","23313","","121360","","","21058","17138"," 102年  2013 ","20662","36810","8095","27713","20085","","","9246","","10068","","31995","","","2574","8504",
" 103年  2014 ","611958","","1185","","329","231082","2561","","","3350","","24141","","125570","","","21741","19015"," 103年  2014 ","21612","37397","8698","28768","21172","","","9302","","11220","","32963","","","2768","9082",
" 104年  2015 ","638724","","1256","","330","237845","2572","","","3281","","25060","","130760","","","22846","21036"," 104年  2015 ","23208","38104","8952","29794","21878","","","9170","","12609","","34684","","","3087","12253",
" 105年  2016 ","665379","","1326","","327","243458","2642","","","3092","","25631","","136180","","","24475","23373"," 105年  2016 ","25144","39659","9042","31299","23227","","","9286","","13773","","37167","","","3426","12850",
" 資料來源： 勞動部勞工保險局。 ","","","","","",""," Source：  Bureau of Labor Insurance, MOL.","","","","","","","","","","","",,,,,,,,,,,,,,,,,,
" 說　　明： 90年以前依據「中華民國行業標準分類（第6次修訂）」編製，91-98年依據第7次修訂編製，99-101年依據ˉ ","","","","","",""," Note： Data series were classified before 2001 refer to Standard Industrial Classification System of R.O.C, Rev.6. Data series from","","","","","","","","","","","",,,,,,,,,,,,,,,,,,
