"","  表 4-5 各業應繳積欠工資墊償基金－按地區及行業分","","","",""," Table 4-5 Due Amount of Required Contribution to the Arrear Wage Payment Fund","","","","","","","  表 4-5 各業應繳積欠工資墊償基金－按地區及行業分(續)","","","",""," Table 4-5 Due Amount of Required Contribution to the Arrear Wage Payment Fund","","","","","",
,,,,,,"",""," by Area and Industry","","","",,,,,,,"",""," by Area and Industry (Cont.)  ˉ","","","",
"","","  中華民國105年底","","","  單位：千元","","","   End of 2016","",""," Unit：NT$1,000","","","  中華民國105年底","","","  單位：千元","","","   End of 2016","",""," Unit：NT$1,000",
,,,,,,""," 用水供應及","","","","","","  出版、影音製作、","","",""," 專業、科學",""," 公共行政及國防；",""," 醫療保健及"," 藝術、娛樂及","",
"  地　區　別",""," 總　計"," 農、林、漁、牧業"," 礦業及土石採取業"," 製　造　業"," 電力及燃氣供應業"," 污染整治業"," 營建工程業"," 批發及零售業"," 運輸及倉儲業"," 住宿及餐飲業","  地　區　別","  傳播及資通訊服務業",""," 金融及保險業"," 不 動 產 業"," 及技術服務業"," 支援服務業"," 強制性社會安全"," 教　育　業"," 社會工作服務業"," 休閒服務業"," 其他服務業",
"","",""," Agriculture, forestry,","","",,,,,,,,,,,,,,,,,,,
,,,,,," Electricity &"," Water supply & remediation"," Construction"," Wholesale &"," Transportation &"," Accommodation & food service","","  Area"," Information &"," Financial &"," Real estate"," Professional, scientific"," Support service"," Public administration",""," Human health &"," Arts, entertainment"," Other service",
"","  Area"," Grand total"," fishing & animal"," Mining & quarrying"," Manufacturing",,,,,,,,,,,,,""," & defence; Compulsory"," Education"," social work","","",
"","",""," husbandry","",""," gas supply"," activities",""," retail trade"," storage"," activities","",""," communication"," insurance activities"," activities"," & technical activities"," activities"," social security",""," activities"," & recreation"," activities",
" 總　　  計"," Grand total","665379","1326","327","243458","2642","3092","25631","136180","24475","23373"," 總　　  計"," Grand total","25144","39659","9042","31299","23227","9286","13773","37167","3426","12850",
" 　新 北 市"," New Taipei City","90504","79","2","35644","320","244","3919","23166","3765","2133"," 　新 北 市"," New Taipei City","2983","1708","1208","3218","3431","888","1868","4100","393","1436",
" 　臺 北 市"," Taipei City","196691","109","13","22418","527","727","6690","54045","7934","10189"," 　臺 北 市"," Taipei City","16649","30131","3896","15919","9346","2193","2973","7915","1050","3967",
