" ",""," 表 4-7 性別工作平等申訴案件－按申訴類別分","","","","   Table 4-7 The Cases of Appeal for Gender Equality in Employment","","","","","","","","",
,,,,,"","","","     by the Classification of Appeal","","","","","","",
" ","","","","    單位：件","","","","","","","","","","  Unit：Case",
" ",""," 項　　　目　　　別","","  101年","","  102年","","   103年","","   104年","  105年",""," 自91年3月起累計數","",
" ","","  Item","","2012",,,,,,,,,,,
" 總　　　計 ",""," Grand total","325","      (233)  ˉ","","2013","","    2014","","   2015","  2016",""," Cumulation from Mar., 2002","",
" 　性別歧視 ",""," Gender discrimination","207","      (147)  ˉ",,,,,,,,,,,
,,,,,"280","      (127)","370","      (190)  ˉ","405","     (189)  ˉ","440","     (240)","3281","   (1,956) ˉ",
" "," 按歧視態樣分"," By type of discrimination","","","145","       (65)","194","       (99)  ˉ","187","      (79)  ˉ","218","     (119)","1804","   (1,094) ˉ",
" "," 　性別"," Gender","207","      (147)  ˉ",,,,,,,,,,,
" "," 　性傾向"," Sexual orientation",""," ...       ...",,,,,,,,,,,
,,,,,"145","       (65)","194","       (99)  ˉ","185","      (79)  ˉ","216","     (115)","1800","   (1,090) ˉ",
" "," 　性別認同"," Gender identity",""," ...       ...",,,,,,,,,,,
,,,,,""," ...       ...",""," ...       ...","0","0","1","       (1)","1","       (1) ˉ",
" "," 按歧視類別分"," By classification of discrimination","","",""," ...       ...",""," ...       ...","2","0","1","       (3)","3","       (3) ˉ",
" "," 　招募、甄試、進用"," Recruitment, examination & appointment","14","       (15)  ˉ",,,,,,,,,,,
" "," 　分發、配置"," Assignment & designation","6","        (7)  ˉ",,,,,,,,,,,
,,,,,"22","        (4)","15","       (21)  ˉ","22","      (17)  ˉ","29","      (21)","202","     (151) ˉ",
" "," 　考　　績"," Evaluation","3","        (3)  ˉ",,,,,,,,,,,
,,,,,"6","        (5)","10","        (4)  ˉ","9","       (3)  ˉ","9","       (5)","57","      (35) ˉ",
" "," 　陞　　遷"," Promotion","1","0","0","0","2","        (2)  ˉ","2","0","3","       (2)","17","      (11) ˉ",
" "," 　雇主提供之教育、訓練或其他類"," Education, training or other related activities","0","0",,,,,,,,,,,
" "," 　似活動","","","","1","0","0","0","0","0","1","       (1)","5","       (3) ˉ",
" "," 　雇主提供之各項福利措施"," Various welfare benefit measures","5","        (3)  ˉ","0","0","0","0","2","       (1)  ˉ","0","       (1)","3","       (3) ˉ",
" "," 　薪資之給付"," Paying remuneration","10","        (8)  ˉ",,,,,,,,,,,
,,,,,"2","0","5","        (2)  ˉ","3","       (2)  ˉ","12","       (1)","40","      (18) ˉ",
" "," 　退　　休"," Retirement","0","0",,,,,,,,,,,
,,,,,"3","0","2","        (1)  ˉ","2","0","10","       (5)","61","      (41) ˉ",
