""," 表 4-8 性別工作平等申訴案件件數－按地區分","","","","","","  Table 4-8 The Cases of Appeal for Gender Equality in Employment by Area","","","","","","","","","",
"","  中華民國105年","","","",""," 單位：件","","","","","   2016","","","",""," Unit：Case",
"",""," 受　　理　　件　　數","","  Cases of acceptance","","","","","",""," 評　　　議　　　件　　　數","",""," Cases of ruling","","",
"  地      區      別"," 自91年3月起累計數","  Cumulation from Mar., 2002","","","  當　期　數","","  Occurrence",""," 自91年3月起累計數","  Cumulation from Mar., 2002","","",""," 當　期　數"," Occurrence","",
"","",""," 性騷擾"," 工作平等","",""," 性騷擾  工作平等","","",""," 性騷擾"," 工作平等","",""," 性騷擾"," 工作平等",
""," 總　計"," 性別歧視"," 防　治"," 措　　施"," 總　計"," 性別歧視"," 防　治  措　　施",""," 總　計"," 性別歧視"," 防　治"," 措　　施"," 總　計"," 性別歧視"," 防　治"," 措　　施",
"","",""," Prevention","","",""," Prevention","","",""," Prevention","","",""," Prevention","",
"","",""," and"," Measure for","","","  and Measure for","",""," Gender","  and"," Measure for",""," Gender","  and"," Measure for",
""," Grand"," Gender",""," promoting"," Grand"," Gender","  promoting",""," Grand","",""," promoting"," Grand","",""," promoting",
""," Area total"," discrimination"," correction"," equality in"," total"," discrimination"," correction  equality in","","  total"," discrimi-"," correction"," equality in"," total"," discrimi-"," correction"," equality in",
"","",""," of sexual","","",""," of sexual","","","  nation"," of sexual","",""," nation"," of sexual","",
"","",""," harassment"," employment","",""," harassment  employment","","",""," harassment"," employment","",""," harassment"," employment",
" 總　　　　計　 Grand total","3281","1804","1153","646","440","218","146","119","1956","1094","733","339","240","119","84","54",
" 　新　北　市　 New Taipei City","841","505","300","155","73","44","20","16","799","484","283","147","70","42","18","15",
" 　臺　北　市　 Taipei City","764","470","246","144","74","32","30","16","375","214","150","58","36","13","17","8",
" 　桃　園　市　 Taoyuan City","493","288","127","127","90","53","20","38","224","112","85","45","38","17","15","10",
" 　臺　中　市　 Taichung City","220","116","68","50","43","17","10","19","154","82","52","27","29","15","7","8",
" 　臺　南　市　 Tainan City","260","110","103","51","67","28","28","14","71","35","22","14","20","12","6","4",
" 　高　雄　市　 Kaohsiung City","286","120","146","28","44","20","18","6","126","65","61","6","14","7","7","0",
" 　宜　蘭　縣　 Yilan County","4","1","2","2","0","0","0","0","3","1","1","2","1","0","0","1",
" 　新　竹　縣　 Hsinchu County","62","23","30","12","3","1","2","0","14","7","5","4","0","0","0","0",
" 　苗　栗　縣　 Miaoli County","20","11","6","4","2","2","0","1","15","10","2","4","3","3","0","1",
" 　彰　化　縣　 Changhwa County","57","27","18","14","5","2","2","2","37","22","11","6","7","2","3","3",
" 　南　投　縣　 Nantou County","27","10","14","5","9","1","7","1","17","5","11","3","5","1","4","0",
" 　雲　林　縣　 Yunlin County","20","10","6","7","4","3","1","2","11","5","5","2","3","2","1","1",
" 　嘉　義　縣　 Chiayi County","15","8","4","4","0","0","0","0","10","6","3","2","0","0","0","0",
" 　屏　東　縣　 Pingtung County","88","51","33","12","10","5","4","2","25","14","11","2","4","2","2","0",
" 　臺　東　縣　 Taitung County","6","3","5","0","0","0","0","0","6","3","5","0","0","0","0","0",
" 　花　蓮　縣　 Hwalien County","15","6","6","3","1","0","0","1","5","2","1","2","1","0","0","1",
" 　澎　湖　縣　 Penghu County","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　基　隆　市　 Keelung City","19","6","12","3","7","3","3","1","13","3","9","2","5","2","2","1",
" 　新　竹　市　 Hsinchu City","33","19","9","7","5","5","0","0","22","11","5","7","2","1","1","0",
" 　嘉　義　市　 Chiayi City","5","3","2","1","0","0","0","0","2","2","0","0","0","0","0","0",
" 　金　門　縣　 Kinmen County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　連　江　縣　 Lienchiang County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　加工出口區　 Export Processing Zones","7","4","2","2","0","0","0","0","6","4","2","1","0","0","0","0",
" 　科學工業園區 Science Parks","38","13","13","15","3","2","1","0","21","7","9","5","2","0","1","1",
"  資料來源："," 勞動部勞動條件及就業平等司。","","","","",""," Source：  The Department of Labor Standards and Equal Employment, MOL.","","","","","","","","","",
"  說　　明："," 1.性別工作平等法自91年3月開始實施，編列本表統計資料。","","","","",""," Note   ：  1.Gender Equality Law implemented from Mar.2002. This table is from the same time.","","","","","","","","","",
""," 2.每一申訴案件容許2項以上申訴類別。","","","","","","  2.The classification of appeal permits two or more than two appeal issues for each case.","","","","","","","","","",
"","","  -100-","","","","","","","","","   -101-","","","","","",
