" 表 4-9 育嬰留職停薪津貼核付情形－按保險類別及性別分 ","","","","","","",""," Table 4-9 Approval for Payment of Parental Leave Allowance","","","","","",""," 表 4-9 育嬰留職停薪津貼核付情形－按保險類別及性別分(續) ","","","","","","",""," Table 4-9 Approval for Payment of Parental Leave Allowance","","","","","","",
,,,,,,,"","","  by the Type of Insurance and Sex","","","","","",,,,,,,,"",""," by the Type of Insurance and Sex (Cont.)  ˉ","","","","","",
" ","","","","",""," 單位：件、千元","","","","","","","  Unit：Case、NT$1,000",""," ","","","","",""," 單位：件、千元","","","","","","","  Unit：Case、NT$1,000","",
" ","",""," 總　　　　計","  Grand total","","","","",""," 就　業　保　險","   Employment insurance","","",""," ","","  公 教 人 員 保 險",""," Civil servant and teacher insurance","","","","",""," 軍　人　保　險","  Military personnel insurance","","","",
" 年　月　別 ","","","","","","",,,,,,,,," 年　月　別 ","","","","","","",,,,,,,,,
" ","  初次核付件數","","",""," 核　付　件　數","","",""," 初次核付件數","",""," 核　付　件　數","",""," ","  初次核付件數","","",""," 核　付　件　數","","",""," 初次核付件數","",""," 核　付　件　數","","",
,,,,,,," 核付金額","","","","","","","  核付金額",,,,,,,," 核付金額","","","","","","","  核付金額",
" ","  Cases of initial approval for payment","","","  Cases of approval for payment","","","","  Cases of initial approval for payment","","","  Cases of approval for payment","","",""," ","  Cases of initial approval for payment","","","  Cases of approval for payment","","","","  Cases of initial approval for payment","","","  Cases of approval for payment","","","",
,,,,,,,"  Amount","","","","","","","  Amount",,,,,,,,"  Amount","","","","","","","  Amount",
" Year and month ","  計","  男","  女","  計","  男","  女","  approved","  計","  男","  女","  計","  男","  女","  approved"," Year and month ","  計","  男","  女","  計","  男","  女","  approved","  計","  男","  女","  計","  男","  女","  approved",
" "," Total"," Male"," Female"," Total"," Male"," Female","  and paid"," Total"," Male"," Female"," Total"," Male"," Female","  and paid"," "," Total"," Male"," Female"," Total"," Male"," Female","  and paid"," Total"," Male"," Female"," Total"," Male"," Female","  and paid",
"  98年  2009 ","29182","4973","24209","121299","20002","101297","1905335","26472","4808","21664","109861","19364","90497","1720272","  98年  2009 ","2710","165","2545","11438","638","10800","185063","","","","","","","",
"  99年  2010 ","37929","6803","31126","211814","38463","173351","3466109","34218","6500","27718","190281","36790","153491","3128374","  99年  2010 ","3619","287","3332","21160","1613","19547","332772","92","16","76","373","60","313","4964",
" 100年  2011 ","44387","7285","37102","231778","38529","193249","3915603","40498","6928","33570","209532","36441","173091","3570769"," 100年  2011 ","3739","332","3407","21331","1926","19405","333578","150","25","125","915","162","753","11256",
" 101年  2012 ","60713","9407","51306","313705","48977","264728","5334331","56165","8947","47218","288364","46507","241857","4937642"," 101年  2012 ","4287","394","3893","23852","2122","21730","378080","261","66","195","1489","348","1141","18610",
" 102年  2013 ","67568","10848","56720","366804","58353","308451","6334418","62595","10308","52287","338466","55342","283124","5898433"," 102年  2013 ","4582","415","4167","26064","2321","23743","407659","391","125","266","2274","690","1584","28325",
" 103年  2014 ","73899","11620","62279","387924","61581","326343","6865367","68301","11013","57288","356731","58125","298606","6388104"," 103年  2014 ","5175","475","4700","28606","2609","25997","444792","423","132","291","2587","847","1740","32471",
" 104年  2015 ","92342","14943","77399","497729","79808","417921","8974116","85872","14258","71614","461900","76061","385839","8435577"," 104年  2015 ","5929","520","5409","32531","2798","29733","497877","541","165","376","3298","949","2349","40662",
" 105年  2016 ","92268","15636","76632","499168","84252","414916","9167379","85655","14909","70746","461808","80271","381537","8607505"," 105年  2016 ","6036","550","5486","33984","2990","30994","520070","577","177","400","3376","991","2385","39804",
