" ",""," 表 4-10 就業保險育嬰留職停薪津貼核付情形－按規模別分","","","","","","","",
" ",""," Table 4-10 Approval for Payment of Parental Leave Allowance","","","","","","","",
" ","","","  under Employment Insurance by Scale","","","","","","",
" ","","","","","","","",""," 單位：件、月",
" ","","","","","","","","  Unit：Case、Month","",
" ","","",""," 初次核付件數","","","  核付件數","","  平均請領",
" ","  項　目　別","",""," Cases of initial","","  Cases of approval","","","  月　　數",
" ","","","  approval for payment","","","","  for payment","","",
" ","","","","","","","","","  Average",
" ","  Item","","  計","  男","  女","  計","  男","  女","  months of",
" ","","","  Total","  Male","  Female","  Total","  Male","  Female","  payment",
" 100年 ","  9-12月  2011","  Sept.-Dec.","14676","2365","12311","81668","13650","68018","5.56",
" "," 1～29人"," persons","6598","1457","5141","36516","8500","28016","5.53",
" "," 30～99人"," persons","1717","219","1498","9343","1284","8059","5.44",
" "," 100～199人"," persons","874","100","774","4437","539","3898","5.08",
" "," 200人以上"," persons &","5487","589","4898","31372","3327","28045","5.72",
" ","","  over","","","","","","","",
" 101年 ","   2012","","56165","8947","47218","288364","46507","241857","5.13",
" "," 1～29人"," persons","23802","5373","18429","127044","29229","97815","5.34",
" "," 30～99人"," persons","6995","910","6085","33961","4367","29594","4.86",
" "," 100～199人"," persons","3313","364","2949","16140","1666","14474","4.87",
" "," 200人以上"," persons &","22055","2300","19755","111219","11245","99974","5.04",
" ","","  over","","","","","","","",
" 102年 ","   2013","","62595","10308","52287","338466","55342","283124","5.41",
" "," 1～29人"," persons","25313","5893","19420","142544","33367","109177","5.63",
" "," 30～99人"," persons","7907","1031","6876","41225","5359","35866","5.21",
" "," 100～199人"," persons","3924","438","3486","19651","2048","17603","5.01",
" "," 200人以上"," persons &","25451","2946","22505","135046","14568","120478","5.31",
" ","","  over","","","","","","","",
" 103年 ","   2014","","68301","11013","57288","356731","58125","298606","5.22",
" "," 1～29人"," persons","26184","5904","20280","141837","32423","109414","5.42",
" "," 30～99人"," persons","8796","1145","7651","44443","5941","38502","5.05",
" "," 100～199人"," persons","4690","501","4189","22862","2440","20422","4.87",
" "," 200人以上"," persons &","28631","3463","25168","147589","17321","130268","5.15",
" ","","  over","","","","","","","",
" 104年 ","   2015","","85872","14258","71614","461900","76061","385839","5.38",
" "," 1～29人"," persons","34647","7752","26895","189485","42688","146797","5.47",
" "," 30～99人"," persons","11662","1585","10077","60397","8248","52149","5.18",
" "," 100～199人"," persons","5715","616","5099","29653","3093","26560","5.19",
" "," 200人以上"," persons &","33848","4305","29543","182365","22032","160333","5.39",
" ","","  over","","","","","","","",
" 105年 ","   2016","","85655","14909","70746","461808","80271","381537","5.39",
" "," 1～29人"," persons","34729","8163","26566","192974","45625","147349","5.56",
" "," 30～99人"," persons","11737","1649","10088","60849","8558","52291","5.18",
" "," 100～199人"," persons","5885","746","5139","30021","3653","26368","5.1",
" "," 200人以上"," persons &","33304","4351","28953","177964","22435","155529","5.34",
" ","","  over","","","","","","","",
" 資料來源： ","  勞動部勞工保險局。","","","","","","","","",
" 說　　明： ","  就業保險法之育嬰留職停薪津貼自98年5月1日起施行，按規模別之分類自100年9月起統計。","","","","","","","","",
" Source： ","  Bureau of Labor Insurance, MOL.","","","","","","","","",
" Note： ","  Parental leave allowance of the insurance program for employment is effective as of May 1st, 2009. Began to count the","","","","","","","","",
" ","  classification of scale from September, 2011.","","","","","","","","",
" ","","","","","  -106-","","","","",
