" ","","","  表 4-11 勞雇雙方協商減少工時概況","","","","","",
" ","",""," Table 4-11 Negotiated Reduction of Working Hours","","","","","",
" ","","","","",""," 單位：家、人","  Unit：Establishment、Person","",
" ","","","  事業單位家數","","  通報人數","","  實際實施人數","",
" "," 年 月 底 別","","  Units","","  Persons of notification","","  Persons of implementation","",
" ","","","","  較上期","","  較上期","","  較上期",
" ","","","","  增減數","","  增減數","","  增減數",
" End of year and month ","","",""," Change from",""," Change from",""," Change from",
" ","","",""," last period",""," last period",""," last period",
" 100年 "," 底"," End of  2011","109","","13034","","12487","",
" 101年 "," 底"," End of  2012","62","","4450","","4289","",
" 102年 "," 底"," End of  2013","42","","2513","","1501","",
" 103年 "," 底"," End of  2014","16","","940","","940","",
" 104年 "," 底"," End of  2015","57","","4761","","4756","",
" 105年 "," 底"," End of  2016","21","","529","","529","",
"  1月 "," 中"," Mid of  Jan.","37","-20","1180","-3581","1180","-3576",
" "," 底"," End of","42","5","1346","166","1346","166",
"  2月 "," 底"," End of  Feb.","45","3","1045","-301","1045","-301",
"  3月 "," 中"," Mid of  Mar.","27","-18","642","-403","642","-403",
" "," 底"," End of","25","-2","703","61","703","61",
"  4月 "," 中"," Mid of  Apr.","21","-4","577","-126","577","-126",
" "," 底"," End of","25","4","598","21","598","21",
"  5月 "," 中"," Mid of  May","24","-1","710","112","710","112",
" "," 底"," End of","30","6","837","127","837","127",
"  6月 "," 中"," Mid of  June","24","-6","503","-334","503","-334",
" "," 底"," End of","26","2","658","155","658","155",
"  7月 "," 中"," Mid of  July","21","-5","402","-256","402","-256",
" "," 底"," End of","23","2","524","122","524","122",
"  8月 "," 中"," Mid of  Aug.","25","2","536","12","536","12",
" "," 底"," End of","26","1","544","8","544","8",
"  9月 "," 中"," Mid of  Sept.","26","0","662","118","662","118",
" "," 底"," End of","24","-2","542","-120","542","-120",
" 10月 "," 中"," Mid of  Oct.","22","-2","351","-191","351","-191",
" "," 底"," End of","24","2","350","-1","350","-1",
" 11月 "," 中"," Mid of  Nov.","26","2","573","223","573","223",
" "," 底"," End of","28","2","861","288","861","288",
" 12月 "," 中"," Mid of  Dec.","24","-4","556","-305","556","-305",
" "," 底"," End of","21","-3","529","-27","529","-27",
" 資料來源： ","  勞動部勞動條件及就業平等司。","","","","","","","",
" 說　　明： ","  105年2月中適逢過年，故無統計數據。","","","","","","","",
" Source： "," The Department of Labor Standards and Equal Employment, MOL.","","","","","","","",
" Note： There was no data during Chinese New Year (Mid-February, 2016). ","","","","","","","","",
" ","","","","   -107-","","","","",
