" ","  表 5-1 勞工服務中心服務概況","","","","","","","","  Table 5-1  Counseling Service by Worker Consultation Service Centers","","","","","","","","","",
" ","","","","","","","  單位：件","","","","","","","","","",""," Unit：Case",
" ","","","  按  服  務  性  質  分","","  Counseling service by status","","","","","","  按   服   務   類   別   分","","  Labor service by various  (1)ˉ","","","","","",
" 年　　　別 ","  總　計","","","","","","",,,,,,,,,,,,
" ","","  解釋法令","","","","","","","","","  性別工作","  職業安全","  勞 動","","","  外勞問","","  綜 合",
" ","","  疑　　義","  申  訴","  轉  介","  建  議","  批  評","  其  他","  工 資","  工 時","  僱用管理","  平　　等","  衛　　生","  保 險","  勞動福祉"," 就業與職訓","  題  (2)","  勞動關係","  問 題",
" ","","  Enterpretation","","","","","","","","","  Gender"," Occupational","",""," Employment","  Foreign","","",
,,,,,,,,"","  Working"," Employment","","","  Labor"," Employment","  and",""," Employment","  General",
" Year ","  Grand total","    of laws and","  Grievances","  Referals","  Advices","  Comments","  Others",,,,,,,,,,,,
" ","","    regulations","","","","","","  Wage","  hours"," management"," employment equality in","  safety and health","  insurance","  welfare","  vocational training","  issuesworker","  relations","  issues",
" ","","","","","  ╰————v————╯","","",,,,,,,,,,,,
"  76年  1987 ","1441","509","745","13","109","","65","639","323","498","0","0","290","107","14","0","0","250",
"  77年  1988 ","1782","574","1017","6","121","","64","770","372","737","0","0","391","268","12","0","0","242",
"  78年  1989 ","1114","491","522","4","52","","45","411","202","368","0","0","231","118","9","0","0","105",
"  79年  1990 ","1305","1192","90","0","6","","17","99","30","131","0","0","45","40","3","0","0","20",
"  80年  1991 ","1835","1661","104","2","1","","67","401","203","792","0","0","132","308","83","0","0","324",
"  81年  1992 ","11723","11388","178","0","24","","133","2982","1165","5542","0","0","480","1221","217","0","0","473",
"  82年  1993 ","20045","10202","2998","1612","330","","4903","2725","2227","6649","0","0","2534","4149","5346","647","0","1303",
"  83年  1994 ","46806","25512","6043","849","1167","","13235","4984","4466","5673","0","0","5120","12690","15284","2722","0","2636",
