" "," 表 5-3 勞工志願服務概況","","","","","",""," Table 5-3 Status of Labor Volunteer Services","","","","","",
" 志工隊數 ",""," 志工人數","","","",""," 服務總時數"," 服務總人次",""," 教育訓練總時數",""," 教育訓練總人次","",
" 年                         別 "," (隊)","  (人)","","","",""," (小時)  ˉ"," (人次)  ˉ",""," (小時)  ˉ",""," (人次)  ˉ","",
" Number of ",""," Number of","  男","","  女",""," Servicing hours"," Servicing",""," Education",""," Education training","",
" Year Volunteer Teams ",""," Volunteers","","","","",""," person-cases",""," training hours",""," person-cases","",
" (Team) ",""," (Person)  ˉ","  Male",""," Female",""," (Hour)  ˉ"," (Person-case)  ˉ",""," (Hour)  ˉ",""," (Person-case)  ˉ","",
"  84年  1995 ","68","4364",""," ...",""," ...","0",""," ...",""," ...",""," ...",
"  85年  1996 ","72","5393",""," ...",""," ...","0",""," ...",""," ...",""," ...",
"  86年  1997 ","76","6229",""," ...",""," ...","0",""," ...",""," ...",""," ...",
"  87年  1998 ","84","6416",""," ...",""," ...","0",""," ...",""," ...",""," ...",
"  88年  1999 ","81","5657",""," ...",""," ...","0",""," ...",""," ...",""," ...",
"  89年  2000 ","79","9743",""," ...",""," ...","0",""," ...",""," ...",""," ...",
"  90年  2001 ","52","5237",""," ...",""," ...","0",""," ...",""," ...",""," ...",
"  91年  2002 ","123","5027",""," ...",""," ...","104683","64536","","22797","",""," ...",
"  92年  2003 ","50","4589",""," ...",""," ...","97101","51726","","15563","",""," ...",
"  93年  2004 ","99","9297",""," ...",""," ...","918472","124934","","13008","",""," ...",
"  94年  2005 ","47","3425",""," ...",""," ...","143824","116081","","30483","",""," ...",
"  95年  2006 ","44","2891",""," ...",""," ...","106130","120181","","25292","",""," ...",
"  96年  2007 ","48","2757",""," ...",""," ...","127764","102848","","28066","",""," ...",
"  97年  2008 ","47","2663",""," ...",""," ...","286887","112241","","24034","",""," ...",
"  98年  2009 ","48","2307",""," ...",""," ...","149563","241791","","22610","",""," ...",
"  99年  2010 ","93","3542",""," ...",""," ...","334586","3137267","","34214","",""," ...",
" 100年  2011 ","76","3322","1049","","2273","","343967","3383911","","44987","","6350","",
" 101年  2012 ","85","3488","1029","","2459","","442214","4881817","","41481","","7183","",
" 102年  2013 ","86","3543","1027","","2516","","374385","4310515","","39536","","6906","",
" 103年  2014 ","84","3564","1053","","2511","","368905","4018963","","50742","","6150","",
" 104年  2015 ","84","4212","1471","","2741","","538298","3590106","","44052","","7555","",
" 105年  2016 ","89","4323","1491","","2832","","376785","4595859","","41006","","7125","",
" 資料來源： 勞動部勞動福祉退休司、縣市政府勞工行政單位、加工出口區及科學工業園區。 ","","","","","",""," Source： The Department of Employment Welfare and Retirement, MOL , the administration agencies of labor affairs in county(city)  ˉ","","","","","","",
,,,,,,," government, Export Processing Zones and Science Parks.","","","","","","",
" 說　　明： 自99年起，本部志願服務資料包含所屬單位。 ","","","","","","",,,,,,,,
,,,,,,," Note： The volunteer services of MOL contained the subsidiary units of MOL since 2010.","","","","","","",
" ","","  -112-","","","","","","","  -113-","","","","",
