"","  表 5-4 勞工志願服務概況－按地區分","","","","","  Table 5-4  Status of Labor Volunteer Services  by Area","","","",
"","","  中華民國105年","","","","","   2016","","",
"","  志工隊數",""," 志工人數","",""," 服務總時數"," 服務總人次"," 教育訓練總時數"," 教育訓練總人次",
"  地        區        別","","  (隊)","  (人)","",""," (小時)  ˉ"," (人次)  ˉ"," (小時)  ˉ"," (人次) ˉ",
"","  Number of",""," Number of","  男","  女"," Servicing hours"," Servicing"," Education"," Education training",
""," Area Volunteer Teams",""," Volunteers","","",""," person-cases"," training hours"," person-cases",
"","","  (Team)"," (Person)","  Male","  Female"," (Hour)  ˉ"," (Person-case)  ˉ"," (Hour)  ˉ"," (Person-case) ˉ",
" 總          計"," Grand total","89","4323","1491","2832","376785","4595859","41006","7125",
" 　本　　　部"," Ministry of  Labor","37","837","140","697","186973","3310412","7623","1614",
" 　新　北　市"," New Taipei City","7","329","103","226","24953","90777","4525","386",
" 　臺　北　市"," Taipei City","4","135","27","108","21460","48639","441","132",
" 　桃　園　市"," Taoyuan City","1","50","15","35","8448","5751","796","194",
" 　臺　中　市"," Taichung City","11","805","408","397","12732","70187","11262","1552",
" 　臺　南　市"," Tainan City","3","388","163","225","17298","24930","2612","311",
" 　高　雄　市"," Kaohsiung City","8","483","148","335","45267","438491","3399","1025",
" 　宜　蘭　縣"," Yilan County","1","114","64","50","2445","240","24","160",
" 　新　竹　縣"," Hsinchu County","1","119","60","59","1140","90","16","210",
" 　苗　栗　縣"," Miaoli County","1","60","17","43","3828","957","0","0",
" 　彰　化　縣"," Changhwa County","1","160","70","90","8150","526731","24","187",
" 　南　投　縣"," Nantou County","2","106","33","73","3473","1339","2856","238",
" 　雲　林　縣"," Yunlin County","1","20","7","13","1489","7127","300","25",
" 　嘉　義　縣"," Chiayi County","1","85","30","55","5306","31620","456","99",
" 　屏　東　縣"," Pingtung County","1","20","2","18","2718","14352","132","12",
" 　臺　東　縣"," Taitung County","1","57","30","27","210","105","0","0",
" 　花　蓮　縣"," Hwalien County","1","126","34","92","785","1690","1368","213",
" 　澎　湖　縣"," Penghu County","1","15","1","14","660","5000","108","18",
" 　基　隆　市"," Keelung City","1","31","8","23","1453","2809","378","57",
" 　新　竹　市"," Hsinchu City","1","70","40","30","3700","1740","58","154",
" 　嘉　義　市"," Chiayi City","3","210","59","151","13302","9207","1086","133",
" 　金　門　縣"," Kinmen County","0","0","0","0","0","0","0","0",
" 　連　江　縣"," Lienchiang County","0","0","0","0","0","0","0","0",
" 　加工出口區"," Export Processing Zones","1","103","32","71","10995","3665","3542","405",
" 　科學工業園區"," Science Parks","0","0","0","0","0","0","0","0",
" 資料來源： 勞動部勞動福祉退休司、縣市政府勞工行政單位、加工出口區及科學工業園區。","","","","",""," Source： The Department of Employment Welfare and Retirement, MOL , the administration agencies of labor affairs in county(city)  ˉ","","","",
,,,,,," government, Export Processing Zones and Science Parks.","","","",
" 說　　明： 自99年起，本部志願服務資料包含所屬單位。","","","","","",,,,,
,,,,,," Note： The volunteer services of MOL contained the subsidiary units of MOL since 2010.","","","",
"","","   -114-","","","","","   -115-","","",
