" 表 5-7 勞工退休準備金(舊制)提撥概況 ","","","","","  Table 5-7 Appropriation of Workers' Retirement Fund (Old mechanism)","","","","",
" ","","",""," 單位：家、人、千元","","","","  Unit：Establishment、Person、NT$1,000","",
" ","  提 存 戶 數",""," 有餘額戶數"," 提存廠商開戶",,,,,,
,,,,," 提 存 金 額"," 撥 發 金 額"," 累計提存金額(含孳息、收益)  ˉ","  累計撥發金額"," 基金運用餘額",
" 年   底   別 ","","",""," 時員工人數",,,,,,
" ",""," 家數提存率","","",,,,,,
" ","","",""," Employees of","","","            Cumulative","","",
" Appropriating ",""," (％)  ˉ"," Accounts with"," business firms","","","             retirement","    Cumulative","",
" End of year (Establishment) "," accounts"," appropriating Rate of"," (Establishment)  surplus"," opening accounts at time of"," Retirement fund"," Payment from fund","                 fund","  payment from"," Fund utilization",
,,,,,"",""," (Incl. Interests、revenue)  ˉ","        fund"," balance",
" ",""," accounts","","",,,,,,
"  77年底  End of 1988 ","18378","17.11","0","1475696","0","0","35198598","6605535","25782300",
"  78年底  End of 1989 ","20211","16.48","17848","1533612","13093798","6668","49897170","13331697","31904700",
"  79年底  End of 1990 ","21044","16.01","18860","1551689","13778352","9393395","67018267","23044498","40083750",
"  80年底  End of 1991 ","21452","15.12","19347","1556529","16832339","11422735","87893396","34639313","53384537",
"  81年底  End of 1992 ","21778","13.95","19669","1569591","17395510","10216421","109745716","45091630","60593457",
"  82年底  End of 1993 ","22634","13.6","20363","1590995","19244511","12557432","134347952","58086009","70229890",
"  83年底  End of 1994 ","23620","13.43","21213","1612005","22302657","15384357","162444064","73885263","83254131",
"  84年底  End of 1995 ","24218","14.15","21855","1627586","24610032","15150411","193263294","97080217","89379301",
"  85年底  End of 1996 ","25176","15.19","22798","1661032","26169966","17739614","225941581","115315964","105061587",
"  86年底  End of 1997 ","28750","17.13","25140","1811255","29951499","20219829","262762690","135535793","121604570",
"  87年底  End of 1998 ","36655","14.37","32911","2277958","43236474","24699540","313982582","160235332","142413528",
"  88年底  End of 1999 ","42203","11.81","38709","2555277","53693743","27268581","376792705","187503913","177276158",
"  89年底  End of 2000 ","45930","12.66","42651","2735359","51322772","25740158","428115477","213244071","236842642",
"  90年底  End of 2001 ","48508","13.44","45634","2858192","68879287","38779427","496994764","252023498","261387148",
"  91年底  End of 2002 ","50287","13.83","47439","2901789","68817688","36557258","565812452","288580756","293048927",
"  92年底  End of 2003 ","52018","13.79","49183","2952468","66502127","32428355","632314579","317938816","329334224",
"  93年底  End of 2004 ","55277","14.14","52029","3031661","70008161","28425932","702322740","346364749","373847267",
"  94年底  End of 2005 ","99983","24.05","79854","3436762","68356825","42424845","770679565","388789594","391742648",
"  95年底  End of 2006 ","117373","27.61","103537","3581966","65979765","39821047","836659330","428610661","420109000",
"  96年底  End of 2007 ","125344","29.29","113497","3601644","67218568","40285663","903877899","468896324","458988409",
"  97年底  End of 2008 ","125912","29.39","115246","3557042","73859901","43773893","977737800","512670217","471619982",
"  98年底  End of 2009 ","122567","28.08","114156","3480245","70541786","44869634","1048279586","557539851","496826265",
"  99年底  End of 2010 ","125359","53.05","118163","3441108","68309782","31867546","1116589368","589407396","537809111",
" 100年底  End of 2011 ","124684","57.72","117970","3409506","56172476","32504221","1172761844","621911617","562128221",
" 101年底  End of 2012 ","122704","60.09","116257","3381389","56267972","39572456","1229029815","661484074","580045746",
" 102年底  End of 2013 ","124033","68.2","117025","3377162","57048759","51559431","1286078575","713043505","601618839",
" 103年底  End of 2014 ","131049","92.94","121704","3349991","65199302","58721227","1351277876","771764732","631035378",
" 104年底  End of 2015 ","123972","99.86","118896","3253662","83643017","61106780","1434920894","832871512","659473910",
" 105年底  End of 2016 ","112527","99.9","107983","3155910","226522792","75550946","1661443686","908422458","818383740",
" 資料來源： 臺灣銀行及勞動部勞動基金運用局。 ","","","",""," Source：  Bank of Taiwan and Bureau of Labor Funds, MOL.","","","","",
" 說　　明： 1.本表不含歇業廠商資料。 ","","","",""," Note：  1.Excluding business firms closed.","","","","",
" 2.本表資料83年5月以前不包括金門縣及連江縣。 ","","","","","  2.Data series for May 1994 and before exclude Kinmen County and Lienchiang County.","","","","",
" 3.自88年1月起，因「勞動基準法」擴大適用範圍，適用勞基法之事業單位家數增加，致家數提存率下降。 ","","","","","  3.The regulatory scope of the "Labor Standards Act" (LSA) was expanded in January 1999. As a result, the number of business","","","","",
" 4.99年以前，家數提存率之計算方式為提存戶數占適用勞動基準法之事業單位家數比率；99年起，修正家數 ","","","","","     entities regulated by LSA increased, resulting in a decreased rate of appropriating accounts.","","","","",
"    提存率之計算方式為提存戶數占有提撥勞工退休金義務之事業單位家數比率，致家數提存率上升。 ","","","","","  4.Before July 2010, the rate of appropriating accounts was calculated according to the ratio of appropriating accounts to the","","","","",
,,,,,"     number of business entities to which the Labor Standards Act applied. After the revision in July 2010, the ratio of appropriating","","","","",
,,,,,"     accounts is to the number of business entities required by law to appropriate for labor pensions on a regular basis. As a","","","","",
,,,,,"     consequence, the rate of appropriating accounts has gone up.","","","","",
" ","","  -120-","","","","","   -121-","","",
