"","  表 5-11 勞工退休金新制概況－按地區分","","","",""," Table 5-11  Status of Contribution to the New Labor Pension by Area","","","","",
"",""," 中華民國105年","  單位：家、人、件、千元","","","","   2016","  Unit：Establishment、Person、Case、NT$1,000","","",
,,,,,"","","  實計核發退休金　Real disbursement of pension payments","","","",
"",""," 提　繳　事　業"," 提　繳　人　數"," 平均提繳工資","  應計提繳金額","","","","","",
"  地      區       別",""," 單　位　家　數","","",,,,,,,
,,,,,"","  一　次　退　休　金","","","  月　退　休　金","",
"",""," (年底)  ˉ"," (年底)"," (元)","","  Lump sum pension payments","",""," Monthly pension payments","",
""," Area"," Units of contribution"," Persons of contribution"," contribution wages","  Due amount"," 件　　數","  金　　額"," 件　　數","  首　　發","  金　　額",
"",""," (End of year)  ˉ"," (End of year)  ˉ"," (NT$)","  of contribution","  Cases","  Amount","  Cases"," Cases of first issue","  Amount",
" 總　　　　計"," Grand total","492842","6395674","36825","184984655","107490","17810457","81","24","27223",
" 　新　北　市"," New Taipei City","87598","913851","34739","24227625","22192","3603255","5","1","1594",
" 　臺　北　市"," Taipei City","100756","1765112","42830","60412909","14148","3206136","6","1","7777",
" 　桃　園　市"," Taoyuan City","42733","612823","37278","17476007","10269","1626413","0","0","0",
" 　臺　中　市"," Taichung City","77441","786585","30771","18330685","12060","1704163","2","1","632",
" 　臺　南　市"," Tainan City","34091","431871","31669","10495867","7318","1110354","5","1","1048",
" 　高　雄　市"," Kaohsiung City","53443","616424","32210","15737086","13817","2480153","54","13","14808",
" 　宜　蘭　縣"," Yilan County","5300","56593","30077","1349960","1780","251070","0","0","0",
" 　新　竹　縣"," Hsinchu County","8908","210641","47940","8111388","2321","408465","2","2","747",
" 　苗　栗　縣"," Miaoli County","6660","87451","35766","2603869","2331","414489","0","0","0",
" 　彰　化　縣"," Changhwa County","25185","245756","28411","5332954","4095","574089","0","0","0",
" 　南　投　縣"," Nantou County","5188","56849","30146","1380630","1713","202145","1","1","20",
" 　雲　林　縣"," Yunlin County","6428","87216","34217","2518041","1689","218006","1","1","80",
" 　嘉　義　縣"," Chiayi County","4548","58048","29619","1402093","1517","186998","0","0","0",
" 　屏　東　縣"," Pingtung County","7557","78435","28074","1727366","3276","407825","4","3","413",
" 　臺　東　縣"," Taitung County","2348","19628","28566","473594","1160","104006","0","0","0",
" 　花　蓮　縣"," Hwalien County","4632","42106","30439","1080890","1875","236887","0","0","0",
" 　澎　湖　縣"," Penghu County","775","6548","28644","167767","305","40983","0","0","0",
" 　基　隆　市"," Keelung City","4370","38262","34178","1045775","2476","423772","0","0","0",
" 　新　竹　市"," Hsinchu City","8988","228231","53141","9778452","1914","389866","1","0","104",
" 　嘉　義　市"," Chiayi City","4862","43589","29396","1058750","1011","185407","0","0","0",
" 　金　門　縣"," Kinmen County","880","8585","31590","242108","196","33120","0","0","0",
" 　連　江　縣"," Lienchiang County","151","1070","33518","30839","27","2853","0","0","0",
" 資料來源：  勞動部勞工保險局。","","","","","  Source： Bureau of Labor Insurance, MOL.","","","","","",
" 說       明：  1.本資料為該局受理本項業務(94年7月1日)起計算。","","","","","  Note： 1.Data series have been established from July 2005.","","","","","",
,,,,,"  2.According to the Implementation Rules of the Labor Pension Act of the amendment to the Labor Pension increase the monthly","","","","","",
"  2.配合勞工退休金條例施行細則修正，勞工退休金新增「月退休金」項目，核發名稱亦予修改。","","","","",,,,,,,
"  3.勞工申請月退休金經審查核可者，首發自收到申請書之次月起核發至當季止，嗣後定期於每年2月、5月、","","","","","     pension payments project,the category was also modified.","","","","","",
,,,,,"  3.Labor to apply for monthly pension was approved for the first time, since receipt of the application for the following month","","","","","",
"     8月、11 月按季續發。","","","","",,,,,,,
"  4.本表月退休金件數含首發及續發，年度核發件數採10至12月之合計值，首發之年度核發件數為全年累計數。","","","","","     until issued to the quarter ended, after a regular basis every February, May, August, November quarterly payment.","","","","","",
"  5.103年1月17日修正生效之勞工退休金條例，提繳部分將本國人之外國、大陸、及港澳地區配偶依法在台工作","","","","","  4.The cases of monthly pension payments include first issue and following issue. The total cases are calculated from Oct. to Dec.,","","","","","",
,,,,,"     and the cases of first issue are calculated for the whole year.","","","","","",
"     者及自營作業者納入提繳對象；其中自營作業者只計人數不計單位數。核發部分包含未滿60歲喪失工作能","","","","",,,,,,,
"     力，符合請領條件之勞工得提前領取退休金資料。","","","","","  5.The newly amended and effective Labor Pension Act of January 17, 2014, includes spouses of Taiwan nationals from China,","","","","","",
,,,,,"     Hong Kong, Macau and other foreign countries who are legally working or are self-employed in Taiwan as contributors to the","","","","","",
"  6.「地區別」資料，事業單位係依登記地址資料統計；自營作業者係依戶籍地址資料統計。","","","","","     pension plan. Self-employed spouses are calculated by the number of persons and not by the number of business units. Pension","","","","","",
,,,,,"     payment includes those under 60 who have lost the capacity to work and met the conditions for early pension payment.","","","","","",
,,,,,"  6.Business entities according to registered address; self-employed workers according to residential address.","","","","","",
"","","   -128-","","","","","   -129-","","","",
