"","  表 5-12 勞工退休金新制提繳單位及人數－按行業及規模分","","","","","","",""," Table 5-12 Number of Units and Contributors to the New Labor Pension","","","","","","","        表 5-12 勞工退休金新制提繳單位及人數－按行業及規模分(續1)","","","","","","","",""," Table 5-12 Number of Units and Contributors to the New Labor Pension","","","","","","","        表 5-12 勞工退休金新制提繳單位及人數－按行業及規模分(續2完)","","","","","",""," Table 5-12 Number of Units and Contributors to the New Labor Pension","","","","","","",
,,,,,,,,"","","","  by Industry and Scale","","","","",,,,,,,,,"","","  by Industry and Scale (Cont.1)","","","","","",,,,,,,"","","  by Industry and Scale (Cont.2)","","","","","",
"","","","  中華民國105年底","","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","","","","","  中華民國105年底","","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","","","","  中華民國105年底","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","",
"","","  總　　　計","","  農、林、漁、牧業","","  礦業及土石採取業","","  製　造　業","","  電力及燃氣供應業","","  用水供應及污染整治業","","  營建工程業","","","","  批發及零售業","","  運輸及倉儲業","","  住宿及餐飲業","","  出版、影音製作、","","  金融及保險業","","  不　動　產　業","","  專業、科學及技術服務業","","","","  支援服務業",""," 公共行政及國防；強制性社會安全","","  教　育　業","","  醫療保健及社會工作服務業","","  藝術、娛樂及休閒服務業","","  其 他 服 務 業","",
"     項　　目　　別","","","","","","","",,,,,,,,,"     項　　目　　別","","","","","","","","  傳播及資通訊服務業","","","","","","","","     項　　目　　別","","","","","",,,,,,,,,
"","","","","  Agriculture,forestry, fishing &","","","","","","","","  Water supply &","","","","","","","","","","  Accommodation &","","","","  Financial &","","","","  Professional, scientific","","","","","","  Public administration & defence;","","","","  Human health &","","  Arts, entertainment","","","",
"","","  Grand total","","  animal husbandry","","  Mining & quarrying","","  Manufacturing","","  Electricity & gas supply","","  remediation activities","","  Construction","","","","  Wholesale & retail trade","","  Transportation & storage","","  food service activities","","  Information & communication","","  insurance activities","","  Real estate activities","","  & technical activities","","","","  Support service activities","","  Compulsory social security","","  Education","","  social work activities","","  & recreation","","  Other service activities","",
"        Item","","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","        Item","","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","        Item","","  單　位"," 人  數","  單　位"," 人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數",
"","","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","","","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","","","  Units"," Persons","  Units"," Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons",
"   總　　　計"," Grand Total","492842","6395674","1264","12362","340","3078","91248","2038750","322","17953","3325","31876","41823","277505","   總　　　計"," Grand Total","177301","1490473","9243","205160","23609","328255","10450","209562","7005","282182","13302","95241","31683","293646","   總　　　計"," Grand Total","13722","282027","1887","55960","16579","226951","25859","360179","3137","41211","20743","143303",
"       1~2人"," persons","184390","258732","535","767","120","164","25275","36276","76","110","1531","2094","18446","25470","       1~2人"," persons","73515","102437","2808","3997","6215","8970","3659","5068","2957","3921","6451","9084","13704","19194","       1~2人"," persons","4795","6761","630","873","3439","5039","8367","12466","1130","1565","10737","14476",
