" 表 6-1 勞工保險投保單位數及人數－按行業分 ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry","","","","","","","","","",""," 表 6-1 勞工保險投保單位數及人數－按行業分(續1) ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry (Cont.1)","","","","","","","","","",""," 表 6-1 勞工保險投保單位數及人數－按行業分(續2完) ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry (Cont.2)","","","","","","","","","","",
" ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Unit、Person",""," ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Unit、Person",""," ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Unit、Person","",
" ","","","  總　計","","","  農、林、漁、牧業","","","","  礦業及土石採取業","","","","  製   造   業","","","","","  水 電 燃 氣 業",""," ","","","  營   造   業","","","  批 發 零 售 及 餐 飲 業","","","","","  運輸、倉儲及通信業","","","","","","  金融、保險及不動產業","","",""," ","","","  工  商  服  務  業","","","","","  社會服務及","  個人服務業","","","","","","","  公  共  行  政  業","","","","",
" 年　底　別 ","","","","","","","","",,,,,,,,,,,,," 年　底　別 ","","","","","","","","",,,,,,,,,,,,," 年　底　別 ","","","","","","","","",,,,,,,,,,,,,
" ","","","  Grand total","","  Agriculture, forestry, fishing & animal husbandry","","","","","  Mining & quarrying","","","","  Manufacturing","","","","","  Electricity, gas & water",""," ","","","  Construction","","","  Trade & eating-drinking places","","","","  Transport, storage & communication","","","","","",""," Finance, insurance & real estate","","",""," ","","","  Business services","","","","  Social, personal & related","","  community services","","","","","","","  Public administration","","","","",
" ","","  單 位 數",""," 人  數","","  單 位 數","","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數"," ","","  單 位 數",""," 人  數","","  單 位 數","","  人  數","","  單 位 數","","",""," 人  數","","  單 位 數","","",""," 人  數"," ","","  單 位 數","","  人  數","","","  單 位 數","","","","  人  數","","","  單 位 數","","","","","  人  數","",
" End of year ","","","","","","","","",,,,,,,,,,,,," End of year ","","","","","","","","",,,,,,,,,,,,," End of year ","","","","","","","","",,,,,,,,,,,,,
" ","","  Units",""," Persons","","  Units","","  Persons","","  Units","","  Persons","","  Units","","  Persons","",""," Units","  Persons"," ","","  Units",""," Persons","","  Units","","  Persons","","  Units","","",""," Persons","","  Units","","",""," Persons"," ","","  Units","","  Persons","","","  Units","","","","  Persons","","",""," Units","","","","  Persons","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","  ╰————————————————————————v","","","","",""," ","  —————————————————————————╯","","","","",""," ╰————————————","","  ————————————————v———————————————————————————————————╯","","","","","","","","","","","",
"  81年底  End of 1992 ","","333582","","7708868","","2210","","269813","","782","","13658","","117129","","3076198","","216","","33066","  81年底  End of 1992 ","","24871","","748458","","125498","","1348836","","","8406","","","568856","","","23980","","","483978","  81年底  End of 1992 ","","","","","","","","30490","","","","1166005","","","","","","","","",
"  82年底  End of 1993 ","","368803","","8144183","","2163","","281131","","873","","14192","","121874","","3130810","","216","","32785","  82年底  End of 1993 ","","29462","","847161","","140820","","1465316","","","8964","","","586579","","","28987","","","535841","  82年底  End of 1993 ","","","","","","","","35444","","","","1250368","","","","","","","","",
