"","  表 6-3 勞工保險投保單位數及人數－按地區及類別分","","","","","  Table 6-3 Insured Units and Persons under Labor Insurance by Area","","","","","","","  表 6-3 勞工保險投保單位數及人數－按地區及類別分(續)","","","","","  Table 6-3 Insured Units and Persons under Labor Insurance by Area","","","","","",
,,,,,,"",""," and Various Insured Laborer","","","",,,,,,,"","  and Various Insured Laborer (Cont.)","","","","",
"","","  中華民國105年底","","","  單位：家、人","","","   End of 2016","",""," Unit：Unit、Person","","","  中華民國105年底","","","  單位：家、人","","","   End of 2016","",""," Unit：Unit、Person",
"","","  總　計",""," 產業勞工及交通公用事業之員工","","  公司、行號之員工",""," 新聞、文化、公益及合作事業之員工",""," 政府機關、公、私立學校之員工","","","","  受僱從事漁業生產之勞動者","","  職業訓練機構接受訓練者","","  職  業  勞  工","","  漁會之甲類會員","","  自  願  投  保  者","",
"  地     區     別","","","","","",,,,,,,"  地       區      別","","","","","",,,,,,,
"","","  Grand total","","  Industrial workers","","  Workers of commercial",""," Employees in journalistic, cultural, nonprofit","","  Employees in government","","","","  Workers employed in","","    Persons receiving training in","","  Craft workers","","    Class A members of","","  Voluntary insured persons","",
,,,,,,"      firms and shops","","     organizations or cooperative enterprises","","     agencies and schools","","","","    fishing production","","  vocational training organizations","","","","  fishermen's association","","","",
""," Area","  單 位 數","  人  數"," 單 位 數","  人  數"," 單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數",""," Area","  單 位 數"," 人  數"," 單 位 數","  人  數"," 單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數",
"","","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","","","  Units"," Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons",
" 總　　　　計"," Grand total","544826","10165434","154859","3119516","313367","3394398","12246","308079","8436","418062"," 總　　　　計"," Grand total","1756","4714","112","6630","3828","2222485","39","284522","50183","407028",
" 　新　北　市"," New Taipei City","96609","1425446","31803","455445","54676","489651","1859","38353","746","45190"," 　新　北　市"," New Taipei City","216","593","9","852","305","317666","5","28357","6990","49339",
" 　臺　北　市"," Taipei City","108517","2362347","12633","351219","80115","1355327","3458","86348","971","127894"," 　臺　北　市"," Taipei City","25","98","17","481","318","347778","0","0","10980","93202",
" 　桃　園　市"," Taoyuan City","47225","913397","15754","428282","26174","256398","724","21303","584","28889"," 　桃　園　市"," Taoyuan City","50","109","10","813","271","142815","2","1629","3656","33159",
" 　臺　中　市"," Taichung City","85214","1185098","30216","454929","45208","375113","1247","28774","791","38973"," 　臺　中　市"," Taichung City","31","97","11","1753","368","223309","1","2216","7341","59934",
" 　臺　南　市"," Tainan City","38139","758371","12626","292280","19977","159722","799","17948","680","29332"," 　臺　南　市"," Tainan City","27","58","12","874","326","160599","2","66912","3690","30646",
