"","  表 6-7 勞工保險實計保險給付金額─按地區及行業分","","","","","  Table 6-7 Real Benefit Payments of Labor Insurance by Area and Industry","","","","","","","  表 6-7 勞工保險實計保險給付金額─按地區及行業分(續)","","","","","  Table 6-7 Real Benefit Payments of Labor Insurance by Area and Industry (Cont.)","","","","","",
"","","  中華民國105年","","","  單位：千元","","","   2016","",""," Unit：NT$1,000","","","  中華民國105年","","","  單位：千元","","","   2016","",""," Unit：NT$1,000",
,,,,,,""," 用水供應及","","","","","","  出版、影音製作、","","",""," 專業、科學",""," 公共行政及國防；",""," 醫療保健及"," 藝術、娛樂及","",
"  地　區　別",""," 總　計"," 農、林、漁、牧業"," 礦業及土石採取業"," 製　造　業"," 電力及燃氣供應業"," 污染整治業"," 營建工程業"," 批發及零售業"," 運輸及倉儲業"," 住宿及餐飲業","  地　區　別","  傳播及資通訊服務業",""," 金融及保險業"," 不 動 產 業"," 及技術服務業"," 支援服務業"," 強制性社會安全"," 教　育　業"," 社會工作服務業"," 休閒服務業"," 其他服務業",
"","",""," Agriculture, forestry,","","",,,,,,,,,,,,,,,,,,,
,,,,,," Electricity &"," Water supply & remediation"," Construction"," Wholesale &"," Transportation &"," Accommodation & food service",""," Area"," Information &"," Financial &"," Real estate"," Professional, scientific"," Support service"," Public administration",""," Human health &"," Arts, entertainment"," Other service",
""," Area"," Grand total"," fishing & animal"," Mining & quarrying"," Manufacturing",,,,,,,,,,,,,""," & defence; Compulsory","  Education"," social work","","",
"","",""," husbandry","",""," gas supply","  activities",""," retail trade","  storage","  activities","",""," communication"," insurance activities"," activities"," & technical activities","  activities"," social security","","  activities"," & recreation","  activities",
" 總　      計"," Grand total","325949339","14088527","293941","103727803","1568667","2208442","38790630","38651596","26463736","13770768"," 總　      計"," Grand total","3892907","8542116","3997643","7886249","9747013","5391332","4451766","5989898","3921500","32490882",
" 　新 北 市"," New Taipei City","49406702","1691431","4173","18958285","169786","153393","3304136","7020463","4442606","2105027"," 　新 北 市"," New Taipei City","643923","422923","626581","933520","1422864","758841","731309","669247","395610","4951887",
" 　臺 北 市"," Taipei City","66182971","618383","11711","12399930","359121","275583","6602219","12296070","5433951","2910663"," 　臺 北 市"," Taipei City","1954847","5581747","1053989","3135422","3311517","1590558","886111","1345521","1082458","5332558",
" 　桃 園 市"," Taoyuan City","25063570","261218","7373","10460343","98278","146138","2632487","2983745","1746246","685111"," 　桃 園 市"," Taoyuan City","124181","245205","417973","872179","781068","264803","428770","483726","143826","2280781",
