" 表 6-10 勞工保險實計保險給付(一次給付)－按給付內容及給付種類分 ","","","","","","","  Table 6-10 Real Benefit Payments of Labor Insurance by Type of Benefit","","","","","","",""," 表 6-10 勞工保險實計保險給付(一次給付)－按給付內容及給付種類分(續) ","","","","","","","  Table 6-10 Real Benefit Payments of Labor Insurance by Type of Benefit","","","","","","","",
,,,,,,,"","","  (Lump Sum Benefit Payments)","","","","","",,,,,,,,"","","  (Lump Sum Benefit Payments) (Cont.)","","","","","",
" ","","","","",""," 單位：件、千元","","","","","","","  Unit：Case、NT$1,000",""," ","","","","",""," 單位：件、千元","","","","","","","  Unit：Case、NT$1,000","",
" ","","","","","  現　　金　　給　　付","","","","","  Cash benefits","","","",""," ","","  現　　金　　給　　付","","  Cash benefits","","","","","  醫　　療　　 給　　付","","  Medical care benefits","","","",
" ",""," 總　　計","","","","",,,,,,,,,,,,,,,,,,,,,,,,
" 年　　　　別 ","","","","  計","  依 給 付 內 容 分","","  Real benefits of various","","","  按　給　付　種　類　分","","  Type of real benefits","",""," 年　　　　別 ","","  依　給　付　種　類　分","","  Type of real benefits","","","","  按　 給 　付 　種 　類 　分","","","  Type of real benefits","","","",
" ",""," Grand  total","","","  職業災害保險給付","","  普通事故保險給付","","  生　育　給　付","","  傷　病　給　付","","  失　能　給　付",""," ","  老　年　給　付","","  死　亡　給　付","","  失　業　給　付","",""," 計","  住　院　給　付","","  門　診　給　付","","  預防職業病健檢給付","",
" ","","","","  Total","  Occupational benefits","","  Ordinary benefits","","  Maternity benefits","","  Injury or sickness benefits","","  Permanent disability benefits",""," ","  Old-age benefits","","  Death benefits","","  Unemployment benefits","",""," Total","  Inpatient hospitalization","","  Outpatient medical","","  Prevent occupational","",
,,,,,,,,,,,,,,,,,,,,,,"","","  benefits","","  care benefits","","  disease benefits","",
" Year ","","","","","","",,,,,,,,," Year ","","","","","","",,,,,,,,,
" ","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額"," ","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額",
" ","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount"," ","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount",
"  69年  1980 ","24207282","8231107","223757","3543791","19808","445432","203949","3098359","129191","592031","40467","109046","5655","246952","  69年  1980 ","13883","1381795","34561","1213968","0","0","23983525","4687316","183380","1789835","23800145","2897481","0","0",
