""," 表 6-12 勞工保險職業災害實計保險給付─按行業分","","","","","  Table 6-12 Real Occupational Benefit Payments of Labor Insurance by Industry","","","","","","","",""," 表 6-12 勞工保險職業災害實計保險給付─按行業分(續)  ˉ","","","",""," Table 6-12 Real Occupational Benefit Payments of Labor Insurance by Industry (Cont.)  ˉ","","","","",
"",""," 中華民國105年","","  單位：件、人、千元","","","","","   2016","",""," Unit：Case、Person、NT$1,000","","",""," 中華民國105年","","  單位：件、人、千元","","","","  2016","  Unit：Case、Person、NT$1,000","",
"","",""," 現金給付 (一次給付)　　　Cash benefits (Lump sum  ˉ","","","  benefit payments)","",""," 職業災害醫療給付","  Occupational accident medical care benefits","","","","","","  年　　　金　　　給　　　付","","","","",""," Pension benefit payments","","",
"  行   業    別"," 總　　　計","","","","",,,,,,,,,"  行   業    別","","  失　能　年　金　　Disability pension","","","","","  遺　屬　年　金　　　Survivor pension","","","",
"","","  傷　病　給　付","","  失　能　給　付","","  死亡給付","","  住院給付","","  門診給付","","  預防職業病健檢給付","",,,,,,,,,,,,
,,,,,,,,,,,,,,"","","","  核　付　金　額　　　Amount","","","","","  核　付　金　額　　　Amount","","",
,,,,,,,,,,,,,,""," 核付人數","","","",""," 核付人數","","","","",
""," Grand total","  Injury or sickness benefits",""," Permanent disability benefits","","  Death benefits","","  Inpatient hospitalization","","  Outpatient medical care","","  Prevent occupational","","","  (年底)"," 職業傷病失能","",""," 職業傷病失能"," (年底)  ˉ"," 職業災害死亡","",""," 職業災害死亡",
,,,,,,"","","  benefits","","  benefits","","  disease benefits","","",""," 補償一次金"," 小　　計"," 年　　金"," 補償一次金","",""," 小　　計"," 年　　金","",
,,,,,,,,,,,,,,,,,,,,""," 補償一次金","",""," 補償一次金",
""," Industry","","","","",,,,,,,,,""," Industry  Persons"," Occupational","",""," Occupational"," Persons","","","","",
"","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額",,,,,,,""," Occupational","",""," Occupational",
,,,,,,,,,,,,,,""," (End of year)  ˉ","  disability","  Total","  Pension","  disability"," (End of year)  ˉ"," death compensation"," Total"," Pension"," death compensation",
"","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","",""," compensation","",""," compensation",,,,,,
" 總計","6607180","48900","2274032","2662","770650","573","536059","30457","1323009","1281907","1225660","222451","227257"," 總計","344","60","81646","48584","33063","819","154","168866","123186","45679",
" Grand total","","","","","",,,,,,,,," Grand total","","","","","",,,,,,
" 農、林、漁、牧業","126139","452","29636","43","14167","36","38691","345","17854","23716","17074","59","96"," 農、林、漁、牧業","10","2","2084","1261","823","29","7","6538","4628","1910",
" Agriculture, forestry, fishing","","","","","",,,,,,,,," Agriculture, forestry, fishing","","","","","",,,,,,
" & animal husbandry","","","","","",,,,,,,,," & animal husbandry","","","","","",,,,,,
" 礦業及土石採取業","5802","16","1151","8","2353","2","310","17","1066","446","451","154","101"," 礦業及土石採取業","0","0","0","0","0","2","1","370","170","200",
" Mining & quarrying","","","","","",,,,,,,,," Mining & quarrying","","","","","",,,,,,
" 製造業","2229833","14749","651414","1220","320626","162","155550","9343","439916","415203","399510","185573","181921"," 製造業","94","13","20925","13682","7242","269","54","59970","43895","16075",
" Manufacturing","","","","","",,,,,,,,," Manufacturing","","","","","",,,,,,
" 電力及燃氣供應業","22349","34","2425","5","1601","1","220","77","9654","2433","2868","1039","1074"," 電力及燃氣供應業","2","1","1268","390","878","9","1","3240","2801","439",
" Electricity & gas supply","","","","","",,,,,,,,," Electricity & gas supply","","","","","",,,,,,
" 用水供應及污染整治業","46463","347","16082","15","4492","1","900","272","13218","6650","6764","1619","1628"," 用水供應及污染整治業","4","1","1541","663","878","10","0","1837","1837","0",
" Water supply & remediation activities","","","","","",,,,,,,,," Water supply & remediation activities","","","","","",,,,,,
" 營建工程業","1090269","8474","482952","406","128757","85","86437","4952","214774","127052","135388","3990","4018"," 營建工程業","67","9","15068","9989","5078","131","17","22876","18434","4442",
" Construction","","","","","",,,,,,,,," Construction","","","","","",,,,,,
" 批發及零售業","940698","8420","329440","358","101824","83","64889","5068","210197","203582","189772","12845","13991"," 批發及零售業","48","8","8969","5155","3814","115","22","21616","15413","6203",
" Wholesale & retail trade","","","","","",,,,,,,,," Wholesale & retail trade","","","","","",,,,,,
" 運輸及倉儲業","435263","2816","174897","119","37867","60","56761","1792","78705","59205","57248","2464","1934"," 運輸及倉儲業","19","3","5154","3692","1462","100","20","22697","15512","7185",
" Transportation & storage","","","","","",,,,,,,,," Transportation & storage","","","","","",,,,,,
" 住宿及餐飲業","299142","4181","133963","94","26158","17","10187","1609","61562","68768","62933","349","243"," 住宿及餐飲業","16","2","2415","1641","774","17","4","1681","933","747",
" Accommodation & food service","","","","","",,,,,,,,," Accommodation & food service","","","","","",,,,,,
" activities","","","","","",,,,,,,,," activities","","","","","",,,,,,
" 出版、影音製作、傳播及","59616","491","18258","13","3749","4","5097","392","12398","22404","18723","222","124"," 出版、影音製作、傳播及","2","1","843","177","666","4","1","424","287","137",
" 資通訊服務業","","","","","",,,,,,,,," 資通訊服務業","","","","","",,,,,,
" Information & communication","","","","","",,,,,,,,," Information & communication","","","","","",,,,,,
" 金融及保險業","94324","546","28929","19","6250","8","8348","559","19180","33196","28710","102","116"," 金融及保險業","4","0","755","755","0","9","2","2035","1258","778",
" Financial & insurance activities","","","","","",,,,,,,,," Financial & insurance activities","","","","","",,,,,,
" 不動產業","67404","562","24273","19","5580","9","8434","371","13465","14127","12617","68","45"," 不動產業","6","0","1214","1214","0","7","2","1776","1133","643",
" Real estate activities","","","","","",,,,,,,,," Real estate activities","","","","","",,,,,,
" 專業、科學及技術服務業","138401","956","40181","45","16159","14","13838","674","27854","35112","31907","1653","2120"," 專業、科學及技術服務業","7","2","2393","1115","1278","21","2","3951","3254","697",
" Professional, scientific & technical","","","","","",,,,,,,,," Professional, scientific & technical","","","","","",,,,,,
" activities","","","","","",,,,,,,,," activities","","","","","",,,,,,
" 支援服務業","300174","2313","101781","93","31294","49","40410","1530","69902","44911","45132","2323","2621"," 支援服務業","15","4","3151","1473","1678","33","9","5883","3764","2119",
" Support service activities","","","","","",,,,,,,,," Support service activities","","","","","",,,,,,
" 公共行政及國防；","81516","198","10997","33","13551","8","9642","479","18198","18847","18988","44","40"," 公共行政及國防；","13","4","4325","2051","2273","19","4","5777","4129","1648",
" 強制性社會安全","","","","","",,,,,,,,," 強制性社會安全","","","","","",,,,,,
" Public administration & defence;","","","","","",,,,,,,,," Public administration & defence;","","","","","",,,,,,
" Compulsory social security","","","","","",,,,,,,,," Compulsory social security","","","","","",,,,,,
" 教育業","85205","457","20561","20","5985","7","6050","550","23924","25708","24473","30","58"," 教育業","7","3","2853","1121","1732","9","2","1299","1043","256",
" Education","","","","","",,,,,,,,," Education","","","","","",,,,,,
" 醫療保健及社會工作服務業","206250","1299","56521","26","9183","11","14696","1037","33835","68774","70618","8602","15755"," 醫療保健及社會工作服務業","9","3","4211","1826","2386","11","1","1432","984","449",
" Human health & social work activities","","","","","",,,,,,,,," Human health & social work activities","","","","","",,,,,,
" 藝術、娛樂及休閒服務業","39951","416","17161","10","2546","3","2563","171","6538","11718","10283","134","94"," 藝術、娛樂及休閒服務業","0","0","0","0","0","4","1","766","384","382",
" Arts, entertainment & recreation","","","","","",,,,,,,,," Arts, entertainment & recreation","","","","","",,,,,,
" 其他服務業","315194","2173","133410","116","38506","13","13038","1219","48477","75329","71310","1181","1280"," 其他服務業","21","4","4476","2377","2099","20","4","4696","3326","1370",
" Other service activities","","","","","",,,,,,,,," Other service activities","","","","","",,,,,,
"  資料來源："," 勞動部勞工保險局。","","","",""," Source：  Bureau of Labor Insurance, MOL.","","","","","","","",,,,,,,,,,,,
"  說　　明："," 1.本表死亡給付含失蹤津貼。","","","",""," Note：  1.The data of death benefits include the missing allowance.","","","","","","","",,,,,,,,,,,,
""," 2.本表住院給付總計含2,295千元，門診給付總計含24,726件20,891千元，以上數字無細項分類數，故總計數","","","","","  2.The table includes inpatient hospitalization benefits amounts to NT$2,295 thousand and outpatient medical care benefits of","","","","","","","",,,,,,,,,,,,
"","    與細項加總不合。","","","","","      24,726 cases amount to NT$ 20,891 thousand that can't be classified.","","","","","","","",,,,,,,,,,,,
