" 表 6-15 勞工保險職業災害保險給付千人率 ","","","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance","","","","","","","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續1) ","","","","","","","","","   Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.1)","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續2) ","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.2)","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續3) ","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.3)","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續4完) ","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.4)","","","","","","","",
" ","","","","","","","  單位：千人率","","","","","","","","","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00",
" ","","","","  總　　　　　　計","","","","","","",""," 農、林、漁、牧業","","","","","","","","  礦業及土石採取業","","","",""," ","","","","  製　　造　　業","","","","","","  水 電 燃 氣 業","","","","  營　　造　　業","",""," ","","",""," 批 發 、零 售 及 餐 飲 業","","","","","","",""," 運輸、倉儲及通信業","","","",""," ","","",""," 金融、保險及不動產業","","","","","","","","  工  商  服  務  業","","","",""," ","","",""," 社會服務及個人服務業","","","","","","","","  公  共  行  政  業","","","","",
" 年　　　　別 ","","","","  Grand total","","","","","","  Agriculture, forestry, fishing & animal husbandry","","","","","","","","","","  Mining & quarrying","","","",""," 年　　　　別 ","","","","  Manufacturing","","","","",""," Electricity, gas & water","","","","  Construction","",""," 年　　　　別 ","","","  Trade & eating-drinking places","","","","","","","",""," Transport, storage & communication","","","",""," 年　　　　別 ","","","  Finance, insurance & real estate","","","","","","","","","  Business services","","","",""," 年　　　　別 ","","","  Social, personal & related community services","","","","","","","",""," Public administration","","","","",
" ",""," 計","  傷 病","","  失 能","","  死 亡","",""," 計",""," 傷 病",""," 失 能",""," 死 亡","","  計",""," 傷 病",""," 失 能",""," 死 亡"," ","  計","","  傷 病","","  失 能","","  死 亡",""," 計"," 傷 病"," 失 能"," 死 亡","  計"," 傷 病"," 失 能"," 死 亡"," ","  計","","  傷 病","","  失 能","","  死 亡","","  計","","  傷 病","","  失 能","","  死 亡",""," ","  計","","  傷 病","","  失 能","","  死 亡","","  計","","  傷 病","","  失 能","","  死 亡",""," ","  計","","  傷 病","","  失 能","","  死 亡","","  計","","  傷 病","","  失 能","","  死 亡","",
" Year ","","","","","","","","","  Total","","  Injury orsickness","","  Disability","",""," Death",""," Total",""," Injury orsickness","  Disability","",""," Death"," Year ","","","","","","","",""," Total"," Injury orsickness"," Disability"," Death"," Total"," Injury orsickness"," Disability"," Death"," Year ","","","","","","","","",,,,,,,,," Year ","","","","","","","","",,,,,,,,," Year ","","","","","","","","",,,,,,,,,
" ","  Total","","  Injury or sickness","","  Disability","","  Death","",,,,,,,,,,,,,,,,," ","  Total","","  Injury or sickness","","  Disability","","  Death","",,,,,,,,," ","  Total","","  Injury or sickness","","  Disability","","  Death","","  Total","","  Injury or sickness","","  Disability","","  Death",""," ","  Total","","  Injury or sickness","","  Disability","","  Death","","  Total","","  Injury or sickness","","  Disability","","  Death",""," ","  Total","","  Injury or sickness","","  Disability","","  Death","","  Total","","  Injury or sickness","","  Disability","","  Death","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ╰—————————————————————————————————————v ","","","","","","","",""," ———————————————————————————————————————————————————╯","","","","","","",""," ╰—————————————————————————————————————v ","","","","","","","",""," ———————————————————————————————————————————————————╯","","","","","","","",
"  81年  1992 ","","3.542","","2.823","","0.616","","0.103","","2.511","","1.278","","0.376","","0.857","","26.469","","22.93","","2.949","","0.59","  81年  1992 ","","5.461","","4.232","","1.163","","0.066","1.54","1.238","0.151","0.151","6.777","6.031","0.529","0.217","  81年  1992 ","","1.234","","0.974","","0.229","","0.031","","2.998","","2.627","","0.233","","0.138","  81年  1992 ","","0.386","","0.306","","0.044","","0.035","","0.545","","0.428","","0.083","","0.034","  81年  1992 ","","0.483","","0.359","","0.085","","0.039","","0.416","","0.139","","0.129","","0.149",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","0.581","","0.443","","0.082","","0.055",,,,,,,,,,"","0.36","","0.09","","0.17","","0.1",
"  82年  1993 ","","3.27","","2.604","","0.573","","0.093","","1.847","","0.967","","0.272","","0.609","","18.93","","15.99","","2.223","","0.717","  82年  1993 ","","5.181","","4.001","","1.109","","0.071","1.701","1.275","0.152","0.273","6.391","5.715","0.494","0.183","  82年  1993 ","","1.187","","0.92","","0.233","","0.034","","2.678","","2.278","","0.265","","0.135","  82年  1993 ","","0.377","","0.292","","0.049","","0.035",,,,,,,,,"  82年  1993 ","","0.434","","0.318","","0.08","","0.036",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","0.658","","0.554","","0.062","","0.042",,,,,,,,,,"","0.346","","0.099","","0.119","","0.129",
