"","  表 6-16 勞工保險職業病現金給付人次","","","","","","","","  Table 6-16  Occupational Disease Cash Benefits under Labor Insurance","","","","","","","","","","",
"","","","","","","","  單位：人次","","","","","","","","","","","   Unit：Person-case","",
"","",""," 101年    2012","",""," 102年","  2013","",,,,,,,,,,,,
""," 項　　目　　別","","","","","","","",,,,,,,,,,,,
"","","  傷病","  失能","  死亡","  傷病","  失能","","  死亡",,,,,,,,,,,,
""," Item"," Injury or"," Disability","  Death"," Injury or"," Disability",""," Death",,,,,,,,,,,,
"",""," sickness","",""," sickness","","","",,,,,,,,,,,,
" 總　　計"," Grand total","601","261  (94)  ˉ","46","551","220","  (76)","37","  103年","   2014","",""," 104年    2015","","",""," 105年"," 2016","",
" 眼睛疾病"," Eye diseases","1","0","0","1","0","0","0"," 傷病","  失能"," 死亡","  傷病","  失能","  死亡","  總計",""," 傷病","  失能","  死亡",
,,,,,,,,," Injury or  Disability",""," Death"," Injury or"," Disability"," Death","  Grand",""," Injury or"," Disability","  Death",
" 游離輻射"," Ionizing radiation","1","0","1","0","0","0","0"," sickness","",""," sickness","","","  total",""," sickness","","",
" 異常氣壓"," Extreme air-pressure","0","0","0","0","0","0","0","524","206  (74)","27","695","229 (111)  ˉ","51","706"," (622)  ˉ","544","141  (57)  ˉ","21",
" 異常溫度"," Extreme temperature","2","1   (1)  ˉ","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0",
" 噪音引起之聽力損失"," Hearing loss caused by noise","0","1   (1)  ˉ","0","0","1","   (1)","0","0","0","0","0","0","0","0","0","0","0","0",
" 職業性下背痛"," Occupational low back pain","126","18  (17)  ˉ","0","109","13","  (12)","0","0","0","0","1","0","1","0","0","0","0","0",
,,,,,,,,,"1","0","2","2","0","2","1","   (1)  ˉ","1","0","0",
" 振動引起之疾病"," Diseases caused by vibration","0","0","0","1","0","0","0",,,,,,,,,,,,
" 手臂頸肩疾病"," Arm, neck and shoulder","383","10   (9)  ˉ","0","369","12","  (12)","0","0","1   (1)","0","1","1   (1)  ˉ","0","1","0","0","0","0",
""," diseases","","","","","","","",,,,,,,,,,,,
" 缺氧症"," Hypoxia","0","0","0","0","0","0","0","106","15  (15)","0","138","23  (20)  ˉ","0","119"," (119)  ˉ","111","8   (8)  ˉ","0",
" 鉛及其化合物"," Lead and its compounds","0","0","0","0","0","0","0","0","0","0","1","1   (1)  ˉ","0","2","   (2)  ˉ","2","0","0",
" 其他重金屬及其化合物"," Other heavy metal and its","0","0","0","0","0","0","0","348","4   (4)","0","386","7   (7)  ˉ","0","345"," (345)  ˉ","344","1   (1)  ˉ","0",
""," compounds","","","","","","","",,,,,,,,,,,,
" 有機溶劑或化學物質氣體"," Organic solvents or chemical","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
""," air","","","","","","","",,,,,,,,,,,,
" 生物性危害"," Biological hazards","21","1   (1)  ˉ","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 職業性氣喘、過敏性肺炎"," Occupational asthma, allergic","3","0","0","1","1","   (1)","0","0","0","0","0","0","0","1","   (1)  ˉ","1","0","0",
