" 表 7-1 就業保險投保單位數及人數－按行業分 ","","","","","","","","","","  Table 7-1 Number of Insured Units and Persons under Employment Insurance","","","","","","","","","",""," 表 7-1 就業保險投保單位數及人數－按行業分(續1) ","","","","","","","","  Table 7-1 Number of Insured Units and Persons under Employment Insurance","","","","","","","","","",""," 表 7-1 就業保險投保單位數及人數－按行業分(續2完) ","","","","","","","","","","  Table 7-1 Number of Insured Units and Persons under Employment Insurance","","","","","","","","","","",
,,,,,,,,,"","","","","","  by Industry","","","","","","",,,,,,,,"","","","","","  by Industry (Cont.1)","","","","","","",,,,,,,,,,"","","","","","  by Industry (Cont.2)","","","","","","",
" ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person",""," ","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person",""," ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person","",
" ","","","  總　　　計","","","  農、林、漁、牧業","","","","  礦業及土石採取業","","","","  製   造   業","","","","","  水 電 燃 氣 業",""," ","  營　造　業","","  批發及零售業","","  住宿及餐飲業","","","  運輸、倉儲及通信業","","","","  金融及保險業","","","","","  不動產及租賃業",""," ","  專業、科學及技術服務業","","","  教育服務業","","","  醫療保健及社會福利服務業","","","  文化、運動及休閒服務業","","","","  其　他　服　務　業","","","","","  公　共　行　政　業","",
" 年　底　別 ","","","","","","  Agriculture, forestry,","","",,,,,,,,,,,,," 年　底　別 ","","","","","  Accommodation &","","","  Transportation, storage &","","","","","","","","","",""," 年　底　別 ","  Professional, scientific &","","","","","","  Health care & social","","","  Cultural, sporting &","","","","","","","","","","",
" ","","","  Grand total","","","  fishing & animal husbandry","","","","  Mining & quarrying","","","","  Manufacturing","","","","","  Electricity, gas & water",""," ","  Construction","","  Trade","","  eating-drinking places","","","  communications","","","","  Finance & insurance","","","","  Real estate & rental & leasing","",""," ","","  technical services","","  Educational services","","","  welfare services","","","  recreational services","","","","  Other services","","","","","  Public administration","",
" End of year ",""," 單 位 數",""," 人  數",""," 單 位 數","","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數"," End of year ","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數"," End of year ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數",
" ","","  Units",""," Persons","","  Units",""," Persons","","  Units","","  Persons","","  Units","","  Persons","",""," Units","  Persons"," ","  Units","  Persons","  Units","  Persons","  Units","  Persons","","  Units","","  Persons","","  Units","","  Persons","",""," Units","  Persons"," ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","","  Units","","  Persons","","  Units","","  Persons","",""," Units","  Persons",
"  92年底  End of 2003 ","","379112","","5024816","","1412","","10601","","501","","4331","","98343","","1933378","","241","","26724","  92年底  End of 2003 ","31508","212621","143844","1108895","6627","113163","","10175","","221853","","4946","","310112","","6674","","57597","  92年底  End of 2003 ","24085","","257510","9647","107900","","15234","224332","","4693","","92811","","18395","","223086","","2787","","119902",
"  93年底  End of 2004 ","","394009","","5242310","","1384","","10293","","467","","4334","","98416","","1983722","","239","","26168","  93年底  End of 2004 ","32338","221936","150546","1177680","7355","123979","","10378","","228548","","5400","","318776","","7604","","64930","  93年底  End of 2004 ","25829","","278618","10221","112643","","16506","239139","","4839","","92818","","19712","","240235","","2775","","118491",
"  94年底  End of 2005 ","","418635","","5369278","","1308","","9675","","448","","4036","","98322","","1953640","","240","","26280","  94年底  End of 2005 ","34552","228499","161946","1229128","8740","144992","","10699","","235822","","5552","","328168","","8841","","71697","  94年底  End of 2005 ","28059","","296082","11537","120566","","19221","257260","","4942","","91421","","21461","","254399","","2767","","117613",
"  95年底  End of 2006 ","","427648","","5447373","","1224","","9557","","437","","3897","","97891","","1978124","","241","","26747","  95年底  End of 2006 ","36253","237869","165100","1237471","9465","155689","","10826","","236626","","5491","","322193","","9783","","75883","  95年底  End of 2006 ","28721","","297463","12247","129862","","20039","267327","","4924","","89677","","22232","","262900","","2774","","116088",
"  96年底  End of 2007 ","","429970","","5507865","","1211","","9459","","431","","3740","","96711","","1990879","","245","","26696","  96年底  End of 2007 ","36573","239494","165200","1241352","9862","160860","","10816","","236230","","5645","","326379","","10260","","79082","  96年底  End of 2007 ","29346","","306833","12520","135517","","20706","278738","","4865","","85684","","22807","","270230","","2772","","116692",
"  97年底  End of 2008 ","","429428","","5420549","","1170","","9549","","422","","3517","","94488","","1897936","","243","","26656","  97年底  End of 2008 ","36251","237766","164759","1230103","10323","167055","","10734","","229825","","5678","","318281","","10269","","76332","  97年底  End of 2008 ","29871","","309678","12818","145234","","21454","292576","","4873","","81390","","23292","","267009","","2783","","127642",
