" 表 7-2 就業保險投保單位數及人數－按類別分 ","","","","","","","  Table 7-2 Number of Insured Units and Persons under Employment Insurance","","","","","","","",
,,,,,,,"","","  by Various Insured Laborer","","","","","",
" ","","","","","","  單位：家、人","","","","","","","  Unit：Establishment、Person","",
" ","  總　　　　計","","  產業勞工及交通","","  公司、行號之員工","","  新聞、文化、公益","","  政府機關及公、","","  受僱從事漁業生產之勞動者","","  其他各業員工","",
" 年月底別 ","","","  公用事業之員工","","","","  及合作事業之員工","","  私立學校之員工","","","","","",
,,,,,,,"  Employees in journalistic,","","","","","","","",
" ","","","","","  Workers of commercial","","","","  Employees in government","","  Workers employed in","","","",
,,,,,,,"  cultural, nonprofit organizations","","","","","","","",
" ","  Grand total","","  Industrial workers","","  firms and shops","","  or cooperative enterprises","","  agencies and schools","","  fishing production","","  Others","",
" End of year and month ","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數",
" ","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons",
"  92年底  End of 2003 ","379112","5024816","109782","2147508","224094","2208750","8400","192184","8518","265138","703","2831","27615","208405",
"  93年底  End of 2004 ","394009","5242310","109743","2200122","236766","2351449","8935","200991","8473","268318","687","2528","29405","218902",
"  94年底  End of 2005 ","418635","5369278","113644","2188485","252620","2452845","9490","209851","8435","279647","622","2083","33824","236367",
"  95年底  End of 2006 ","427648","5447373","118116","2243843","255165","2453389","9725","214606","8438","288248","521","1697","35683","245590",
"  96年底  End of 2007 ","429970","5507865","119670","2264871","254695","2478105","9853","215662","8439","295868","493","1524","36820","251835",
"  97年底  End of 2008 ","429428","5420549","119313","2180222","253225","2439877","10036","220519","8462","320219","437","1342","37955","258370",
"  98年底  End of 2009 ","436372","5584169","119813","2203030","257107","2512314","10401","234401","8484","356613","430","1272","40137","276539",
"  99年底  End of 2010 ","447838","5880500","123110","2354686","263356","2648781","10665","240814","8405","346923","413","1203","41889","288093",
" 100年底  End of 2011 ","460045","6118570","127544","2426588","269373","2781463","10867","249713","8473","356474","396","1152","43392","303180",
" 101年底  End of 2012 ","464610","6224341","129462","2451639","271252","2834734","10997","256925","8453","369991","382","1077","44064","309975",
" 102年底  End of 2013 ","471214","6310245","132356","2498151","273655","2858982","11271","261564","8379","372869","345","921","45208","317758",
" 103年底  End of 2014 ","480444","6437767","135677","2549151","278045","2915388","11528","267926","8325","377751","308","804","46561","326747",
" 104年底  End of 2015 ","490238","6565561","139341","2577400","282313","2973855","11770","276295","8423","399052","302","793","48089","338166",
"  1月底  End of Jan. ","481138","6472274","135916","2571488","278157","2954913","11577","270524","8346","345050","305","800","46837","329499",
"  2月底  End of Feb. ","482152","6432630","136209","2545964","278668","2917187","11635","269247","8350","371538","299","793","46991","327901",
"  3月底  End of Mar. ","482774","6442929","136637","2546685","278757","2911312","11647","269665","8347","386080","299","789","47087","328398",
"  4月底  End of Apr. ","484133","6465891","137189","2553320","279474","2922899","11657","270134","8350","389696","305","801","47158","329041",
"  5月底  End of May ","485747","6468737","137657","2551268","280217","2926364","11676","270415","8354","389473","310","820","47533","330397",
