" 表 7-3 就業保險應計保險費與實計保險給付 ","","","","","","  Table 7-3 Premium Receivable and Real Benefit Payments under Employment Insurance","","","","","","","",
" ","","","",""," 單位：件、千元","","","","","","","  Unit：Case、NT$1,000","",
" ","","","","  實　　　　　　計","","  保　 　　　　險 　　　　　給 　　　　　付","","","","","","","",
" ","","","","","  Real","  insurance benefit payments","","","","","","","",
" 年　月　別 應 計 保 險 費 ","","","","","",,,,,,,,,
" ","","  總　　計","","  失  業  給  付","","  提早就業獎助津貼","","  職業訓練生活津貼","","  育嬰留職停薪津貼","","  全民健保保險費補助","",
,,,,,,"  Early reemployment","","  Vocational training","","  Parental leave","","  National health insurance","",
" ","","  Grand total","","  Unemployment benefits","",,,,,,,,,
" ","  Prmium","","","","","  incentives","","  living allowance","","  allowance","","  premium support","",
" Year and month ","  receivable","","","","",,,,,,,,,
" ","","  件　數","  金　　額","  件　數"," 金　　額","  件　　數","  金　　額","  件　　數","  金　　額","  件　　數","  金　　額","  件　　數","  金　　額",
" ","","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount",
"  92年  2003 ","16260940","558987","5972625","325340","5458734","5793","195215","12768","203770","0","0","215086","114906",
"  93年  2004 ","17082766","474039","4457978","212097","3680158","12496","447001","12340","202697","0","0","237106","128122",
"  94年  2005 ","17814770","538623","5423489","250600","4406324","17200","656360","13050","219324","0","0","257773","141481",
"  95年  2006 ","18658809","612639","6151731","276811","4957930","20934","808234","12207","213638","0","0","302687","171928",
"  96年  2007 ","19281118","800474","6837552","298859","5353019","25137","953158","14792","261427","0","0","461686","269947",
"  97年  2008 ","19679573","947846","8243843","370190","6645871","26912","1015568","14673","255053","0","0","536071","327351",
"  98年  2009 ","19466889","2724682","26005177","1119303","20824877","50938","1790409","42619","827170","109861","1720272","1401961","842450",
"  99年  2010 ","20475636","2035243","15896752","494843","9910795","36181","1378625","31455","650982","190281","3128374","1282483","827976",
" 100年  2011 ","21637953","1065604","11368567","286526","5909851","25727","1096930","20182","419823","209532","3570769","523637","371193",
" 101年  2012 ","22615075","1117499","13508990","304638","6491665","29208","1322497","19820","418923","288364","4937642","475469","338264",
" 102年  2013 ","23209155","1265885","15460977","330467","7213048","32122","1445844","24114","518963","338466","5898433","540716","384688",
" 103年  2014 ","23945253","1175775","14934680","285469","6354789","28399","1319011","24113","528143","356731","6388104","481063","344634",
" 104年  2015 ","24746440","1287449","17319390","296620","6643140","28757","1384148","23279","514093","461900","8435577","476893","342432",
" 　　  1月 　　 Jan. ","2035282","57536","1203068","23896","540076","1992","95270","812","18331","30873","549421","-37","-29",
" 　　  2月 　　 Feb. ","2033734","44473","910468","16983","378998","1430","67284","984","22578","25108","441627","-32","-18",
" 　　  3月 　　 Mar. ","2039298","72047","1521154","32819","734973","2444","118984","1944","45394","35040","621937","-200","-134",
" 　　  4月 　　 Apr. ","2040544","173142","1372456","24674","552143","2079","101670","1628","37969","33489","600494","111272","80181",
" 　　  5月 　　 May ","2043648","133424","1910067","22623","505884","2152","109580","2113","47511","66989","1218625","39547","28467",
" 　　  6月 　　 June ","2047340","107365","1394860","22479","501927","2413","118925","2489","55526","37214","688091","42770","30391",
