"","  表 7-5 就業保險實計保險給付─按給付種類及地區分","","","",""," Table 7-5 Real Benefit Payments under Employment Insurance by Type of Benefit and Area","","","","","","","",
"","","  中華民國105年","",""," 單位：件、千元","","","","   2016","","","  Unit：Case、NT$1,000","",
"","","  總　計","","  失　業　給　付","","  提早就業獎助津貼","","  職業訓練生活津貼","","  育嬰留職停薪津貼","","  全民健保保險費補助","",
"  地     區     別","","","","","",,,,,,,,,
,,,,,,"  Early reemployment","","  Vocational training","","  Parental leave","","  National health insurance","",
"","","  Grand total","","  Unemployment benefits","","  incentives","","  living allowance","","  allowance","","  premium support","",
""," Area"," 件　　數"," 金　　額"," 件　　數"," 金　　額","  件　　數","  金　　額","  件　　數","  金　　額","  件　　數","  金　　額","  件　　數","  金　　額",
"","","  Cases","  Amount","  Cases"," Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount",
" 總　　　　計"," Grand total","1357027","18270985","324946","7335278","30791","1478182","21917","481880","461808","8607505","517565","368140",
" 　新　北　市"," New Taipei City","229296","2944577","59623","1343775","5360","264047","3745","84569","64587","1184193","95981","67993",
" 　臺　北　市"," Taipei City","391606","5665822","104082","2501132","9106","450881","6092","141818","116018","2454223","156308","117768",
" 　桃　園　市"," Taoyuan City","135245","1860312","29746","697824","3709","181755","2404","55451","47261","889217","52125","36065",
" 　臺　中　市"," Taichung City","144763","1911640","27527","582497","2960","136033","2585","53046","66112","1108915","45579","31150",
" 　臺　南　市"," Tainan City","88047","1120241","21301","437190","2157","96005","1401","27769","31018","538393","32170","20885",
" 　高　雄　市"," Kaohsiung City","115091","1411028","28363","566843","2323","100412","1897","37199","39302","677406","43206","29169",
" 　宜　蘭　縣"," Yilan County","10460","135284","2227","45993","183","8347","261","5261","4094","73220","3695","2464",
" 　新　竹　縣"," Hsinchu County","53545","729476","12396","300019","1268","64279","783","19247","16420","329352","22678","16578",
" 　苗　栗　縣"," Miaoli County","20792","270387","4887","108682","488","22436","393","8962","6849","124648","8175","5658",
" 　彰　化　縣"," Changhwa County","40682","506700","6490","124110","616","27341","520","10221","22234","338023","10822","7005",
" 　南　投　縣"," Nantou County","9099","114954","1665","34927","161","7371","129","2536","4176","68145","2968","1974",
" 　雲　林　縣"," Yunlin County","13622","168351","2807","54776","266","11776","167","3138","5544","95528","4838","3134",
" 　嘉　義　縣"," Chiayi County","8413","108193","1707","33553","161","7467","141","2540","3775","62992","2629","1640",
" 　屏　東　縣"," Pingtung County","16849","186139","4102","74635","252","10407","252","4296","5597","92343","6646","4458",
" 　臺　東　縣"," Taitung County","3085","42606","692","13264","59","2406","32","545","1551","25883","751","508",
" 　花　蓮　縣"," Hwalien County","6411","93243","1269","25619","124","5823","114","1983","3228","58634","1676","1183",
" 　澎　湖　縣"," Penghu County","986","13189","246","4700","20","1057","6","129","403","7122","311","182",
" 　基　隆　市"," Keelung City","8305","101451","2202","46140","195","9168","131","2855","2157","40589","3620","2699",
" 　新　竹　市"," Hsinchu City","52473","775507","12098","309740","1219","63900","742","17869","17476","368006","20938","15991",
" 　嘉　義　市"," Chiayi City","7126","94386","1305","24724","136","5895","105","2036","3413","60314","2167","1418",
" 　金　門　縣"," Kinmen County","961","14655","155","3627","23","1100","17","411","543","9352","223","165",
" 　連　江　縣"," Lienchiang County","170","2844","56","1507","5","278","0","0","50","1005","59","54",
"  資料來源："," 勞動部勞工保險局。","","","","","  Source： Bureau of Labor Insurance, MOL.","","","","","","","",
"","","","  -220-","","","","","","   -221-","","","","",
