"","  表 7-6 就業保險失業給付初次核付件數─按地區分","","",""," ","  Table 7-6 Cases of First Confirm Unemployment Beneficiary","","","",
,,,,," ",""," under Employment Insurance by Area","","",
"","","","","  單位：件"," ","","","","  Unit：Case",
"  地      區      別",""," 99年"," 100年"," 101年"," 102年 ",""," 103年"," 104年"," 105年",
""," Area"," 2010"," 2011"," 2012"," 2013 ",""," 2014"," 2015"," 2016",
" 總　　　　計"," Grand total","84016","64037","75821"," ","74021","65319","72623","74715",
" 　新　北　市"," New Taipei City","14850","12932","15204"," ","14581","12551","13089","13333",
" 　臺　北　市"," Taipei City","25709","19337","22891"," ","23026","19734","20938","24358",
" 　桃　園　市"," Taoyuan City","7536","5724","7418"," ","6379","5440","7117","7227",
" 　臺　中　市"," Taichung City","7961","5705","6596"," ","6199","6305","8710","6738",
" 　臺　南　市"," Tainan City","6064","3263","4099"," ","5472","3712","4118","5196",
" 　高　雄　市"," Kaohsiung City","7640","5479","6182"," ","5873","5605","5578","6162",
" 　宜　蘭　縣"," Yilan County","781","627","626"," ","578","523","475","548",
" 　新　竹　縣"," Hsinchu County","1693","2381","2036"," ","2793","2369","3047","2566",
" 　苗　栗　縣"," Miaoli County","1398","724","1296"," ","994","939","838","1042",
" 　彰　化　縣"," Changhwa County","2260","1657","1871"," ","1757","1785","1571","1370",
" 　南　投　縣"," Nantou County","699","750","402"," ","426","404","422","320",
" 　雲　林　縣"," Yunlin County","979","577","631"," ","601","723","863","668",
" 　嘉　義　縣"," Chiayi County","571","439","492"," ","415","364","399","412",
" 　屏　東　縣"," Pingtung County","1181","708","715"," ","805","956","1113","840",
" 　臺　東　縣"," Taitung County","363","220","199"," ","205","186","213","186",
" 　花　蓮　縣"," Hwalien County","539","419","373"," ","351","301","332","402",
" 　澎　湖　縣"," Penghu County","129","112","97"," ","67","117","122","43",
" 　基　隆　市"," Keelung City","602","377","366"," ","454","406","633","439",
" 　新　竹　市"," Hsinchu City","2440","2195","3938"," ","2604","2370","2642","2522",
" 　嘉　義　市"," Chiayi City","524","350","320"," ","377","476","333","283",
" 　金　門　縣"," Kinmen County","74","48","55"," ","53","37","47","45",
" 　連　江　縣"," Lienchiang County","23","13","14"," ","11","16","23","15",
" 資料來源： 勞動部勞工保險局。","","","",""," Source： Bureau of Labor Insurance, MOL. ","","","","",
"","","   -222-","",""," ","","   -223-","","",
