" 表 8-1 職業災害勞工保護補助概況 ","","","","","","","","  Table 8-1 General Condition of Occupational Accident Labor Protection","","","","","","","",""," 表 8-1 職業災害勞工保護補助概況(續1) ","","","","","","","  Table 8-1 General Condition of Occupational Accident Labor Protection(Cont.1)","","","","","","","","",""," 表 8-1 職業災害勞工保護補助概況(續2完) ","","","","","","","  Table 8-1 General Condition of Occupational Accident Labor Protection(Cont.2)","","","","","","","",
" ","","","","",""," 單位：件、千元","","","","","","","",""," Unit：Case、NT$1,000",""," ","","","","",""," 單位：件、千元","","","","","","","",""," Unit：Case、NT$1,000",""," ","","","","",""," 單位：件、千元","","","","","","","  Unit：Case、NT$1,000","",
,,,,,,,"","","","  已加勞保者職業災害勞工補助","","","","","",""," "," 已加勞保者職業災害勞工補助 Occupational accident","","","","","","","","","  未加勞保者職業災害勞工補助","","","","","",""," ","",""," 未加勞保者職業災害勞工補助","","","","  職業災害預防及職業","","","","","","","",
,,,,,,,"","  Occupational accident labor protection subsidies (laborers participating labor insurance)","","","","","","","",""," labor protection subsidies (laborers participating labor insurance) ","","","","","","","","  Occupational accident labor protection subsidies (laborers not participating labor insurance)","","","","","","","",""," Occupational accident labor protection subsidies (laborers not participating labor insurance) ","","","","","","","  災害勞工重建補助","","  職業災害預防補助",""," 職業災害勞工職業重建補助",""," 事業單位僱用職業災害","",
" 年　　別 ","  總　　計","","","","","",,,,,,,,,,," 年　　別 ","","","","","","",,,,,,,,,,," 年　　別 ","","","","","","",,,,,,,,,
,,,,,,,"","","","","","","  退保後職業疾病","","","",,,,,,,,,,,,,,,,,,,,,,,,,"  (93年及以前計畫案)","","  (94年及以後計畫案)","","  (94年及以後計畫案)",""," 勞工提供輔助設施補助","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Subsidies for the prevention","","","","","","","",
" ","","","  小　　計","","  職業疾病生活津貼","","  身體障害生活津貼","","  職業訓練生活津貼","","  看護補助","","  生活津貼","","  續保保費補助",""," ","  器具補助","","  勞工死亡家屬補助","","  小　　計","","  職業疾病生活津貼","","  身體障害生活津貼","","  職業訓練生活津貼","","  看護補助","","  器具補助",""," ","  勞工死亡家屬補助","","  殘廢補助","","  死亡補助","",,,,,,,,,
,,,,,,,"","","","","","","  Living allowance for","","","",,,,,,,,,,,,,,,,,,,,,,,,," of occupational accidents and","","  Subsidies for the",""," Subsidies for the rehabilitation","","","",
,,,,,,,"","","","","","","  occupational diseases","","","",,,,,,,,,,,,,,,,,,,,,,,,," the rehabilitation of workers","","","","","","","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ","",""," Disability subsidies for","","  Survival subsidies for",""," suffering from occupational",""," prevention of occupational","","  of workers suffering from","","  Subsidies for assisting","",
" ","  Total","","  Subtotal","","  Living allowance for","","  Living allowancefor disability (2)","","  vocational training (3) Living allowance for","","  Subsidies forcaretaking (4)","","  withdrawing from Labor for those workers","","  occupational accidentPremium subsidies for",""," "," Subsidies for assisting","","  Subsidies for the","","  Subtotal","","  Living allowance for","","  Living allowance","","  Living allowance for","","  Subsidies for","","  Subsidies for assisting",""," ","  Subsidies for the",""," workers not compensated",""," workers not compensated","","","","  accidents (Project",""," occupational accidents (Project","","  facilities (14)","",
