" ","  表 9-1 職業安全衛生教育訓練","","","","","",""," Table 9-1 Occupational Safety and Health Education and Training","","","","","",""," "," 表 9-1 職業安全衛生教育訓練(續)","","","","","","  Table 9-1 Occupational Safety and Health Education and Training(Cont.)","","","","","","","",
" ","","","","",""," 單位：班、人","","","","","","","  Unit : Class 、Person",""," ","","","","",""," 單位：班、人","","","","","","","  Unit : Class 、Person","",
" ","  總　　　計","","  職業安全衛生管理人員",""," 職業安全衛生業務主管","","  高壓氣體作業主管","","  具有危險性機械操作","","  具有危險性設備操作","","  營造作業主管",""," ","  有害作業主管","","  特殊作業人員安全","","  急救人員安全","","  勞工作業環境監測人員","","  施工及製程安全評估",""," 營造業職業安全衛生業務","","  勞工健康服務護理人員","",
" ","","","  之安全衛生教育訓練","","  之安全衛生教育訓練","","  安全衛生教育訓練",""," 人員安全衛生教育訓練","","  人員安全衛生教育訓練","","  安全衛生教育訓練",""," ","  安全衛生教育訓練","","  衛生教育訓練","","  衛生教育訓練","","  安全衛生教育訓練",""," 人員安全衛生教育訓練","","  主管安全衛生教育訓練","","  安全衛生教育訓練","",
" 年            別 ","","","","","","",,,,,,,,," 年            別 ","","","","","","",,,,,,,,,
" ","",""," Safety and health education and",""," Safety and health education","","  Safety and health education","","","","","","","",,,,,,,,"",""," Safety and health ducation",""," Safety and health education and","","","",
" ","",""," trainings specified for the ma-",""," and trainings specified for","","  and trainings specified for",""," Safety and health education and",""," Safety and health education and",""," Safety and health education and",""," Safety and health education and ","",""," Safety and health education",""," Safety and health education","","  Safety and health education","","  and trainings specified",""," trainings specified for supervisors",""," Safety and health education and","",
,,,,,,,"",""," trainings specified for operators",""," trainings specified for operators",""," trainings specified for upervisors",""," trainings specified for supervisors ","","","  and trainings specified for",""," and trainings specified for",""," and trainings specified for the","","","","","","  trainings specified for occupa-","",
" ","  Grand Total",""," nagement personnel in charge of","","  supervisors in charge of","","  supervisors in charge of high-","","","","","","","",,,,,,,,"","","  for the construction and",""," in charge of occupational safety","","","",
" ","",""," occupational safety and health",""," occupational safety and health","","  pressure gas operations","","  of dangerous machinery","","  of dangerous equipment",""," in charge of construction works",""," in charge of harmful operations ","",""," specified operation personnel","","  first aid personnel",""," workplace monitoring personnel","","  process safety assessor",""," and health in construction industry","","  tional health service nurse","",
,,,,,,,,,,,,,,," Year ","","","","","","",,,,,,,,,
