" 表 9-2 從事特別危害健康作業勞工之特殊健康檢查概況 ","","","",""," Table 9-2 General Condition of Special Health Examinations for Workers Involved","","","","",
,,,,,""," in Tasks with Special Health Hazards","","","",
" 辦理健康檢查 ",""," 從事特別危","","","",""," 健　康　檢　查　結　果　　　After health exam.","","",
" ","",""," 接受特殊健康"," 特殊健康檢查人"," 接受健康","","","","",
" 年               別 事業單位數 ",""," 害健康作業"," 檢查人數"," 數中需實施健康"," 追蹤檢查人數","","","","",
" (家次) ",""," 勞工人數","","",,,,,,
" ","","",""," 追蹤檢查人數",""," 屬第一級管理人數"," 屬第二級管理人數"," 屬第三級管理人數"," 屬第四級管理人數",
" Number of ",""," Workers involved"," Workers","",,,,,,
" enterprises ","","",""," Workers"," Workers","","","","",
" Year conducting ",""," in tasks with"," receiving"," need health"," receiving"," Workers subject"," Workers subject"," Workers subject"," Workers subject",
" ",""," special health"," special health",""," health re-check"," to grade 1"," to grade 2"," to grade 3"," to grade 4",
" health exam. ",""," hazards"," examinations"," re-check",,,,,,
" (Firm-case) ","","","","",""," control"," control"," control"," control",
"  80年  1991 ","1233","39707","28412","1974","1354","26493","1866","52","1",
"  81年  1992 ","1312","37834","25966","2765","2084","23324","2589","53","0",
"  82年  1993 ","1172","29359","24385","2279","1792","22637","1702","46","0",
"  83年  1994 ","1202","37288","31673","2618","1461","29121","2537","15","0",
"  84年  1995 ","1140","33050","27738","2335","1622","25344","2387","6","1",
"  85年  1996 ","1139","31300","24565","1587","916","22361","1460","6","0",
"  86年  1997 ","1366","50943","45242","2460","2203","43743","3121","21","0",
"  87年  1998 ","1457","50555","44000","3086",,,,,,
,,,,,"1809","40716","3189","32","0",
"  88年  1999 ","1721","60095","50201","4559","2660","45660","4372","64","0",
"  89年  2000 ","1460","56634","50632","4166","2809","46652","4040","43","0",
"  90年  2001 ","1599","75158","68434","3959","3045","64515","4071","123","0",
"  91年  2002 ","1955","103098","109196","5366","4567","90420","5550","20","0",
"  92年  2003 ","1725","73909","110581","3097","2808","67748","3223","88","0",
"  93年  2004 ","2064","70553","120536","3931","3084","64025","4128","41","0",
"  94年  2005 ","1702","51723","60518","3419","2207","45194","3086","122","0",
"  95年  2006 ","2006","79213","85983","10174",,,,,,
,,,,,"4892","63556","7914","523","0",
"  96年  2007 ","2080","88224","82209","7586","5297","73437","8440","975","17",
"  97年  2008 ","4251","133533","125800","15275",,,,,,
,,,,,"8729","105703","13156","785","7",
"  98年  2009 ","6418","123336","109482","17397","9130","93770","13807","1622","0",
"  99年  2010 ","3706","185491","177170","16535","9206","148145","27171","1901","11",
" 100年  2011 ","3723","162431","143944","15158","7271","118432","22748","1305","152",
" 101年  2012 ","5649","172640","168701","13693","9424","138882","29291","2498","395",
" 102年  2013 ","6833","279843","275033","9043","7359","206028","60698","6512","1206",
" 103年  2014 ","5823","230269","228290","7772",,,,,,
,,,,,"3950","164695","50849","5550","1462",
" 104年  2015 ","6784","276120","272993","15384","7219","187382","67223","7410","2100",
" 105年  2016 ","7019","255755","253250","12093","7261","167458","67437","5892","2381",
" 資料來源： 勞動部職業安全衛生署、勞動部授權之直轄市勞動檢查機構、經濟部加工出口區管理處、科技部所屬科學 ","","","",""," Source： Occupational Safety and Health Administration, MOL , the labor inspection agency which are established by municipal","","","","",
" 工業園區管理局。 ","","","",""," government, Export Processing Zone Administration, MOEA and Science Park Administration, MOST.","","","","",
" ","","  -234-","","","","","  -235-","","",
