" 表 9-3 從事特別危害健康作業勞工之接受特殊健康檢查人數－按作業種類分 ","","","","","","","  Table 9-3 Receiving Special Health Examinations for Workers Involved in Tasks","","","","","","",""," 表 9-3 從事特別危害健康作業勞工之接受特殊健康檢查人數－按作業種類分(續) ","","","","","","","  Table 9-3 Receiving Special Health Examinations for Workers Involved in Tasks","","","","","","","",
,,,,,,,"  with Special Health Hazards by Controlled Specially Hazardous Work","","","","","","","",,,,,,,,"  with Special Health Hazards by Controlled Specially Hazardous Work(Cont.)","","","","","","","",
" ","","","","",""," 單位：人次","","","","","","","  Unit：Person-case",""," ","","","","",""," 單位：人次","","","","","","","  Unit：Person-case","",
" ","",""," 噪音在","","","","","","",""," 三氯乙烯","",""," 聯苯胺及其"," ","","",""," 二異氰酸甲","","","","",""," 鉻酸及其鹽類","","",""," 乙基汞化合物",
" ","","",""," 游離輻射"," 異常氣壓",""," 四烷基鉛"," 四氯乙烷"," 四氯化碳"," 二硫化碳",""," 二甲基甲","",""," 鈹及其 ","","","","",""," 砷及其"," 錳及其","","",""," 鎘及其",""," 鎳及其","",
" 年               別 "," 總計"," 高溫作業"," 85分貝以"," 作業"," 作業"," 鉛作業"," 作業"," 作業"," 作業"," 作業"," 、四氯乙"," 醯胺作業"," 正己烷作業"," 鹽類等六種"," 年               別 化合物作業 ","  氯乙烯作業",""," 苯作業"," 苯等三種化"," 石綿作業"," 化合物作業"," 化合物作業"," 黃磷作業"," 巴拉刈作業"," 作業、重鉻酸"," 化合物作業"," 粉塵作業"," 化合物作業"," 、汞及其無機",
" ","",""," 上之作業","","","","","","",""," 烯作業","",""," 化學物質作業"," ","","",""," 學物質作業","","","","",""," 及其鹽類作業","","",""," 化合物作業",
" ","","  High"," Noise"," Ionizing"," Abnormal",""," Tetraethyl  Tetrachloro-",""," Carbon"," Carbon"," Trichloroethy-"," Dimethyl",""," Benzidine"," Beryllium & ",""," Vinyl",""," Toluene",""," Arsenic and"," Manganium"," Yellow",""," Chromic acid"," Cadmium and",""," Nickel and"," Ethyl mercury",
" "," Grand",""," Exceeding",""," atmospheric","  Lead","","","",""," lene & tetra-","","",""," ","",""," Benzene"," diisocyanate"," Asbestos",""," and its",""," Paraquat","",""," Dusty",""," compounds and",
" Year ","  total"," temperature"," 85 Deci-Bel"," rediation"," pressure","  work"," lead"," ethane"," tetrachloride"," disulphide"," chloroethylene"," formamide"," Exane work"," and"," Year its compounds ",""," chloride"," work"," etc. 3"," work"," its compounds"," compounds"," phosphorus"," work"," and chromate"," its compounds"," work"," its compounds"," mercury and its",
" ","","  work",""," work","",""," work"," work"," work"," work",""," work",""," its salts work"," "," work","  work","","","","  work",""," work",""," work"," work",""," work","",
