" ","","  表 10-1 勞動檢查概況","","","","","","","","","","","  Table 10-1  Frequency of Labor Inspection","","","","","","",""," ","  表 10-1 勞動檢查概況(續1)","","","","","","","",""," Table 10-1  Frequency of Labor Inspection (Cont.1)","","","","","","","",""," ","","  表 10-1 勞動檢查概況(續2)","","","","","","","","",""," Table 10-1  Frequency of Labor Inspection (Cont.2)","","","","","","","",""," ","  表 10-1 勞動檢查概況(續3完)","","","","","","","","","","  Table 10-1  Frequency of Labor Inspection (Cont.3)ˉ","","","","","","","",
" ","","","  一               般               檢               查   (次)","","","","","","","","","","","  General  inspection   (Case)","","","","","",""," ","","  一               般               檢               查   (次)","","","","","","","","","","  General  inspection   (Case)","","","","","",""," ","","","  一               般               檢               查   (次)","","","","","","","","","","","  General  inspection   (Case)","","","","","",""," ","  一般檢查 (次)","",""," 礦場安全","","","",""," 危　險　性","  機　械　或　設　備　檢　查  (座次)","","","","",""," 特殊危害作業檢查 ( 廠次 )  ˉ","","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," General inspection (Case)","","","","","","","","",,,,,,,,,,
" 年     別 ","","","  總　計","","","  農、林、漁、牧業","","","","  礦業及土石採取業","","","","  製   造   業","","","","","  水 電 燃 氣 業",""," 年     別 ","  營   造   業","","  批 發 及 零 售 業","","  住 宿 及 餐 飲 業","","","  運輸、倉儲及通信業","","","","  金融及保險業","","","","","  不動產及租賃業",""," 年     別 ","  專業、科學及技術服務業","","","  教育服務業","","","  醫療保健及社會福利服務業","","","  文化、運動及休閒服務業","","","","  其他服務業","","","","","  公  共  行  政  業",""," 年     別 ","","","","  檢查(次)","","","",""," Inspection of","  Dangerous Machinery and Equipment (Case)","","","","","  Inspection of Special Hazardous Tasks (Case)","","","",
,,,,,,,,,,,,,,,,,,,,," ","","","","","    Accommodation &","","","  Transportation, storage &","","","","","","","","","",""," ","  Professional, scientific &","","","  Educational","","","  Health care & social","","","   Cultural, sporting &","","","","","","","","","",""," ","  重大職業災害檢查","","","","","","",""," 高壓氣體","  高壓氣體","","  營建用","  營建用","","  有機溶劑","  特定化學","","",
" ","","","  Grand total","","  Agriculture, forestry, fishing & animal husbandry","","","","","  Mining & quarrying","","","","  Manufacturing","","","",""," Electricity, gas & water",""," ","  Construction","","  Trade","","","","","","","","","  Finance & insurance","","","","  Real estate & rental & leasing","","",,,,,,,,,,"","","","","","  Other services","","","",""," Public administration",""," ","","","","","","  鍋爐",""," 壓力容器","","","  起重機","","","  吊     籠","","","  鉛作業","  粉塵作業",
,,,,,,,,,,,,,,,,,,,,," ","","","","","  eating-drinking places","","","  communications","","","","","","","","","",""," ","      technical services","","","     services","","","     welfare services","","","  recreational services","","","","","","","","","",""," ","  Serious occupational","","","  Safety","","","",""," 特定設備","  容器","","  升降機","  提升機","","  作業","  物質作業","","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ","  injury investigation","","","","","","","","","","","","","","  Tasks"," Tasks invol-","","",
" ","  安全衛生","",""," 勞動條件","  安全衛生","","  勞動條件","",""," 安全衛生",""," 勞動條件","","  安全衛生",""," 勞動條件","","  安全衛生",""," 勞動條件"," ","  安全衛生","  勞動條件","  安全衛生","  勞動條件","  安全衛生","  勞動條件",""," 安全衛生",""," 勞動條件","","  安全衛生",""," 勞動條件","","  安全衛生",""," 勞動條件"," ","  安全衛生","","  勞動條件","  安全衛生","  勞動條件","","  安全衛生","  勞動條件",""," 安全衛生",""," 勞動條件","","  安全衛生",""," 勞動條件","","  安全衛生",""," 勞動條件"," ","","",""," inspection","","","","","  Specified","",""," Elevators for","  Lifts for","","","","  Tasks","  Tasks",
" Year ","","","","","","","","",,,,,,,,,,,,," Year ","","","","","","",,,,,,,,,,,,," Year ","","","","","","","","",,,,,,,,,,,,," Year ","  安全衛生","","","  in mines","","  Boilers","","  Pressure vessels"," high-pressure"," High-pressure","  Cranes","  construction"," construction","  Cradles","  involving"," ving specific","  involving","  involving",
