" 表 10-2 事業單位經勞動檢查違反勞動基準法及職業安全衛生法移送處分情形 ","","","","","","  Table 10-2  Inspected Enterprises Found Violation of Labor Standards Act","","","","","","",
,,,,,,"","  and Occupational Safety and Health Act","","","","","",
" ","","","","","  單位：件次","","","","","","","  Unit：Case",
" ","  勞   動   基   準   法   檢  查","","  Inspection of Labor Standards Act","","",""," 職   業   安   全   衛   生   法   檢  查","","  Inspection of Occupational Safety and Health Act","","","",
" 年           別 ","","","","","",,,,,,,,
" "," 總受檢廠數","  違   反    件    數","","  Violation Cases",""," 總受檢廠數","","  違   反    件    數","","  Violation Cases","","",
" ","      (廠次)","","","",""," 　(廠次)  ˉ","","","","","","",
" ","","  計","  處分率 (%)","  罰鍰處分"," 移送參辦","","  計","  處分率 (%)","  罰鍰處分","  局部停工","  全部停工"," 移送參辦",
" ","  Total no. of","","","",""," Total no. of","","","","","","",
,,,,,,"","","","","",""," Order of Case",
" Year ","  enterprises inspected","  Total","  Penalty","  Order of"," Order of CaseTransferred to"," enterprises inspected","  Total","  Penalty","  Order of","  Shut-down","  Shut-down"," Transferred to",
" ","","","  rate"," Imposing Fines"," Prosecutors Office","","","  rate"," Imposing Fines","   localized","        all"," Prosecutors Office",
"  76年  1987 ","13839","238","1.72","213","25","15206","623","4.1","529","38","19","37",
"  77年  1988 ","10894","1970","18.08","1717","253","15408","1454","9.44","931","375","6","142",
"  78年  1989 ","6960","1070","15.37","1047","23","15822","2149","13.58","1219","774","1","155",
"  79年  1990 ","3729","481","12.9","464","17","16933","1862","11","1212","437","1","212",
"  80年  1991 ","3377","715","21.17","697","18","14756","2564","17.38","1995","381","3","185",
"  81年  1992 ","3732","857","22.96","838","19","14566","1634","11.22","1160","271","9","194",
"  82年  1993 ","5447","1681","30.86","1630","51","14015","1962","14","1212","604","6","140",
"  83年  1994 ","5559","1771","31.86","1708","63","16428","1999","12.17","952","834","3","210",
"  84年  1995 ","5803","1588","27.37","1513","75","16866","2441","14.47","1185","1041","1","214",
"  85年  1996 ","6203","1701","27.42","1605","96","19692","3011","15.29","1215","1409","13","374",
"  86年  1997 ","4114","1509","36.68","1476","33","24093","6334","26.29","2689","3228","47","370",
"  87年  1998 ","3306","911","27.56","880","31","35712","5229","14.64","1952","2956","14","307",
"  88年  1999 ","5026","1965","39.1","1874","91","31814","4424","13.91","1734","2469","3","218",
"  89年  2000 ","5025","2320","46.17","2298","22","40715","5379","13.21","2522","2637","7","213",
"  90年  2001 ","11387","4844","42.54","4208","636","62840","5899","9.39","2059","3633","8","199",
"  91年  2002 ","10094","2488","24.65","2484","4","71848","8582","11.94","3136","5218","16","212",
"  92年  2003 ","6901","1234","17.88","1229","5","86774","8092","9.33","3135","4700","14","243",
"  93年  2004 ","6330","352","5.56","345","7","107087","10369","9.68","5410","4744","2","213",
"  94年  2005 ","4943","675","13.66","647","28","100521","15041","14.96","7782","6973","17","269",
"  95年  2006 ","16871","3024","17.92","2910","114","151225","24200","16","12178","11735","118","169",
"  96年  2007 ","20234","2167","10.71","2095","72","197888","23917","12.09","11931","11844","35","107",
"  97年  2008 ","12510","1606","12.84","1485","121","119344","13437","11.26","6877","6220","16","324",
"  98年  2009 ","14552","1332","9.15","1263","69","149887","11054","7.37","3469","7352","11","222",
"  99年  2010 ","10387","2322","22.35","2291","31","106044","10858","10.24","3408","7177","20","253",
" 100年  2011 ","17297","4447","25.71","4434","13","101689","10473","10.3","3299","6908","41","225",
" 101年  2012 ","15918","4151","26.08","4103","48","105603","7933","7.51","3299","4361","15","258",
" 102年  2013 ","16619","4615","27.77","4606","9","102286","6498","6.35","2740","3698","2","58",
" 103年  2014 ","12277","4135","33.68","4126","9","90942","5520","6.07","2894","2559","3","64",
" 104年  2015 r ","49764","8957","18","8937","20","104862","6892","6.57","4645","2095","1","151",
" 105年  2016 r ","67194","10281","15.3","10275","6","114306","8930","7.81","5994","2770","2","164",
" 資料來源： 勞動部職業安全衛生署。 ","","","","",""," Source：  Occupational Safety and Health Administration, MOL.","","","","","","",
" 說　　明： 1.本表為各檢查機構執行勞動檢查情形，104年起"勞動基準法檢查"係含各直轄市及縣(市)政府之檢查量。 ","","","","",""," Note：  1.Data series only included the frequency of labor inspection by the labor inspection agency.From 2015, "Inspection of Labor","","","","","","",
" 2.處分率＝違反件數／總受檢廠數＊100。 ","","","","","","     Standards Act " include the frequency of labor inspection by the municipal government and the county (city) government.","","","","","","",
,,,,,,"  2.Proposed penalty case rate＝Violate Cases／Total no. of enterprises inspected＊100.","","","","","","",
" ","","   -252-","","","","","","","   -253-","","","",
