" 表 10-3 經指定填報職業災害統計之事業單位概況 ","","","","","","  Table 10-3  General Condition of the Designated Industries Compile Reports","","","","","","","",
,,,,,,"","","  and Statistics on Occupational Accidents","","","","","",
" ","  陳報事業","  工作者數","","","","","  已 結 案 之 失 能 傷 害 次 數(人次)","","  Cases of disability closed (Person-case)","","","  總損失工作","  失能傷害",
" ","","","  總工作日數","  總經歷工時","  失能傷害次數","  失能傷害頻率","","","","","","","",
" 年           別 ","  單  位  數","  (人)","     (工作天)","         (時)","  　　(人次)","       (3)","","","","","","  日           數","  嚴  重  率",
" ","    (家) (1)","  (2)","","","","","  計","  死        亡","  永久全失能","  永久部分失能","  暫時全失能","        (日)","     (4)ˉ",
,,,,,,"","","       (人)","         (人)","       (人次)","     (人次)","","",
" Year ","  business entities Reporting","  Workers(Person)","  Total work days        (Day)"," Total person-work         hours","     Times of   disability","  Frequency","","   Deaths"," Permanent total","       Permanent","    Temporary","  Total","  Severity of",
,,,,,,"        of","  Total","","      disability","  partial disability","  total disability","  work days lost","",
" ","  (Establishment)","","","         (Hour)","  (Person-case)ˉ","","","  (Person)","","","","","   disability",
,,,,,,"  disability","","","      (Person)","     (Person-case)","   (Person-case)","  (Day)","",
"  77年  1988 ","9694","1045467","305996552","2509390008","9165","3.65","6462","134","6","140","6182","1054784","420",
"  78年  1989 ","9161","1043906","300362129","2456361619","8151","3.31","6984","140","5","103","6736","1032310","420",
"  79年  1990 ","8628","1019104","292538301","2356964703","7718","3.27","6569","141","4","99","6325","997342","423",
"  80年  1991 ","8970","1088943","322472206","2559834098","8346","3.26","7026","154","8","110","6754","1119323","437",
"  81年  1992 ","9078","1106820","333018006","2793760173","8228","2.94","7010","145","6","99","6760","1076408","385",
"  82年  1993 ","8946","1095103","326474140","2582614311","7390","2.86","6239","134","5","79","6021","990886","383",
"  83年  1994 ","10095","1231606","352600283","2880670475","8294","2.87","5936","178","7","187","5564","1356752","470",
"  84年  1995 ","10736","1333546","394379415","3231006289","7940","2.45","6671","137","15","173","6346","1124352","347",
"  85年  1996 ","10313","1346902","391696836","3134164510","7628","2.43","6456","156","7","153","6140","1144988","365",
"  86年  1997 ","10267","1375331","402556395","3231907472","7180","2.22","5830","177","14","153","5486","1303886","403",
