""," 表 10-4 經指定填報職業災害統計之事業單位概況－按行業分","","","","  Table 10-4  General Condition of the Designated Industries Compile Reports and Statistics","","","","","","","",""," 表 10-4 經指定填報職業災害統計之事業單位概況－按行業分(續)  ˉ","","","","  Table 10-4  General Condition of the Designated Industries Compile Reports and Statistics","","","","","","","",
,,,,,"","","  on Occupational Accidents by Industry","","","","","",,,,,,"",""," on Occupational Accidents by Industry(Cont.)","","","","","",
"","  中華民國105年","","","","","","","   2016","","","","","","  中華民國105年","","","","","","","   2016","","","","",
"","  陳報事業","  工作者數","","","  失 能 傷 害 次 數 (人次)ˉ","","  Times of disability (Person-case)","","","","  總損失工作","  失能傷害","","  陳報事業","  工作者數","","","  失 能 傷 害 次 數 (人次)ˉ","","  Times of disability (Person-case)","","","","  總損失工作","  失能傷害",
"","","","  總工作日數","  總經歷工時","","","","",""," 失能傷害頻率","","","","","","  總工作日數","  總經歷工時","","","","",""," 失能傷害頻率","","",
""," 行     業      別  單  位  數","  (人)","     (工作天)","         (時)ˉ","","","","","","  (3)","  日　　　數","  嚴  重  率",""," 行     業      別  單  位  數","  (人)","     (工作天)","         (時)ˉ","","","","","","  (3)","  日           數","  嚴  重  率",
"","    (家) (1)","  (2)","","","  計","  死        亡","  永久全失能","  永久部分失能","  暫時全失能","","  (日)","  (4)ˉ","","    (家) (1)","  (2)","","","  計","  死        亡","  永久全失能","  永久部分失能","  暫時全失能","","        (日)","     (4)ˉ",
,,,,,"","       (人)","         (人)","       (人次)","     (人次)","","","",,,,,,"","       (人)","         (人)","       (人次)","     (人次)","","","",
"","  Reporting","  Workers"," Total work days"," Total person-work","","   Deaths"," Permanent total","      Permanent","    Temporary","  Frequency","  Total","  Severity of","","  Reporting","  Workers"," Total work days"," Total person-work","","   Deaths"," Permanent total","      Permanent","    Temporary","  Frequency","  Total","  Severity of",
""," Industry  business entities","  (Person)","         (Day)","          hours","  Total","","      disability"," partial disability","  total disability","  of","  work days lost","",""," Industry  business entities","  (Person)","         (Day)","          hours","  Total","","      disability"," partial disability","  total disability","  of","  work days lost","",
"","  (Establishment)","","","         (Hour)",,,,,,,,,"","  (Establishment)","","","         (Hour)",,,,,,,,,
,,,,,"","  (Person)","      (Person)","    (Person-case)","   (Person-case)","  disability","  (Day)","  disability",,,,,,"","  (Person)","      (Person)","    (Person-case)","   (Person-case)","  disability","  (Day)","   disability",
" 總　計","17614","3858689","937656384","7622460667","10668","78","5","236","10349","1.39","817219","107"," 　電腦、電子產品及光學製品","663","181017","44088548","362364172","233","0","0","2","231","0.64","4714","13",
" Grand total","","","","",,,,,,,,," 　Computers, electronic & optical products","","","","",,,,,,,,,
" 農、林、漁、牧業","45","6775","1617985","12818399","26","0","0","0","26","2.02","536","41"," 　電力設備及配備","491","75156","18387425","151240628","226","1","1","12","212","1.49","23714","156",
" Agriculture, forestry, fishing & animal husbandry","","","","",,,,,,,,," 　Electrical equipment","","","","",,,,,,,,,
" 礦業及土石採取業","48","3640","916546","7351392","5","1","0","0","4","0.68","6117","832"," 　機械設備","863","105497","25810654","209794093","346","4","0","28","314","1.64","36832","175",
" Mining & quarrying","","","","",,,,,,,,," 　Machinery & equipment","","","","",,,,,,,,,
" 製造業","9176","1724565","420549984","3469839390","5229","34","2","190","5003","1.5","389269","112"," 　汽車及其零件","262","51672","12662461","104411265","156","0","0","9","147","1.49","7181","68",
" Manufacturing","","","","",,,,,,,,," 　Motor vehicles & parts","","","","",,,,,,,,,
