""," 表 10-5 經指定填報職業災害統計之事業單位概況－按地區分","","","","  Table 10-5  General Condition of the Designated Industries Compile Reports and Statistics","","","","","","","",
,,,,,"","","  on Occupational Accidents by Area","","","","","",
"","  中華民國105年","","","","","","","   2016","","","","",
"","  陳報事業","  工作者數","","",""," 失 能 傷 害 次 數 (人次)  ˉ","  Times of disability (Person-case)","","","","  總損失工作","  失能傷害",
"","","","  總工作日數","  總經歷工時","","","","","","  失能傷害頻率","","",
"  地     區      別","  單  位  數","  (人)","     (工作天)","         (時)ˉ","","","","","","  (3)","  日　　　數","  嚴  重  率",
"","    (家) (1)","  (2)","","","  計","  死        亡","  永久全失能","  永久部分失能","  暫時全失能","","  (日)","  (4)ˉ",
,,,,,"","       (人)","         (人)","       (人次)","     (人次)","","","",
"","  Reporting","  Workers"," Total work days"," Total person-work","","   Deaths","  Permanent total","       Permanent","    Temporary","  Frequency","  Total","  Severity of",
""," Area business entities","  (Person)","         (Day)","          hours","  Total","","       disability","  partial disability","  total disability","  of","  work days lost","",
"","  (Establishment)","","","         (Hour)  ˉ","","  (Person)","","","","","","  disability",
,,,,,"","","       (Person)","     (Person-case)","   (Person-case)","  disability","  (Day)","",
" 總　      計　　Grand total","17614","3858689","937656384","7622460667","10668","78","5","236","10349","1.39","817219","107",
" 　新　北　市　 New Taipei City","2800","595393","140556941","1137956446","1147","13","2","26","1106","1","118074","103",
" 　臺　北　市　 Taipei City","2716","859829","211060411","1701432882","1823","11","0","16","1796","1.07","109811","64",
" 　桃　園　市　 Taoyuan City","2348","502021","124400252","1022392448","1747","8","0","42","1697","1.7","106864","104",
" 　臺　中　市　 Taichung City","1806","325362","79869517","647843517","1416","8","1","42","1365","2.18","93655","144",
" 　臺　南　市　 Tainan City","1140","233908","55877913","451834144","846","7","1","20","818","1.87","64895","143",
" 　高　雄　市　 Kaohsiung City","2368","341991","84760134","681304931","940","11","0","24","905","1.37","101383","148",
" 　宜　蘭　縣　 Yilan County","198","30510","7462746","59712253","89","2","0","5","82","1.49","16942","283",
" 　新　竹　縣　 Hsinchu County","542","121350","29869134","243791971","288","3","0","7","278","1.18","33457","137",
" 　苗　栗　縣　 Miaoli County","284","57783","14654648","117521658","178","3","0","4","171","1.51","25011","212",
" 　彰　化　縣　 Changhwa County","707","118267","29052896","238326455","508","3","0","21","484","2.13","33241","139",
" 　南　投　縣　 Nantou County","214","32024","7993602","64949485","185","0","0","1","184","2.84","7854","120",
" 　雲　林　縣　 Yunlin County","234","52147","13092158","106554844","160","1","0","7","152","1.5","9578","89",
" 　嘉　義　縣　 Chiayi County","190","39463","9091339","71491655","112","3","1","3","105","1.56","32856","459",
" 　屏　東　縣　 Pingtung County","256","41297","9965157","79720885","190","1","0","6","183","2.38","10335","129",
" 　臺　東　縣　 Taitung County","48","8456","1954252","15695942","26","0","0","0","26","1.65","473","30",
" 　花　蓮　縣　 Hwalien County","127","24879","6055176","46973205","64","0","0","2","62","1.36","1054","22",
" 　澎　湖　縣　 Penghu County","17","2077","527361","4214391","5","0","0","0","5","1.18","76","18",
" 　基　隆　市　 Keelung City","152","24324","6037927","48730975","98","1","0","0","97","2.01","8131","166",
" 　新　竹　市　 Hsinchu City","308","58671","14552070","116434859","139","1","0","2","136","1.19","11523","98",
" 　嘉　義　市　 Chiayi City","91","25552","6182777","48982242","43","0","0","0","43","0.87","674","13",
" 　金　門　縣　 Kinmen County","17","3387","836707","6667157","18","1","0","1","16","2.69","12301","1845",
" 　連　江　縣　 Lienchiang County","4","214","51865","410074","0","0","0","0","0","0","0","0",
" 　加  工  出  口  區","324","94540","22215787","185950835","253","0","0","5","248","1.36","8500","45",
" 　Export  Processing  Zones","","","","",,,,,,,,,
" 　新竹科學工業園區","481","153313","36389618","303062384","153","0","0","0","153","0.5","1558","5",
" 　Hsinchu Science Park","","","","",,,,,,,,,
" 　中部科學工業園區","87","39784","9196748","78151001","106","0","0","0","106","1.35","1163","14",
" 　Central Taiwan Science Park","","","","",,,,,,,,,
" 　南部科學工業園區","122","70200","15463290","138476612","128","1","0","2","125","0.92","7793","56",
" 　Southern Taiwan Science Park","","","","",,,,,,,,,
" 　全　國　礦　場","33","1947","485958","3877416","6","0","0","0","6","1.54","17","4",
" 　Mine","","","","",,,,,,,,,
" 資料來源： 勞動部職業安全衛生署。","","","","","  Source： Occupational Safety and Health Administration, MOL.","","","","","","","",
" 說　　明： 本表資料係依「職業安全衛生法」第三十八條及施行細則第五十一條，由雇主按月填載職業災害內容及統計","","","","","  Note： This table is compiled from the monthly occupational accidents reports and statistics submitted by employers in accordance with","","","","","","","",
,,,,,"  provisions of Article 38 of the "Occupational Safety and Health Act" and Article 51 of the "Enforcement Rules of the  Occupational","","","","","","","",
"  彙總。","","","","",,,,,,,,,
,,,,,"  Safety and Health Act".","","","","","","","",
" 附　　註： (1).陳報事業單位數及僱用勞工數各年資料為年平均值。","","","","","  Remark："," (1).The year data of reporting enterprises and employee are  year figures add up to the average in a fiscal year.","","","","","","",
"  (2).工作者數於103年以前係指事業單位僱用之勞工，自104年起係指事業單位僱用之勞工及受工作場所負責人ˉ","","","","",,,,,,,,,
"      指揮或監督從事勞動之人。","","","","",""," (2).The term " workers " referred to in this sheet means laborers prior to 2014,and then it means laborers or other people engaged","","","","","","",
,,,,,"","      in work and directed or supervised by the responsible people in workplaces.","","","","","","",
"  (3).失能傷害頻率(人次/百萬工時，小數點以下三位不計)＝失能傷害次數／總經歷工時＊1,000,000。ˉ","","","","",,,,,,,,,
"  (4).失能傷害嚴重率(日/百萬工時，小數點以下不計)＝總損失工作日數／總經歷工時＊1,000,000。ˉ","","","","",""," (3).Frequency of disability (excluding after the third decimal point)=Times of disability / Total person-work hours *1,000,000.","","","","","","",
"  (5).本表不含上下班交通事故。ˉ","","","","",""," (4).Severity of disability (excluding after the decimal point)=Total workday lost / Total person-work hours *1,000,000.","","","","","","",
,,,,,""," (5).Data series in the table exclude the traffic accidents on the commute.","","","","","","",
"","   -260-","","","","","","","   -261-","","","","",
