""," 表 10-6 經指定填報職業災害統計之事業單位失能傷害次數","","","",""," Table 10-6  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","",""," 表 10-6 經指定填報職業災害統計之事業單位失能傷害次數","","","",""," Table 10-6  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","",""," 表 10-6 經指定填報職業災害統計之事業單位失能傷害次數","","","",""," Table 10-6  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","",""," 表 10-6 經指定填報職業災害統計之事業單位失能傷害次數","","","","","  Table 10-6  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","",
"","  －按災害類型及行業分","","","","","  Compile Reports and Statistics on Occupational Accidents by Cause and Industry","","","","","","",""," －按災害類型及行業分(續1)  ˉ","","","",""," Compile Reports and Statistics on Occupational Accidents by Cause and Industry(Cont.1)  ˉ","","","","","","",""," －按災害類型及行業分(續2)  ˉ","","","",""," Compile Reports and Statistics on Occupational Accidents by Cause and Industry(Cont.2)  ˉ","","","","","","",""," －按災害類型及行業分(續3完)  ˉ","","","",""," Compile Reports and Statistics on Occupational Accidents by Cause and Industry(Cont.3)  ˉ","","","","","","",
"","  中華民國105年","","","","  單位：人次","","","","   2016","",""," Unit：Person-case","","  中華民國105年","","","","  單位：人次","","","","   2016","",""," Unit：Person-case","","  中華民國105年","","","","  單位：人次","","","","   2016","",""," Unit：Person-case","","  中華民國105年","","","","  單位：人次","","","","   2016","",""," Unit：Person-case",
,,,,,,,,,,,,,,,,,,,"","","","  交          通          事          故","","  Traffic accident","",,,,,,,,,,,,,,,,,,,,"","","","  交          通          事          故","","  Traffic accident","",
,,,,,,"","","","  被切、割","","","    與高溫、","","  與有害物","","","","",,,,,,,,,,,,,,"","","","  被切、割","","","    與高溫、","","  與有害物","","","","",,,,,,,,
""," 行     業      別  總      計","  墜落、滾落","  跌      倒","  衝      撞","  物 體 飛 落"," 物體倒塌、崩塌","  被      撞","  被夾、被捲","   、擦傷","  踩      踏","  溺      水","  低溫之接觸",""," 行     業      別    之接觸","  感      電","  爆      炸","  物 體 破 裂","  火      災","  不 當 動 作","  其      他","  無 法 歸 類 者","","","","",""," 行     業      別  總      計","  墜落、滾落","  跌      倒","  衝      撞","  物 體 飛 落"," 物體倒塌、崩塌","  被      撞","  被夾、被捲","   、擦傷","  踩      踏","  溺      水","  低溫之接觸",""," 行     業     別    之接觸","  感      電","  爆      炸","  物 體 破 裂","  火      災","  不 當 動 作","  其      他","  無 法 歸 類 者","","","","",
,,,,,,,,,,,,,,,,,,,"","","","  公      路","  鐵      路","  船舶、航空器","  其      他",,,,,,,,,,,,,,,,,,,,"","","","  公      路","  鐵      路","  船舶、航空器","  其      他",
"","  Grand total","  Falling down","  Matter dropping","  Crash or dash","  Matter flying","  Cave-in","  Crashed","  Rolling - up","  Cutting","  Tread down","  Drown","  Hot or low","","  Contact with","  Electrical","  Explosion","  Breaking","  Fire","  Improper act","  Others","  Non- classified","  Road","  Railroad","  Ship or","  Others","","  Grand total","  Falling down","  Matter dropping","  Crash or dash","  Matter flying","  Cave-in","  Crashed","  Rolling - up","  Cutting","  Tread down","  Drown","  Hot or low","","  Contact with","  Electrical","  Explosion","  Breaking","  Fire","  Improper act","  Others","  Non- classified","  Road","  Railroad","  Ship or","  Others",
""," Industry","","","","       down","","","","","","","  temperature",""," Industry       hazard","   accident","","","","","","","","","  airplane","",""," Industry","","","","       down","","","","","","","  temperature",""," Industry       hazard","   accident","","","","","","","","","  airplane","",
" 總　計","10668","522","2222","376","344","269","682","1579","1546","85","1","495"," 總　計","225","40","17","29","26","667","769","118","533","2","0","121"," 　電腦、電子產品及光學製品","233","9","60","5","9","11","19","32","33","4","0","3"," 　電腦、電子產品及光學製品","7","2","0","3","0","17","11","0","5","0","0","3",
" Grand total","","","","","",,,,,,,," Grand total","","","","","",,,,,,,," 　Computers, electronic & optical products","","","","","",,,,,,,," 　Computers, electronic & optical products","","","","","",,,,,,,,
" 農、林、漁、牧業","26","0","9","2","0","1","4","1","1","0","0","1"," 農、林、漁、牧業","2","0","0","0","0","0","3","0","1","0","0","1"," 　電力設備及配備","226","8","39","4","4","8","18","56","35","1","0","6"," 　電力設備及配備","4","1","3","0","1","17","8","3","8","0","0","2",
" Agriculture, forestry, fishing & animal husbandry","","","","","",,,,,,,," Agriculture, forestry, fishing & animal husbandry","","","","","",,,,,,,," 　Electrical equipment","","","","","",,,,,,,," 　Electrical equipment","","","","","",,,,,,,,
" 礦業及土石採取業","5","2","0","0","0","0","0","1","0","0","0","0"," 礦業及土石採取業","0","0","0","0","0","0","0","1","1","0","0","0"," 　機械設備","346","10","33","7","19","22","14","97","77","1","0","9"," 　機械設備","4","1","0","4","1","23","14","0","7","0","0","3",
" Mining & quarrying","","","","","",,,,,,,," Mining & quarrying","","","","","",,,,,,,," 　Machinery & equipment","","","","","",,,,,,,," 　Machinery & equipment","","","","","",,,,,,,,
" 製造業","5229","213","840","144","181","163","321","1278","872","40","1","200"," 製造業","175","26","7","21","21","330","268","34","66","0","0","28"," 　汽車及其零件","156","4","17","4","6","2","8","54","30","2","0","4"," 　汽車及其零件","5","1","0","0","0","9","6","1","3","0","0","0",
" Manufacturing","","","","","",,,,,,,," Manufacturing","","","","","",,,,,,,," 　Motor vehicles & parts","","","","","",,,,,,,," 　Motor vehicles & parts","","","","","",,,,,,,,
" 　食品及飼品","449","21","104","13","5","10","22","101","94","5","0","34"," 　食品及飼品","4","1","0","0","0","19","12","2","2","0","0","0"," 　其他運輸工具及其零件","205","15","41","6","8","4","13","44","41","2","0","3"," 　其他運輸工具及其零件","2","1","1","0","2","9","10","1","1","0","0","1",
,,,,,,,,,,,,,,,,,,,,,,,,,," 　Other transport equipment & parts","","","","","",,,,,,,," 　Other transport equipment & parts","","","","","",,,,,,,,
" 　Food products & prepared animal feeds","","","","","",,,,,,,," 　Food products & prepared animal feeds","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　飲料","37","0","10","6","1","0","7","4","0","1","1","2"," 　飲料","0","2","0","0","0","1","2","0","0","0","0","0"," 　家具","36","0","2","1","4","0","7","11","8","0","0","0"," 　家具","0","0","0","0","0","2","1","0","0","0","0","0",
" 　Beverages","","","","","",,,,,,,," 　Beverages","","","","","",,,,,,,," 　Furniture","","","","","",,,,,,,," 　Furniture","","","","","",,,,,,,,
" 　菸草","3","0","0","0","0","0","0","3","0","0","0","0"," 　菸草","0","0","0","0","0","0","0","0","0","0","0","0"," 　其他","171","5","18","3","3","5","11","51","41","2","0","4"," 　其他","2","1","0","0","0","14","6","2","3","0","0","0",
" 　Tobacco products","","","","","",,,,,,,," 　Tobacco products","","","","","",,,,,,,," 　Other manufacturing","","","","","",,,,,,,," 　Other manufacturing","","","","","",,,,,,,,
" 　紡織","175","8","24","5","5","6","7","50","25","1","0","13"," 　紡織","2","0","0","1","0","15","8","1","4","0","0","0"," 　產業用機械設備維修及安裝","13","3","2","0","0","0","3","2","0","0","0","0"," 　產業用機械設備維修及安裝","0","0","0","0","0","2","1","0","0","0","0","0",
" 　Textiles","","","","","",,,,,,,," 　Textiles","","","","","",,,,,,,," 　Repair and installation of industrial","","","","","",,,,,,,," 　Repair and installation of industrial","","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 　machinery and equipment","","","","","",,,,,,,," 　machinery and equipment","","","","","",,,,,,,,
" 　成衣及服飾品","31","1","12","1","0","0","4","3","3","0","0","0"," 　成衣及服飾品","0","0","0","0","0","3","0","2","2","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Wearing apparel & clothing accessories","","","","","",,,,,,,," 　Wearing apparel & clothing accessories","","","","","",,,,,,,," 電力及燃氣供應業","43","5","4","1","5","0","1","3","3","0","0","4"," 電力及燃氣供應業","1","3","0","0","0","2","3","1","7","0","0","0",
