""," 表 10-8 經指定填報職業災害統計之事業單位失能傷害次數","","","","","",""," Table 10-8  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","","",""," 表 10-8 經指定填報職業災害統計之事業單位失能傷害次數","","","","",""," Table 10-8  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","","","",""," 表 10-8 經指定填報職業災害統計之事業單位失能傷害次數","","","","","",""," Table 10-8  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","","",""," 表 10-8 經指定填報職業災害統計之事業單位失能傷害次數","","","","",""," Table 10-8  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","","","",
""," －按災害媒介物及行業分","","","","","","","  Compile Reports and Statistics on Occupational Accidents by Source and Industry","","","","","","","",""," －按災害媒介物及行業分(續1)  ˉ","","","","",""," Compile Reports and Statistics on Occupational Accidents by Source and Industry(Cont.1)  ˉ","","","","","","","","",""," －按災害媒介物及行業分(續2)  ˉ","","","","","",""," Compile Reports and Statistics on Occupational Accidents by Source and Industry(Cont.2)  ˉ","","","","","","","",""," －按災害媒介物及行業分(續3完)  ˉ","","","","",""," Compile Reports and Statistics on Occupational Accidents by Source and Industry(Cont.3)  ˉ","","","","","","","","",
"","  中華民國105年","","","","",""," 單位：人次","","","","   2016","","","  Unit：Person-case","","","  中華民國105年","","","",""," 單位：人次","","","","","  2016","","","  Unit：Person-case","","","  中華民國105年","","","","",""," 單位：人次","","","","   2016","","","  Unit：Person-case","","","  中華民國105年","","","",""," 單位：人次","","","","","  2016","","","  Unit：Person-case","",
"","","  動         力          機           械","","","  Powered machinery","",""," 裝 卸 運 搬 機 械"," Loading, unloading and moving machinery","","","  其    他    設    備",""," Other equipments","","",""," 其     他     設     備",""," Other equipments",""," 營建物及"," 物 質 材 料","  Materials and supplies","","","","  其                他","","  Others","","","","  動         力          機           械","","","  Powered machinery","",""," 裝 卸 運 搬 機 械"," Loading, unloading and moving machinery","","","  其    他    設    備",""," Other equipments","","",""," 其     他     設     備",""," Other equipments",""," 營建物及"," 物 質 材 料","  Materials and supplies","","","","  其                他","","  Others","",
,,,,,,,,,,,,,,,,,,,,,,,"","","","  貨物"," 環境","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","","  貨物"," 環境","","","","",
""," 行     業      別  總計","","","","","","",,,,,,,,,""," 行     業      別","","","",""," 施工設備",,,,,,,,,,""," 行     業      別  總計","","","","","","",,,,,,,,,""," 行     業      別","","","",""," 施工設備",,,,,,,,,,
"","","",""," 動力傳導","  木材加工","  營造用"," 一般動力","",""," 動力運搬","","","","","","","",""," 人力機械","","","",""," 危險物、","","","","","","","","","","",""," 動力傳導","  木材加工","  營造用"," 一般動力","",""," 動力運搬","","","","","","","",""," 人力機械","","","",""," 危險物、","","","","","","","",
"","","  計","  原動機"," 　裝置","   用機械","   機械"," 　機械","  計"," 起重機械"," 　機械"," 交通工具","  計"," 壓力容器類"," 化學設備"," 熔接設備","","  爐窯等"," 電氣設備"," 　工具","  用具","  其他","","  計"," 有害物","  材料","","","  計"," 其他媒介物"," 無媒介物"," 不能分類","","","  計","  原動機"," 　裝置","   用機械","   機械"," 　機械","  計"," 起重機械"," 　機械"," 交通工具","  計"," 壓力容器類"," 化學設備"," 熔接設備","","  爐窯等"," 電氣設備"," 　工具","  用具","  其他","","  計"," 有害物","  材料","","","  計"," 其他媒介物"," 無媒介物"," 不能分類",
"","  Grand","","  Prime","      Power","     Wood"," Construction","   General","","  Cranes","  Powered"," Transportation",""," Pressurized"," Chemical","  Welding","","  Furaces","   Electric"," Manually","","","   construction",""," Hazardous","","","","","  Other","   No","     Non-","","  Grand","","  Prime","      Power","     Wood"," Construction","   General","","  Cranes","  Powered"," Transportation",""," Pressurized"," Chemical","  Welding","","  Furaces","   Electric"," Manually","","","   construction",""," Hazardous","","","","","  Other","   No","     Non-",
""," Industry   total","  Total",""," transmission","    working","","   powered","  Total","    and","  transport",""," Total","","   holding","",""," Industry     and"," apparatus"," operating"," Handtools","  Others","     facilities","  Total",""," Supplies"," Cargoes"," Environment","  Total","","","",""," Industry   total","  Total",""," transmission","    working","","   powered","  Total","    and","  transport",""," Total","","   holding","",""," Industry     and"," apparatus"," operating"," Handtools","  Others","     facilities","  Total",""," Supplies"," Cargoes"," Environment","  Total","","","",
