,,,,,,,," Table 10-9  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","","",""," 表 10-9 經指定填報職業災害統計之事業單位失能傷害次數","","","","",""," Table 10-9  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","","","",
""," 表 10-9 經指定填報職業災害統計之事業單位失能傷害次數","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"  Compile Reports and Statistics on Occupational Accidents by Source and Area","","","","","","","",""," －按災害媒介物及地區分(續)  ˉ","","","","",""," Compile Reports and Statistics on Occupational Accidents by Source and Area(Cont.)","","","","","","","","",
"","  －按災害媒介物及地區分","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
"",""," 中華民國105年","","","",""," 單位：人次","","","","   2016","","","  Unit：Person-case","","",""," 中華民國105年","","",""," 單位：人次","","","","","  2016","","","  Unit：Person-case","",
"","",""," 動         力          機           械","","  Powered machinery","",""," 裝 卸 運 搬 機 械"," Loading, unloading and moving machinery","","","  其    他    設    備",""," Other equipments","","","  其     他     設     備","",""," Other equipments",""," 營建物及"," 物 質 材 料","  Materials and supplies","","","","  其                他","","  Others","",
,,,,,,,,,,,,,,,,,,,,,,,"","","","  貨物"," 環境","","","","",
"  地     區      別","  總計","","","","","","",,,,,,,,,"  地     區      別","","","","",""," 施工設備",,,,,,,,,,
"","","",""," 動力傳導","  木材加工","  營造用"," 一般動力","",""," 動力運搬","","","","","","","",""," 人力機械","","","",""," 危險物、","","","","","","","",
"","","  計","  原動機"," 　裝置","   用機械","   機械"," 　機械","  計"," 起重機械"," 　機械"," 交通工具","  計"," 壓力容器類"," 化學設備"," 熔接設備",""," 爐窯等"," 電氣設備"," 　工具","  用具","  其他","","  計"," 有害物","  材料","","","  計"," 其他媒介物"," 無媒介物"," 不能分類",
"","","","  Prime","      Power","     Wood"," Construction","   General","","  Cranes","  Powered"," Transportation",""," Pressurized"," Chemical","  Welding",""," Furaces","   Electric"," Manually","","","   construction",""," Hazardous","","","","","  Other","   No","     Non-",
""," Area Grand total","  Total",""," transmission","    working","","   powered","  Total","    and","  transport",""," Total","","   holding","",""," Area    and"," apparatus"," operating"," Handtools"," Others","     facilities","  Total",""," Supplies"," Cargoes"," Environment","  Total","","","",
"","","","  motors","","","   machinery","","","","","    equipment","","  containers",""," equipment",,,,,,,,"","  materials","","","","","  media"," media"," classified",
"","","","","      device","  machinery",""," machinery","","   hoists"," machinery","","",""," equipment","",""," burners","","    tools","","","",,,,,,,,,,
" 總　      計　　Grand total","10668","1479","30","349","61","39","1000","1913","147","465","1301","1540","75","17","29"," 總　      計　　Grand total","19","120","391","575","314","762","1051","244","807","265","1205","2453","1304","515","634",
" 　新　北　市　 New Taipei City","1147","146","2","20","4","7","113","232","18","38","176","216","5","1","2"," 　新　北　市　 New Taipei City","1","36","39","93","39","97","79","14","65","41","98","238","118","53","67",
" 　臺　北　市　 Taipei City","1823","39","1","10","6","2","20","413","13","47","353","205","18","1","2"," 　臺　北　市　 Taipei City","6","13","41","86","38","156","120","21","99","32","282","576","288","162","126",
" 　桃　園　市　 Taoyuan City","1747","252","3","71","5","2","171","282","22","92","168","254","10","3","6"," 　桃　園　市　 Taoyuan City","1","21","63","89","61","107","170","52","118","51","180","451","300","74","77",
" 　臺　中　市　 Taichung City","1416","236","6","34","8","4","184","306","25","69","212","177","9","1","3"," 　臺　中　市　 Taichung City","3","11","49","76","25","65","163","28","135","54","108","307","125","72","110",
" 　臺　南　市　 Tainan City","846","168","6","46","7","4","105","127","13","39","75","126","3","1","3"," 　臺　南　市　 Tainan City","2","11","48","28","30","52","90","29","61","18","137","128","63","23","42",
" 　高　雄　市　 Kaohsiung City","940","150","5","41","14","7","83","151","27","46","78","124","8","2","1"," 　高　雄　市　 Kaohsiung City","2","8","26","55","22","96","105","26","79","24","111","179","92","48","39",
" 　宜　蘭　縣　 Yilan County","89","11","0","4","0","1","6","22","2","1","19","18","0","0","2"," 　宜　蘭　縣　 Yilan County","0","0","2","8","6","7","10","3","7","1","11","9","6","0","3",
" 　新　竹　縣　 Hsinchu County","288","57","0","14","3","2","38","33","1","19","13","38","2","3","1"," 　新　竹　縣　 Hsinchu County","0","4","10","12","6","18","48","20","28","3","23","68","30","15","23",
" 　苗　栗　縣　 Miaoli County","178","37","0","14","1","1","21","30","2","14","14","29","0","0","0"," 　苗　栗　縣　 Miaoli County","0","2","9","12","6","8","13","6","7","2","21","38","21","9","8",
" 　彰　化　縣　 Changhwa County","508","146","2","28","3","4","109","64","6","28","30","87","7","0","2"," 　彰　化　縣　 Changhwa County","0","1","30","34","13","21","60","5","55","14","55","61","37","7","17",
" 　南　投　縣　 Nantou County","185","29","1","4","2","1","21","17","0","8","9","22","0","0","1"," 　南　投　縣　 Nantou County","1","1","10","6","3","9","21","6","15","1","18","68","48","6","14",
