""," 表 10-10 經指定填報職業災害統計之事業單位失能傷害次數","","","","","",""," Table 10-10  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","","",""," 表 10-10 經指定填報職業災害統計之事業單位失能傷害次數","","","","",""," Table 10-10  Number of Incidents from Disability or Injury of the Designated Industries","","","","","","","","",
""," －按災害媒介物及災害類型分","","","","","","","  Compile Reports and Statistics on Occupational Accidents by Source and Cause","","","","","","","",""," －按災害媒介物及災害類型分(續)  ˉ","","","","",""," Compile Reports and Statistics on Occupational Accidents by Source and Cause(Cont.)  ˉ","","","","","","","","",
"",""," 中華民國105年","","","",""," 單位：人次","","","","   2016","","","  Unit：Person-case","","",""," 中華民國105年","","",""," 單位：人次","","","","","  2016","","","  Unit：Person-case","",
"","",""," 動         力          機           械","","  Powered machinery","",""," 裝 卸 運 搬 機 械"," Loading, unloading and moving machinery","","","  其    他    設    備",""," Other equipments","","","  其     他     設     備","",""," Other equipments",""," 營建物及"," 物 質 材 料","  Materials and supplies","","","","  其                他","","  Others","",
,,,,,,,,,,,,,,,,,,,,,,,"","","","  貨物"," 環境","","","","",
"  項　　目　　別","  總計","","","","","","",,,,,,,,,"  項　　目　　別","","","","",""," 施工設備",,,,,,,,,,
"","","",""," 動力傳導","  木材加工","  營造用"," 一般動力","",""," 動力運搬","","","","","","","",""," 人力機械","","","",""," 危險物、","","","","","","","",
"","","  計","  原動機"," 　裝置","   用機械","   機械"," 　機械","  計"," 起重機械"," 　機械"," 交通工具","  計"," 壓力容器類"," 化學設備"," 熔接設備",""," 爐窯等"," 電氣設備"," 　工具","  用具","  其他","","  計"," 有害物","  材料","","","  計"," 其他媒介物"," 無媒介物"," 不能分類",
"","","","  Prime","      Power","     Wood"," Construction","   General","","  Cranes","  Powered"," Transportation",""," Pressurized"," Chemical","  Welding",""," Furaces","   Electric"," Manually","","","   construction",""," Hazardous","","","","","  Other","   No","     Non-",
""," Item Grand total","  Total",""," transmission","    working","","   powered","  Total","    and","  transport",""," Total","","   holding","",""," Item    and"," apparatus"," operating"," Handtools"," Others","     facilities","  Total",""," Supplies"," Cargoes"," Environment","  Total","","","",
"","","","  motors","","","   machinery","","","","","    equipment","","  containers",""," equipment",,,,,,,,"","  materials","","","","","  media"," media"," classified",
"","","","","      device","  machinery",""," machinery","","   hoists"," machinery","","",""," equipment","",""," burners","","    tools","","","",,,,,,,,,,
" 總計","10668","1479","30","349","61","39","1000","1913","147","465","1301","1540","75","17","29"," 總計","19","120","391","575","314","762","1051","244","807","265","1205","2453","1304","515","634",
" Grand total","","","","","","","",,,,,,,,," Grand total","","","","","","",,,,,,,,,,
" 墜落、滾落","522","14","0","2","2","0","10","86","11","35","40","157","0","2","1"," 墜落、滾落","0","0","0","140","14","148","12","0","12","1","30","74","29","28","17",
" Falling down","","","","","","","",,,,,,,,," Falling down","","","","","","",,,,,,,,,,
" 跌倒","2222","39","0","11","2","5","21","259","10","44","205","134","4","1","0"," 跌倒","0","18","9","81","21","417","72","2","70","30","463","808","314","300","194",
" Matter dropping","","","","","","","",,,,,,,,," Matter dropping","","","","","","",,,,,,,,,,
" 衝撞","376","27","1","7","2","3","14","173","4","40","129","37","1","0","0"," 衝撞","0","4","5","10","17","21","17","0","17","3","16","82","60","5","17",
" Crash or dash","","","","","","","",,,,,,,,," Crash or dash","","","","","","",,,,,,,,,,
" 物體飛落","344","35","0","7","3","0","25","22","15","6","1","58","1","0","0"," 物體飛落","1","4","16","28","8","13","81","0","81","46","24","65","55","0","10",
" Matter flying down","","","","","","","",,,,,,,,," Matter flying down","","","","","","",,,,,,,,,,
" 物體倒塌、崩塌","269","12","2","2","0","0","8","19","7","9","3","57","3","0","0"," 物體倒塌、崩塌","0","4","8","32","10","16","89","4","85","25","21","30","23","1","6",
" Cave-in","","","","","","","",,,,,,,,," Cave-in","","","","","","",,,,,,,,,,
" 被撞","682","49","0","8","2","4","35","390","18","119","253","102","2","0","1"," 被撞","0","7","36","31","25","11","33","0","33","6","26","65","45","3","17",
" Crashed","","","","","","","",,,,,,,,," Crashed","","","","","","",,,,,,,,,,
" 被夾、被捲","1579","836","21","246","7","15","547","187","46","116","25","210","4","0","0"," 被夾、被捲","2","7","44","67","86","29","85","1","84","20","59","153","105","0","48",
" Rolling-up","","","","","","","",,,,,,,,," Rolling-up","","","","","","",,,,,,,,,,
" 被切、割、擦傷","1546","324","3","42","40","4","235","49","12","18","19","396","7","0","2"," 被切、割、擦傷","0","11","214","102","60","32","289","7","282","21","135","300","210","11","79",
" Cutting","","","","","","","",,,,,,,,," Cutting","","","","","","",,,,,,,,,,
