"  表 10-11 經指定填報職業災害統計之事業單位罹災者受傷部位－按行業分","","","","","","","","","",""," Table 10-11 Injured Positions of the Person Suffering in Disaster of the Designated Industries","","","","","","","","","","","","","","","  表 10-11 經指定填報職業災害統計之事業單位罹災者受傷部位－按行業分(續)","","","","","","","","","",""," Table 10-11 Injured Positions of the Person Suffering in Disaster of the Designated Industries","","","","","","","","","","","","","","",
,,,,,,,,,,,"","  Compile Reports and Statistics on Occupational Accidents by Industry","","","","","","","","","","","","","",,,,,,,,,,,,"","  Compile Reports and Statistics on Occupational Accidents by Industry(Cont.)","","","","","","","","","","","","","",
"",""," 中華民國105年","","","","","","","  單位：部位數","","","","","","","","","2016","","","","","","  Unit：Case","","",""," 中華民國105年","","","","","","","  單位：部位數","","","","","","","","","2016","","","","","","  Unit：Case","",
""," 行     業      別  總計","  頭","  臉顏","  頸","  肩","  鎖骨","  上膊","  肘","  前膊","  腕","  胸","  肋骨","  背","  手","  指","  腹","  臀","  鼠蹊","  股","  膝","  腿","  足","  內臟","  全身","  其他",""," 行     業      別  總計","  頭","  臉顏","  頸","  肩","  鎖骨","  上膊","  肘","  前膊","  腕","  胸","  肋骨","  背","  手","  指","  腹","  臀","  鼠蹊","  股","  膝","  腿","  足","  內臟","  全身","  其他",
"","  Grand","  Head","  Face","  Neck","  Shoul-","  Collar-","  Upper","  Elbow","  Forearm","  Wrist","  Chest","  Rib","  Back","  Hand","  Finger"," Abdomen","  Hip","  Groin","  Thigh","  Knee","  Leg","  Foot","  Viscera","  Entire","  Others","","  Grand","  Head","  Face","  Neck","  Shoul-","  Collar-","  Upper","  Elbow","  Forearm","  Wrist","  Chest","  Rib","  Back","  Hand","  Finger"," Abdomen","  Hip","  Groin","  Thigh","  Knee","  Leg","  Foot","  Viscera","  Entire","  Others",
""," Industry   total","","","","    der","    bone","    arm","","","","","","","","","","","","","","","","","   body","",""," Industry   total","","","","    der","    bone","    arm","","","","","","","","","","","","","","","","","   body","",
" 總　計","13604","924","507","188","360","56","110","446","173","354","293","149","430","2094","2434","101","258","20","106","833","1044","1961","36","51","676"," 　電腦、電子產品及光學製品","287","20","7","2","6","2","1","9","3","8","8","1","8","47","44","2","3","1","1","20","21","46","0","1","26",
" Grand total","","","","","","","","","","",,,,,,,,,,,,,,,," 　Computers, electronic & optical products","","","","","","","","","","",,,,,,,,,,,,,,,,
" 農、林、漁、牧業","32","3","2","1","1","0","0","0","0","0","0","0","2","7","0","1","0","0","0","6","3","5","0","0","1"," 　電力設備及配備","274","16","8","1","5","0","2","3","7","11","8","3","7","47","79","2","3","0","3","18","16","29","0","0","6",
" Agriculture, forestry, fishing & animal husbandry","","","","","","","","","","",,,,,,,,,,,,,,,," 　Electrical equipment","","","","","","","","","","",,,,,,,,,,,,,,,,
" 礦業及土石採取業","9","1","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1"," 　機械設備","403","20","10","1","5","0","4","10","3","8","10","5","8","73","143","3","3","0","0","14","22","41","2","1","17",
