" 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率 ","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","","","","","","",""," 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率(續1) ","","","","","","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","",""," 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率(續2) ","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","","","",""," 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率(續3) ","","","","","","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","","","",""," 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率(續4完) ","","","","","","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","","","","",
,,,,,,,,,,,,,"","","","","  Compile Reports and Statistics on Occupational Accidents","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,"","  Compile Reports and Statistics on Occupational Accidents(Cont.1)","","","","","","","","","","","","",,,,,,,,,,,,,,"","","  Compile Reports and Statistics on Occupational Accidents(Cont.2)","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,"","","  Compile Reports and Statistics on Occupational Accidents(Cont.3)","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,"","","  Compile Reports and Statistics on Occupational Accidents(Cont.4)","","","","","","","","","","","","","",
" ","","  總      計","","","","  農、林、漁、牧業","","",""," 礦業及土石採取業","","","","",""," 製　造　業","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ","","","","","","","","","","","","","","","  電力及電子機械","","","","","","","","","","","","","","","",""," 水電燃氣業",""," ","",""," 營　造　業","","","","",""," 批發、零售及餐飲業","","","","","  運輸、倉儲及通信業","","","","  金融、保險及不動產業","","","","",""," 工商服務業","","  社會服務及個人服務業","","","","",""," 公共行政業","",
,,,,,,,,,,,,,"","","","","","","","",""," 食品及飲料製造業","","","","","","   菸草製造業","","",""," ","",""," 紡　織　業","","","","","  成衣服飾品及其他紡製品製造業","","","","",""," 皮革、毛皮及其製品製造業","","","","  木竹製品製造業","",""," 家具及裝設品製造業","",""," 紙漿、紙及紙製品製造業","","","","","  印刷及有關事業","",""," ","","  化學材料製造業","","","","   化學製品製造業","","",""," 石油及煤製品製造業","","","","  橡膠製品製造業","","","","  塑膠製品製造業","","","  非金屬礦物製品製造業","","","","","  金屬基本工業","",""," ","","  金屬製品製造業","","","","","",""," 機械設備製造修配業","","","","","","  器材製造修配業","","","  運輸工具製造修配業","","","","","  精密器械製造業","","","  其他工業製品製造業","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 年     別 ","","  Grand total","","",""," fishing & animal husbandry  Agriculture, forestry,","","",""," Mining & quarrying","","","","","  Manufacturing","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",""," Nonmetallic mineral","","","","","","",,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","  Electricity, gas & water","","",""," ","","","  Construction","","","","","  Trade & eating-drinking places","","","","","",""," Transport, storage &","","","  Financing, insurance &","","","","","  Business services","","","  Social, personal related","","","",""," Public adminstration","","",
,,,,,,,,,,,,,"","","","","","","","","  Food & breverages manufacturing","","","","","","","  Tobacco manufacturing","","",""," 年     別 ",""," Textile mill products","","","","","","","  Apperal, accessory &","","","","","  Leather furs relate products","","",""," Wood & bamboo products","",""," Furniture & fixtures products","","","  Pulp & paper products","","","","  Printing & kindred products","","",""," 年     別 ","","  Industrial chemicals","","","","   Chemical products","","","  Petroleum & Coal products","","","","","  Rubber products","","","","  Plastic products","","","","","","","  Primary metal industries","","",""," 年     別 ","   Fabricated metal products","","","","","","","  Machinery except electrical equip.","","","","",""," Electrical & electronic equip.","","","","  Transportation equipment","","","","","  Precision equipment","","","  Other industrial products","","","","","","",""," 年     別 ","","","","","","","","","","","","","","","  communication","","","","  real estate","","","","","","",""," community services","","","","","","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ","","","","","","","","","   textile products","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","  products","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" "," 失能傷害","","  失能傷害","",""," 失能傷害","  失能傷害","","  失能傷害","",""," 失能傷害",""," 失能傷害","","","  失能傷害","","","","  失能傷害","","  失能傷害","","","","  失能傷害","","","  失能傷害",""," ","  失能傷害","","","  失能傷害","","","","  失能傷害","","   失能傷害","","",""," 失能傷害","","   失能傷害",""," 失能傷害","  失能傷害",""," 失能傷害",""," 失能傷害"," 失能傷害","","  失能傷害","","  失能傷害","","  失能傷害",""," "," 失能傷害","","  失能傷害","",""," 失能傷害","  失能傷害","","  失能傷害","",""," 失能傷害","  失能傷害","","  失能傷害","","  失能傷害","",""," 失能傷害"," 失能傷害","","  失能傷害","","  失能傷害","","  失能傷害",""," ","  失能傷害","","","  失能傷害","","","","  失能傷害","","   失能傷害","","",""," 失能傷害","","   失能傷害","","  失能傷害","","  失能傷害","","  失能傷害","",""," 失能傷害"," 失能傷害","","  失能傷害","","  失能傷害","","  失能傷害",""," ","  失能傷害","","","  失能傷害","","","","  失能傷害","","   失能傷害","","",""," 失能傷害","","   失能傷害","","  失能傷害","","  失能傷害","","  失能傷害","",""," 失能傷害"," 失能傷害","","  失能傷害","","  失能傷害","","  失能傷害","",
" Year "," 頻　　率","","  嚴重率","",""," 頻　　率","  嚴重率","","  頻　　率","",""," 嚴重率",""," 頻　　率","","",""," 嚴重率","","","  頻　　率","",""," 嚴重率","","","  頻　　率","","","  嚴重率",""," Year ","  頻　　率","","",""," 嚴重率","","","  頻　　率","","   嚴重率","","",""," 頻　　率","",""," 嚴重率"," 頻　　率","  嚴重率",""," 頻　　率",""," 嚴重率"," 頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," Year "," 頻　　率","","  嚴重率","",""," 頻　　率","  嚴重率","","  頻　　率","",""," 嚴重率","  頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," 頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," Year ","  頻　　率","","",""," 嚴重率","","","  頻　　率","","   嚴重率","","",""," 頻　　率","",""," 嚴重率","  頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," 頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," ","  頻　　率","","",""," 嚴重率","","","  頻　　率","","   嚴重率","","",""," 頻　　率","",""," 嚴重率","  頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," 頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率",
" "," Frequency","","  Severity of","",""," Frequency","  Severity of","","  Frequency","",""," Severity of",""," Frequency","","","  Severity of","","","","  Frequency","","  Severity of","","","","  Frequency","","","  Severity of",""," ","  Frequency","","","  Severity of","","","","  Frequency","","   Severity of","","",""," Frequency","","   Severity of",""," Frequency","  Severity of",""," Frequency",""," Severity of"," Frequency","","  Severity of","","  Frequency","","  Severity of",""," "," Frequency","","  Severity of","",""," Frequency","  Severity of","","  Frequency","",""," Severity of","  Frequency","","  Severity of","","  Frequency","",""," Severity of"," Frequency","","  Severity of","","  Frequency","","  Severity of",""," ","  Frequency","","","  Severity of","","","","  Frequency","","   Severity of","","",""," Frequency","","   Severity of","","  Frequency","","  Severity of","","  Frequency","",""," Severity of"," Frequency","","  Severity of","","  Frequency","","  Severity of",""," Year ","  Frequency","","","  Severity of","","","","  Frequency","","   Severity of","","",""," Frequency","","   Severity of","","  Frequency","","  Severity of","","  Frequency","",""," Severity of"," Frequency","","  Severity of","","  Frequency","","  Severity of","",
" "," of disability","","  disability","",""," of disability","  disability","","  of disability","",""," disability","  of disability","","","",""," disability","","","  of disability","",""," disability","","","  of disability","","","  disability",""," ","  of disability","","",""," disability","","","  of disability","","   disability","","",""," of disability","","   disability",""," of disability","  disability",""," of disability",""," disability"," of disability","","  disability","","  of disability","",""," disability"," "," of disability","","  disability","",""," of disability","  disability","","  of disability","",""," disability"," of disability","","  disability","","  of disability","",""," disability"," of disability","","  disability","","  of disability","",""," disability"," ","  of disability","","",""," disability","","","  of disability","","   disability","","",""," of disability","","   disability",""," of disability","","  disability","","  of disability","",""," disability"," of disability","","  disability","","  of disability","",""," disability"," ","  of disability","","",""," disability","","","  of disability","","   disability","","",""," of disability","","   disability",""," of disability","","  disability","","  of disability","",""," disability"," of disability","","  disability","","  of disability","",""," disability",
