" 表 11-2 就業服務人數－按教育程度、年齡及性別分 ","","","","","","","","","  Table 11-2 Number of Employment Services by Educational Attainment, Age and Sex","","","","","","","","",
" ","","","  中華民國105年","","","","  單位：人次、倍","","","","","","   2016","","","  Unit：Person-case、Time","",
" ","","","  教　　育　　程　　度　　　　Educational attainment","","","","","","",""," 年　　　　　　　　　齡","","","","  Age","","",
" ","  總　計","","","","","","","",,,,,,,,,,
" 項　　　目　　　別 ","","","","","","","","",,,,,,,,,,
" ","","  國小及","  國　中","  高　中","  高　職","  專　科","  大學及","  不　限"," 24歲及以下","","  25~34歲","","  35~44歲","  45~54歲","  55~64歲"," 65歲及以上","  不　拘",
" ","","  以　下","","","","","  以　上","",,,,,,,,,,
,,,,,,,,,"","  20~24歲","","  25~29歲","","","","","",
" ","","  Under","","","  Senior","","  College &","",,,,,,,,,,
,,,,,,,,,"  Years &","","","","","","","  Years &","",
" Item ","  Grand total","  primary","  Junior high school","  Senior high school","  vocational","  collegeJunior","  graduate","  Unspecified","  under","  years","  years","  years","  years","  years","  years","  over"," Unspecified",
" ","","  school","","","  school","","  school","",,,,,,,,,,
" 求職人數(A) ","727816","31322","79780","54809","222240","87524","252141","0","130109","102536","203026","107860","166195","149624","71731","7131","0",
" No. of  job seekers ","","","","","","","","",,,,,,,,,,
" 男 Male ","348781","11859","39906","25145","104110","40768","126993","0","62813","48578","103671","57157","76813","65984","35132","4368","0",
" 女 Female ","379035","19463","39874","29664","118130","46756","125148","0","67296","53958","99355","50703","89382","83640","36599","2763","0",
" 求才人數(B) ","1311799","19948","109620","181386","307492","129309","107924","456120","0","0","0","0","0","0","0","0","1311799",
" No. of  job openings ","","","","","","","","",,,,,,,,,,
" 求職推介就業人數(C) ","510924","23764","59632","39826","161447","58144","168111","0","90173","71490","142468","75953","113872","107535","51899","4977","0",
" No. of job seekers employed ","","","","","","","","",,,,,,,,,,
" by employment service ","","","","","","","","",,,,,,,,,,
" 男 Male ","247373","8817","29353","18242","76545","27724","86692","0","44601","34668","74593","41217","53111","47083","25001","2984","0",
" 女 Female ","263551","14947","30279","21584","84902","30420","81419","0","45572","36822","67875","34736","60761","60452","26898","1993","0",
" 求才僱用人數(D) ","868915","15433","81508","121961","206636","76182","63895","303300","0","0","0","0","0","0","0","0","868915",
" No. of  job openings filled ","","","","","","","","",,,,,,,,,,
" by employment service ","","","","","","","","",,,,,,,,,,
" 求供倍數(B/A) ","1.8","0.64","1.37","3.31","1.38","1.48","0.43","0","0","0","0","0","0","0","0","0","0",
" Ratio of  job openings to ","","","","","","","","",,,,,,,,,,
" job seekers ","","","","","","","","",,,,,,,,,,
" 求職就業率(C/A)  (%) ","70.2","75.87","74.75","72.66","72.65","66.43","66.67","0","69.31","69.72","70.17","70.42","68.52","71.87","72.35","69.79","0",
" Rate of  job seekers ","","","","","","","","",,,,,,,,,,
" placed ","","","","","","","","",,,,,,,,,,
" 求才利用率(D/B)  (%) ","66.24","77.37","74.36","67.24","67.2","58.91","59.2","66.5","0","0","0","0","0","0","0","0","66.24",
" Rate of  job openings ","","","","","","","","",,,,,,,,,,
" filled ","","","","","","","","",,,,,,,,,,
" 資料來源： 勞動部勞動力發展署。 ","","","","","","","",""," Source：  Workforce Development Agency, MOL.","","","","","","","","",
" 說　　明： 1.93年5月起，求才人數性別新增「不拘」數據，教育程度新增「不限」，年齡新增「不拘」欄位。 ","","","","","","","",""," Note：  1.Beginning in May 2004, the classifications of number of jobopenings by sex, educational attainment and age include","","","","","","","","",
" 2.就業服務法第五條自96年5月23日起修法公布施行。其中規定雇主不得對求職者或所僱用員工之年齡有所歧 ","","","","","","","","","     "unspecified", which means " without limits"  .","","","","","","","","",
"    視，各年齡組別求供倍數、求才利用率無意義，故以「-」呈現。 ","","","","","","","","","  2.Since May 2007, according to the Employment Services Act, employer is prohibited from discriminating against any job","","","","","","","","",
,,,,,,,,,"     applicant, The ratios of no. of  jobopenings to no. of  jobseekers and no. of placements to no. of jobopenings by age are","","","","","","","","",
,,,,,,,,,"     meaningless. Dash indicatess no data.","","","","","","","","",
" ","","","   -310-","","","","","","","","","","   -311-","","","","",
