" 表 11-4 就業服務人數－按辦理單位及職業分 ","","","","","  Table 11-4 Number of Employment Services by Institution and Occupation","","","","",""," 表 11-4 就業服務人數－按辦理單位及職業分(續1) ","","","",""," Table 11-4 Number of Employment Services by Institution and Occupation (Cont.1)  ˉ","","","","",""," 表 11-4 就業服務人數－按辦理單位及職業分(續2完) ","","","",""," Table 11-4 Number of Employment Services by Institution and Occupation (Cont.2)  ˉ","","","","","",
" ","  中華民國105年","","","  單位：人次","","","   2016","",""," Unit：Person-case"," ","  中華民國105年","","","  單位：人次","","","   2016","",""," Unit：Person-case"," ","  中華民國105年","","","  單位：人次","","","   2016","",""," Unit：Person-case",
" 項                    目                    別 "," 總         計"," 民意代表、主管 及經理人員"," 專 業 人 員"," 助理專業人員 技 術 員 及"," 事務支援人員"," 服務及銷售"," 農、林、漁、"," 技藝有關"," 機械設備操作"," 基層技術工及"," 項                    目                    別 "," 總         計"," 民意代表、主管 及經理人員"," 專 業 人 員"," 助理專業人員 技 術 員 及"," 事務支援人員"," 服務及銷售"," 農、林、漁、"," 技藝有關"," 機械設備操作"," 基層技術工及"," 項                    目                    別 "," 總         計"," 民意代表、主管 及經理人員"," 專 業 人 員"," 助理專業人員 技 術 員 及"," 事務支援人員"," 服務及銷售"," 農、林、漁、"," 技藝有關"," 機械設備操作"," 基層技術工及",
,,,,,""," 工作人員"," 牧業生產人員"," 工作人員"," 及組裝人員"," 勞力工及其他",,,,,,""," 工作人員"," 牧業生產人員"," 工作人員"," 及組裝人員"," 勞力工及其他",,,,,,""," 工作人員"," 牧業生產人員"," 工作人員"," 及組裝人員"," 勞力工及其他",
" ",""," Legislators,",""," Technicians &","  Clerical",""," Skilled agricultural,",""," Plant & machine"," Elementary"," ",""," Legislators,",""," Technicians &","  Clerical",""," Skilled agricultural,",""," Plant & machine"," Elementary"," ",""," Legislators,",""," Technicians &","  Clerical",""," Skilled agricultural,",""," Plant & machine"," Elementary",
,,,,," support workers"," Service &",""," Craft & related","","",,,,,," support workers"," Service &",""," Craft & related","","",,,,,," support workers"," Service &",""," Craft & related","","",
" ","  Grand total"," senior officials"," Professionals","  associate","","","  forestry &",""," operators &"," labourers &"," ","  Grand total"," senior officials"," Professionals","  associate","","","  forestry &",""," operators &"," labourers &"," ","  Grand total"," senior officials"," Professionals","  associate","","","  forestry &",""," operators &"," labourers &",
" Item ",""," & managers",""," professionals",""," sales workers"," fishery workers"," trades workers","  assemblers","  others"," Item ",""," & managers",""," professionals",""," sales workers"," fishery workers"," trades workers","  assemblers","  others"," Item ",""," & managers",""," professionals",""," sales workers"," fishery workers"," trades workers","  assemblers","  others",
" 總　　  計  Total ","","","","",,,,,,," 臺  中  市   Taichung City Employment ","","","","",,,,,,," 勞動力發展署北基宜花金馬分署 ","","","","",,,,,,,
,,,,,,,,,,," 　　　       Services Office ","","","","",,,,,,," Regional Branch of WDA, Taipei-Keelung- ","","","","",,,,,,,
,,,,,,,,,,,,,,,,,,,,,," Yilan-Hualien-Kinmen-Matsu Region ","","","","",,,,,,,
