" 表 11-5 就業服務人數－按辦理單位、教育程度及年齡分 ","","","","","","","","","  Table 11-5 Number of Employment Services by Institution,","","","","","","","",""," 表 11-5 就業服務人數－按辦理單位、教育程度及年齡分(續1) ","","","","","","","","","  Table 11-5 Number of Employment Services by Institution,","","","","","","","",""," 表 11-5 就業服務人數－按辦理單位、教育程度及年齡分(續2完) ","","","","","","","","","  Table 11-5 Number of Employment Services by Institution,","","","","","","","","",
,,,,,,,,"","","","  Educational Attainment and Age","","","","","","",,,,,,,,,"","","  Educational Attainment and Age (Cont.1)","","","","","","","",,,,,,,,,"","","  Educational Attainment and Age (Cont.2)","","","","","","","",
" ","","  中華民國105年","","","",""," 單位：人次","","","","","   2016","","","","  Unit：Person-case",""," ","","  中華民國105年","","","",""," 單位：人次","","","","","   2016","","","","  Unit：Person-case",""," ","","  中華民國105年","","","",""," 單位：人次","","","","","   2016","","","","  Unit：Person-case","",
" ","","","  教　　育　　程　　度　　　　Educational attainment","","","","","","","","  年　　　　　　　　　齡","","","","  Age","",""," ","","","  教　　育　　程　　度　　　　Educational attainment","","","","","","","","  年　　　　　　　　　齡","","","","  Age","",""," ","","","  教　　育　　程　　度　　　　Educational attainment","","","","","","","","  年　　　　　　　　　齡","","","","  Age","","",
" ","  總　計","","","","","","",,,,,,,,,,," ","  總　計","","","","","","",,,,,,,,,,," ","  總　計","","","","","","",,,,,,,,,,,
" 項　　　目　　　別 ","","","","","","","",,,,,,,,,,," 項　　　目　　　別 ","","","","","","","",,,,,,,,,,," 項　　　目　　　別 ","","","","","","","",,,,,,,,,,,
" ","","  國小及","  國　中","  高　中","  高　職","  專　科","  大學及","  不　限","  24歲及","","  25~34歲","","  35~44歲","  45~54歲","  55~64歲","  65歲及","  不　拘"," ","","  國小及","  國　中","  高　中","  高　職","  專　科","  大學及","  不　限","  24歲及","","  25~34歲","","  35~44歲","  45~54歲","  55~64歲","  65歲及","  不　拘"," ","","  國小及","  國　中","  高　中","  高　職","  專　科","  大學及","  不　限","  24歲及","","  25~34歲","","  35~44歲","  45~54歲","  55~64歲","  65歲及","  不　拘",
" ","","  以　下","","","","","  以　上","","  以下","","","","","","","  以上",""," ","","  以　下","","","","","  以　上","","  以下","","","","","","","  以上",""," ","","  以　下","","","","","  以　上","","  以下","","","","","","","  以上","",
,,,,,,,,"","","  20~24歲","","  25~29歲","","","","","",,,,,,,,,"","","  20~24歲","","  25~29歲","","","","","",,,,,,,,,"","","  20~24歲","","  25~29歲","","","","","",
" ","","  Under","","","  Senior","","  College &",,,,,,,,,,," ","","  Under","","","  Senior","","  College &",,,,,,,,,,," ","","  Under","","","  Senior","","  College &",,,,,,,,,,,
" ","  Grand","","  Junior high","  Senior high","","  Junior","","","  Years &","","","","","","","  Years &",""," ","  Grand","","  Junior high","  Senior high","","  Junior","","","  Years &","","","","","","","  Years &",""," ","  Grand","","  Junior high","  Senior high","","  Junior","","","  Years &","","","","","","","  Years &","",
" Item ","  total","  primary","  school","  school","  vocational","  college","  graduate"," Unspecified","  under","  years","  years","  years","  years","  years","  years","  over"," Unspecified"," Item ","  total","  primary","  school","  school","  vocational","  college","  graduate"," Unspecified","  under","  years","  years","  years","  years","  years","  years","  over"," Unspecified"," Item ","  total","  primary","  school","  school","  vocational","  college","  graduate"," Unspecified","  under","  years","  years","  years","  years","  years","  years","  over"," Unspecified",
" ","","  school","","","  school","","  school",,,,,,,,,,," ","","  school","","","  school","","  school",,,,,,,,,,," ","","  school","","","  school","","  school",,,,,,,,,,,
" 總　　  計  Total ","","","","","","","",,,,,,,,,,," 臺  中  市   Taichung City Employment ","","","","","","","",,,,,,,,,,," 勞動力發展署北基宜花金馬分署 ","","","","","","","",,,,,,,,,,,
,,,,,,,,,,,,,,,,,," 　　　       Services Office ","","","","","","","",,,,,,,,,,," Regional Branch of WDA, Taipei-Kee- ","","","","","","","",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," lung-Yilan-Hualien-Kinmen-Matsu Region ","","","","","","","",,,,,,,,,,,
" 求職人數  No. of job seekers ","727816","31322","79780","54809","222240","87524","252141","0","130109","102536","203026","107860","166195","149624","71731","7131","0"," 求職人數  No. of job seekers ","12571","207","609","782","3114","1258","6601","0","3495","3106","5198","3313","2226","1119","491","42","0"," 求職人數  No. of job seekers ","93794","4813","12177","7905","26448","14096","28355","0","12176","10042","21905","11413","21364","24194","12722","1433","0",
" 求才人數  No. of job openings ","1311799","19948","109620","181386","307492","129309","107924","456120","0","0","0","0","0","0","0","0","1311799"," 求才人數  No. of job openings ","25915","202","786","3641","6835","2902","3773","7776","0","0","0","0","0","0","0","0","25915"," 求才人數  No. of job openings ","148874","1931","10880","24477","25441","13873","7453","64819","0","0","0","0","0","0","0","0","148874",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 求職推介  No. of job seekers employed ","71702","3743","9426","6257","20563","10617","21096","0","9216","7604","16527","8541","16062","19005","9794","1098","0",
" 求職推介  No. of job seekers employed ","510924","23764","59632","39826","161447","58144","168111","0","90173","71490","142468","75953","113872","107535","51899","4977","0"," 求職推介  No. of job seekers employed ","9082","130","392","564","2168","864","4964","0","2707","2397","3822","2438","1566","684","280","23","0",,,,,,,,,,,,,,,,,,,
" 就業人數  by employment service ","","","","","","","",,,,,,,,,,," 就業人數  by employment service ","","","","","","","",,,,,,,,,,," 就業人數  by employment service ","","","","","","","",,,,,,,,,,,
" 求才僱用  No. of job openings filled ","868915","15433","81508","121961","206636","76182","63895","303300","0","0","0","0","0","0","0","0","868915"," 求才僱用  No. of job openings filled ","6420","27","208","1072","1809","827","872","1605","0","0","0","0","0","0","0","0","6420"," 求才僱用  No. of job openings filled ","128342","1682","9958","20906","22422","11630","6553","55191","0","0","0","0","0","0","0","0","128342",
" 人數　　  by employment service ","","","","","","","",,,,,,,,,,," 人數　　  by employment service ","","","","","","","",,,,,,,,,,," 人數　　  by employment service ","","","","","","","",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 勞動力發展署桃竹苗分署 ","","","","","","","",,,,,,,,,,,
" 台灣就業通 Taiwan Jobs ","","","","","","","",,,,,,,,,,," 臺  南  市   Tainan City Employment ","","","","","","","",,,,,,,,,,," Regional Branch of WDA, Taoyuan- ","","","","","","","",,,,,,,,,,,
