" 表 12-1 公立職訓機構自辦訓練人數－按訓練機構分 ","","","","","",""," Table 12-1 Number of Trainees in the Self-Sponsored Training at the Public Vocational","","","","",""," 表 12-1 公立職訓機構自辦訓練人數－按訓練機構分(續) ","","","","","",""," Table 12-1 Number of Trainees in the Self-Sponsored Training at the Public Vocational","","","","","",
,,,,,,,"","  Training Institute by Training Institute","","","","",,,,,,,,"","  Training Institute by Training Institute (Cont.)","","","","",
" ","","","","","","  單位：人","","","","","","  Unit：Person"," ","","","","","","  單位：人","","","","","","  Unit：Person",
" ","","","  本　部　勞　動　力　發　展　署","","","","","  Workforce Development Agency, MOL","","","",""," ","  退輔會職訓中心","","  農委會漁業署遠","","  臺北市職能發展學院","","  高雄市訓練就業中心","","  新北市職訓中心","","  臺南市職訓就服中心","",
,,,,,,,,,,,,," ","","","  洋漁業開發中心","","","",,,,,,,
" 年　月　別 ","  總        計","","  北基宜花金馬分署","","  桃竹苗分署","","  中彰投分署","","  雲嘉南分署","","  高屏澎東分署",""," 年　月　別 ","","","  Deep Sea Fishery Research","","","",,,,,,,
,,,,,,,,,,,,,,,,,,,,"","","",""," Service Center Vocational Training","",
" ","","","  Regional Branch of WDA,","","  Regional Branch of WDA,","","","","","","  Regional Branch of WDA,",""," ","  Vocational Training","","  & Development Center","","  Taipei Competency","","  Kaohsiung Municipal Training","","  New Taipei City Government","","","",
" ","  Grand total","","  Taipei-Keelung-Yilan-Hualien-","","  Taoyuan-Hsinchu-Miaoli","","  Regional Branch of WDA,","","  Regional Branch of WDA,",""," Kaohsiung-Pingtung-Penghu-Taitung","",,,,,,,,"","","",""," and Employment, Bureau of Labor","",
,,,,,,,,,,,,," ","  Center, VAC","","  Fisheries Administration","","  Development College","","  and Employment Center","","  Vocational Training Center","","  Affairs, Tainan City Government","",
" ","","","  Kinmen-Matsu Region","","  Region",""," Taichung-Changhua-Nantou Region","","  Yunlin-Chiayiu-Tainan Region","","  Region",""," ","","","  Council of Agriculture","","","",,,,,,,
" ","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓"," ","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓",
" Year and month ","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished"," Year and month ","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished",
" ","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training"," ","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training",
"  81年  1992 ","23809","23793","3121","2592","3516","3338","2916","2834","2603","2443","2653","2649","  81年  1992 ","617","583","1024","963","4364","5230","801","821","0","0","0","0",
"  82年  1993 ","24068","22783","2214","2031","3298","3555","3280","3126","3616","3448","2290","1928","  82年  1993 ","702","664","777","698","4325","4076","1181","938","0","0","0","0",
